‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,102,102~102,«·∂»Œ€»æ,77,143,15,2.1,42,64
2015-01,100,30~178,¡º,74,117,23,1.832,29,52
2015-02,92,49~176,¡º,68,95,25,1.089,27,79
2015-03,74,38~126,¡º,54,84,19,1.229,23,75
2015-04,79,50~110,¡º,55,96,26,1.793,20,115
2015-05,57,30~95,¡º,34,59,14,1.719,10,84
2015-06,49,21~78,”≈,27,46,14,0.697,11,88
2015-07,48,18~88,”≈,31,45,11,0.777,11,77
2015-08,51,17~87,¡º,33,50,10,0.826,12,63
2015-09,51,31~79,¡º,31,53,12,0.573,11,66
2015-10,66,23~109,¡º,45,72,15,0.629,17,88
2015-11,48,18~97,”≈,33,44,15,0.733,15,48
2015-12,58,23~117,¡º,41,54,15,0.755,20,35
2016-01,58,21~97,¡º,40,59,13,0.745,17,42
2016-02,73,28~226,¡º,53,70,11,0.693,14,70
2016-03,71,32~107,¡º,50,74,13,0.535,17,75
2016-04,62,35~122,¡º,41,67,13,0.527,13,81
2016-05,56,23~88,¡º,34,58,10,0.455,10,89
2016-06,44,32~63,”≈,23,42,7,0.41,8,78
2016-07,47,28~67,”≈,29,48,11,0.423,9,77
2016-08,44,19~102,”≈,26,43,6,0.535,10,69
2016-09,67,32~99,¡º,45,69,11,0.443,15,98
2016-10,61,26~100,¡º,39,60,15,0.4,15,92
2016-11,59,21~87,¡º,41,64,20,0.48,17,74
2016-12,95,34~188,¡º,70,102,26,0.781,33,79
2017-01,95,25~258,¡º,71,91,31,0.894,23,59
2017-02,89,36~192,¡º,66,87,32,0.818,26,78
2017-03,64,27~124,¡º,44,68,33,0.913,21,71
2017-04,67,32~118,¡º,45,71,27,0.943,18,102
2017-05,65,39~120,¡º,38,63,18,0.952,22,109
2017-06,52,25~97,¡º,30,50,14,0.86,16,82
2017-07,45,29~76,”≈,29,46,11,0.971,13,66
2017-08,46,27~80,”≈,25,46,11,0.971,13,77
2017-09,50,30~62,¡º,28,54,15,1.027,16,80
2017-10,53,25~102,¡º,31,54,14,1.1,19,82
2017-11,68,30~102,¡º,48,74,16,1.263,24,68
2017-12,79,33~123,¡º,57,84,17,1.181,31,54
2018-01,81,30~152,¡º,58,78,22,1.51,29,49
2018-02,87,30~206,¡º,63,89,22,1.104,25,82
2018-03,71,41~119,¡º,50,78,25,1.326,26,92
2018-04,78,47~93,¡º,49,96,23,1.2,24,109
