‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,119,119~119,«·∂»Œ€»æ,90,74,41,0.8,22,94
2015-01,116,33~209,«·∂»Œ€»æ,85,140,52,1.755,29,79
2015-02,79,41~124,¡º,51,101,29,2.593,26,86
2015-03,73,54~150,¡º,45,90,29,1.335,27,82
2015-04,80,55~108,¡º,40,95,34,1.527,25,124
2015-05,88,61~145,¡º,49,101,28,0.923,19,126
2015-06,67,43~109,¡º,32,67,38,0.893,15,110
2015-07,66,42~98,¡º,35,58,21,0.526,16,102
2015-08,74,37~116,¡º,35,60,18,0.513,19,127
2015-09,83,48~134,¡º,44,79,19,0.467,23,129
2015-10,89,36~153,¡º,60,99,26,0.777,35,113
2015-11,68,38~122,¡º,45,79,28,0.71,29,51
2015-12,92,39~185,¡º,65,109,25,0.929,33,61
2016-01,92,52~178,¡º,66,108,33,0.877,40,61
2016-02,86,38~281,¡º,57,103,28,1.338,33,97
2016-03,85,41~143,¡º,56,101,35,1.006,38,106
2016-04,70,28~114,¡º,39,72,40,0.6,30,107
2016-05,68,48~100,¡º,30,67,38,0.69,24,115
2016-06,64,40~107,¡º,22,49,25,0.603,17,112
2016-07,63,30~142,¡º,23,50,26,0.506,18,107
2016-08,67,46~100,¡º,33,63,18,0.661,17,114
2016-09,91,46~157,¡º,45,86,29,0.887,27,142
2016-10,63,29~114,¡º,36,69,17,0.797,27,76
2016-11,72,30~144,¡º,46,93,20,0.913,32,58
2016-12,93,45~128,¡º,67,131,24,1.529,45,69
2017-01,108,53~234,«·∂»Œ€»æ,78,147,23,1.539,40,70
2017-02,73,40~127,¡º,47,92,16,1.2,34,91
2017-03,69,35~144,¡º,41,82,12,0.79,31,88
2017-04,73,34~125,¡º,29,66,13,0.677,26,115
2017-05,83,42~148,¡º,27,65,11,0.681,25,130
2017-06,54,28~85,¡º,24,42,7,0.783,17,98
2017-07,57,26~110,¡º,21,38,10,0.816,15,105
2017-08,56,28~97,¡º,22,40,8,0.874,17,101
2017-09,66,30~140,¡º,29,54,9,1.157,24,110
2017-10,57,25~119,¡º,36,64,9,1.097,27,84
2017-11,103,38~203,«·∂»Œ€»æ,73,124,18,1.493,44,81
2017-12,96,52~149,¡º,70,126,24,1.668,45,71
2018-01,80,35~204,¡º,57,95,13,1.5,31,59
2018-02,86,42~196,¡º,56,115,14,1.668,31,76
2018-03,60,30~95,¡º,29,65,10,1.226,31,84
2018-04,74,42~90,¡º,30,97,13,1.025,33,97
