‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,97,33~232,¡º,70,103,63,1.68,42,43
2014-01,98,38~208,¡º,69,99,59,1.729,35,49
2014-02,120,40~237,«·∂»Œ€»æ,88,118,60,1.929,31,61
2014-03,87,42~162,¡º,61,93,38,2.565,29,73
2014-04,87,50~159,¡º,56,102,25,1.53,28,105
2014-05,83,43~172,¡º,48,80,17,1.119,29,121
2014-06,86,30~180,¡º,47,63,14,1.01,19,134
2014-07,89,48~157,¡º,52,69,15,0.897,15,137
2014-08,83,28~144,¡º,42,63,19,1.194,18,133
2014-09,68,37~108,¡º,34,64,21,1.16,30,111
2014-10,94,40~341,¡º,66,94,19,1.194,32,92
2014-11,100,39~278,¡º,72,104,34,1.63,40,55
2014-12,88,38~270,¡º,58,93,46,1.532,37,35
2015-01,91,45~169,¡º,65,93,48,1.955,35,34
2015-02,98,45~232,¡º,69,100,40,1.359,33,40
2015-03,86,39~161,¡º,57,100,25,1.245,29,49
2015-04,85,44~140,¡º,53,94,16,1.06,21,81
2015-05,104,43~201,«·∂»Œ€»æ,33,61,17,0.658,18,157
2015-06,98,52~178,¡º,30,46,14,0.773,15,157
2015-07,78,42~125,¡º,30,48,11,0.661,15,132
2015-08,79,40~142,¡º,33,54,15,0.8,18,132
2015-09,67,37~116,¡º,26,44,19,0.773,28,111
2015-10,76,33~166,¡º,44,72,22,0.884,37,99
2015-11,124,39~367,«·∂»Œ€»æ,94,117,39,1.357,41,68
2015-12,102,33~277,«·∂»Œ€»æ,74,102,49,1.416,44,54
2016-01,72,38~175,¡º,47,81,45,1.061,38,74
2016-02,64,38~145,¡º,41,66,40,0.986,32,90
2016-03,90,46~250,¡º,56,99,36,0.984,37,114
2016-04,98,62~171,¡º,38,101,22,0.657,25,142
2016-05,122,61~205,«·∂»Œ€»æ,30,62,21,0.561,22,183
2016-06,120,68~173,«·∂»Œ€»æ,33,52,17,0.707,17,181
2016-07,80,40~133,¡º,29,48,10,0.71,14,133
2016-08,74,33~137,¡º,25,41,15,0.671,19,123
2016-09,68,25~117,¡º,28,43,17,0.72,22,117
2016-10,58,29~116,¡º,34,53,21,0.79,27,86
2016-11,80,34~283,¡º,57,84,36,1.07,39,60
2016-12,85,31~219,¡º,59,91,39,1.258,41,56
2017-01,93,41~250,¡º,65,103,45,1.416,43,66
2017-02,86,45~182,¡º,57,86,33,1.1,32,92
2017-03,76,43~162,¡º,49,76,28,0.897,33,111
2017-04,81,48~129,¡º,39,83,21,0.803,24,127
2017-05,98,37~186,¡º,28,74,12,0.829,18,147
2017-06,103,34~207,«·∂»Œ€»æ,42,62,13,0.887,23,159
2017-07,98,43~183,¡º,30,55,9,0.758,20,156
2017-08,68,30~116,¡º,23,41,11,0.723,19,119
2017-09,74,40~160,¡º,33,56,15,0.803,27,119
2017-10,65,28~140,¡º,39,57,19,0.9,32,83
2017-11,56,34~107,¡º,29,58,25,0.843,34,60
2017-12,75,37~158,¡º,48,74,54,1.277,47,49
2018-01,64,34~127,¡º,41,65,41,1.226,43,58
2018-02,99,44~253,¡º,72,93,46,1.396,39,76
2018-03,89,40~200,¡º,59,85,31,1.135,32,105
2018-04,69,51~97,¡º,34,73,21,0.9,21,102
