‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,222,66~469,÷ÿ∂»Œ€»æ,165,283,147,2.513,86,33
2014-01,276,85~489,÷ÿ∂»Œ€»æ,212,367,174,3.3,86,32
2014-02,236,43~499,÷ÿ∂»Œ€»æ,189,293,107,1.892,59,43
2014-03,188,73~398,÷–∂»Œ€»æ,138,256,86,1.506,70,69
2014-04,152,79~234,÷–∂»Œ€»æ,107,208,49,0.933,41,96
2014-05,124,53~228,«·∂»Œ€»æ,76,187,48,0.739,38,137
2014-06,127,63~227,«·∂»Œ€»æ,85,150,42,0.877,40,146
2014-07,132,50~260,«·∂»Œ€»æ,93,151,30,0.91,37,150
2014-08,104,26~206,«·∂»Œ€»æ,73,124,31,0.952,30,132
2014-09,96,34~166,¡º,68,113,22,0.793,25,80
2014-10,186,40~425,÷–∂»Œ€»æ,145,236,40,1.465,52,51
2014-11,153,44~419,÷–∂»Œ€»æ,118,191,57,1.783,61,34
2014-12,156,59~372,÷–∂»Œ€»æ,116,203,114,2.235,64,34
2015-01,185,66~441,÷–∂»Œ€»æ,146,224,125,2.952,82,33
2015-02,148,52~272,«·∂»Œ€»æ,111,172,76,1.689,44,52
2015-03,134,52~294,«·∂»Œ€»æ,93,184,62,1.239,55,82
2015-04,112,50~198,«·∂»Œ€»æ,77,150,40,0.903,48,102
2015-05,92,35~168,¡º,60,108,32,0.652,33,117
2015-06,99,44~165,¡º,63,113,27,0.66,27,137
2015-07,96,36~176,¡º,69,113,18,0.432,19,98
2015-08,95,39~168,¡º,63,115,15,0.587,29,109
2015-09,77,22~128,¡º,42,86,24,0.937,46,104
2015-10,88,43~192,¡º,49,104,35,1.068,65,68
2015-11,154,42~407,÷–∂»Œ€»æ,120,167,55,2.103,68,27
2015-12,204,37~407,÷ÿ∂»Œ€»æ,163,237,76,3.268,76,19
2016-01,168,52~500,÷–∂»Œ€»æ,131,194,81,2.545,77,31
2016-02,102,34~291,«·∂»Œ€»æ,71,111,58,1.452,46,62
2016-03,123,60~274,«·∂»Œ€»æ,82,173,58,1.332,67,84
2016-04,98,45~195,¡º,60,132,32,0.953,46,104
2016-05,94,57~195,¡º,54,107,30,0.845,48,134
2016-06,92,40~141,¡º,46,85,19,0.86,36,136
2016-07,102,38~200,«·∂»Œ€»æ,66,104,14,1.003,35,128
2016-08,58,37~83,¡º,25,57,13,0.942,35,79
2016-09,124,48~266,«·∂»Œ€»æ,84,146,26,1.117,55,138
2016-10,151,54~354,÷–∂»Œ€»æ,116,189,30,1.394,66,62
2016-11,215,59~405,÷ÿ∂»Œ€»æ,169,279,57,2.42,81,31
2016-12,301,83~500,—œ÷ÿŒ€»æ,276,382,73,3.974,96,26
2017-01,255,59~500,÷ÿ∂»Œ€»æ,199,300,77,3.445,76,36
2017-02,173,51~464,÷–∂»Œ€»æ,139,203,72,2.157,62,73
2017-03,114,54~230,«·∂»Œ€»æ,79,150,37,1.297,47,95
2017-04,103,57~238,«·∂»Œ€»æ,61,141,31,1.073,50,102
2017-05,140,70~500,«·∂»Œ€»æ,67,185,29,0.952,48,163
2017-06,129,67~201,«·∂»Œ€»æ,54,118,25,0.92,44,185
2017-07,123,55~202,«·∂»Œ€»æ,57,106,16,0.958,34,172
2017-08,97,39~176,¡º,50,98,16,0.894,41,135
2017-09,114,65~179,«·∂»Œ€»æ,70,162,23,1.083,60,134
2017-10,109,25~254,«·∂»Œ€»æ,80,134,13,1.139,52,52
2017-11,110,56~243,«·∂»Œ€»æ,78,147,24,1.22,63,44
2017-12,134,55~371,«·∂»Œ€»æ,98,160,39,1.735,70,35
2018-01,147,59~283,«·∂»Œ€»æ,110,171,41,1.939,65,36
2018-02,135,54~319,«·∂»Œ€»æ,99,158,38,1.65,45,79
2018-03,150,56~404,«·∂»Œ€»æ,108,185,25,1.503,50,112
2018-04,103,59~154,«·∂»Œ€»æ,58,155,23,0.813,42,107
