‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,203,203~203,÷ÿ∂»Œ€»æ,153,198,29,3.4,54,27
2015-01,122,34~220,«·∂»Œ€»æ,93,135,25,2.69,46,32
2015-02,140,29~315,«·∂»Œ€»æ,108,115,30,2.043,55,71
2015-03,80,33~170,¡º,46,73,12,1.048,23,69
2015-04,67,35~150,¡º,28,83,8,0.817,22,94
2015-05,80,48~182,¡º,37,85,9,0.758,21,112
2015-06,73,46~106,¡º,23,44,7,0.44,24,126
2015-07,77,50~117,¡º,27,61,10,0.674,27,129
2015-08,67,26~199,¡º,30,73,10,0.713,27,96
2015-09,58,30~213,¡º,27,55,10,0.71,26,89
2015-10,60,23~97,¡º,30,73,14,0.842,37,66
2015-11,61,29~108,¡º,37,73,12,1.193,34,34
2015-12,145,30~280,«·∂»Œ€»æ,108,190,18,1.906,52,28
2016-01,179,94~284,÷–∂»Œ€»æ,138,230,20,2.6,63,42
2016-02,211,41~340,÷ÿ∂»Œ€»æ,167,260,36,2.331,70,89
2016-03,82,29~236,¡º,50,81,18,1.239,32,116
2016-04,80,45~143,¡º,13,35,10,0.837,22,136
2016-05,56,36~97,¡º,12,25,10,0.658,18,103
2016-06,44,20~106,”≈,12,27,10,0.53,18,83
2016-07,38,19~95,”≈,12,30,9,0.51,19,70
2016-08,44,19~79,”≈,15,39,10,0.774,28,78
2016-09,55,33~97,¡º,17,52,13,0.863,33,94
2016-10,52,22~90,¡º,26,59,10,0.79,31,47
2016-11,89,35~203,¡º,58,103,16,2.133,36,43
2016-12,151,48~275,÷–∂»Œ€»æ,115,171,16,1.871,52,31
2017-01,243,142~366,÷ÿ∂»Œ€»æ,194,282,25,2.813,84,52
2017-02,201,50~398,÷ÿ∂»Œ€»æ,160,234,25,2.064,76,90
2017-03,112,55~343,«·∂»Œ€»æ,83,126,15,1.239,49,111
2017-04,77,46~135,¡º,24,56,15,0.753,38,129
2017-05,101,49~202,«·∂»Œ€»æ,23,57,14,0.606,36,158
2017-06,89,50~151,¡º,18,48,11,0.63,30,145
2017-07,91,52~152,¡º,20,55,11,0.842,28,147
2017-08,71,49~111,¡º,17,45,9,0.723,25,124
2017-09,69,35~108,¡º,24,61,13,0.81,33,116
2017-10,63,27~104,¡º,37,74,14,0.906,40,79
2017-11,85,28~176,¡º,62,91,15,1.173,36,38
2017-12,108,38~189,«·∂»Œ€»æ,80,96,14,1.242,38,28
2018-01,205,64~434,÷ÿ∂»Œ€»æ,165,191,17,2.045,61,38
2018-02,186,62~356,÷–∂»Œ€»æ,148,177,15,1.807,48,85
2018-03,70,32~218,¡º,40,75,13,0.797,28,95
2018-04,59,40~87,¡º,24,60,11,0.525,21,104
