‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,105,51~281,«·∂»Œ€»æ,67,148,98,2.123,52,38
2014-01,114,49~253,«·∂»Œ€»æ,81,148,103,2.042,50,37
2014-02,127,32~347,«·∂»Œ€»æ,94,147,80,1.636,46,57
2014-03,118,55~254,«·∂»Œ€»æ,79,161,59,1.174,50,82
2014-04,107,62~169,«·∂»Œ€»æ,60,152,43,1.023,51,101
2014-05,73,41~125,¡º,36,91,35,0.797,44,81
2014-06,65,25~128,¡º,38,72,26,0.823,40,91
2014-07,71,37~139,¡º,43,71,27,0.826,35,103
2014-08,66,44~123,¡º,36,74,23,1.116,40,99
2014-09,59,27~117,¡º,31,68,24,1.02,48,63
2014-10,106,37~220,«·∂»Œ€»æ,72,124,48,1.897,61,47
2014-11,118,50~232,«·∂»Œ€»æ,80,161,80,2.527,68,38
2014-12,97,41~259,¡º,64,121,78,2.539,57,30
2015-01,103,45~224,«·∂»Œ€»æ,74,135,81,2.203,58,33
2015-02,103,32~224,«·∂»Œ€»æ,71,135,67,2.025,47,52
2015-03,107,45~172,«·∂»Œ€»æ,64,156,52,1.69,53,71
2015-04,93,44~198,¡º,54,114,27,1.563,38,95
2015-05,73,26~115,¡º,43,94,24,1.206,43,89
2015-06,65,31~131,¡º,37,76,18,0.877,41,94
2015-07,71,35~134,¡º,40,77,19,0.797,36,91
2015-08,65,33~118,¡º,31,66,28,1.11,41,84
2015-09,50,22~88,”≈,15,50,24,1.11,34,53
2015-10,66,20~129,¡º,26,81,25,1.352,43,54
2015-11,64,24~143,¡º,39,72,36,1.637,46,39
2015-12,107,38~264,«·∂»Œ€»æ,72,118,54,2.261,63,25
2016-01,68,29~182,¡º,40,77,47,1.51,45,40
2016-02,64,26~125,¡º,38,72,40,1.424,43,51
2016-03,101,40~232,«·∂»Œ€»æ,64,125,38,1.587,63,65
2016-04,89,41~206,¡º,39,109,19,1.007,50,122
2016-05,92,48~185,¡º,35,81,23,1.145,45,145
2016-06,88,49~156,¡º,43,76,19,0.943,39,140
2016-07,72,39~132,¡º,40,72,14,0.887,30,113
2016-08,63,35~137,¡º,28,54,15,0.945,37,93
2016-09,71,33~156,¡º,37,69,15,0.957,42,103
2016-10,69,31~149,¡º,40,75,20,1.242,48,69
2016-11,95,32~267,¡º,65,110,35,1.77,58,38
2016-12,119,33~301,«·∂»Œ€»æ,85,131,46,2.323,67,37
2017-01,104,39~395,«·∂»Œ€»æ,75,113,51,2.371,62,51
2017-02,100,41~265,¡º,68,105,43,1.882,59,74
2017-03,85,45~193,¡º,55,96,36,1.474,59,93
2017-04,80,52~149,¡º,43,100,23,1.093,51,112
2017-05,95,51~201,¡º,35,101,17,0.961,43,134
2017-06,102,49~202,«·∂»Œ€»æ,34,70,17,0.98,44,158
2017-07,91,44~200,¡º,33,64,10,0.739,33,146
2017-08,79,34~205,¡º,23,49,14,0.903,36,125
2017-09,91,36~194,¡º,32,66,17,1.023,46,143
2017-10,77,30~216,¡º,45,76,19,1.319,50,76
2017-11,68,33~149,¡º,38,73,28,1.333,50,57
2017-12,76,35~205,¡º,46,84,36,1.606,54,46
2018-01,70,29~150,¡º,39,77,38,1.69,51,54
2018-02,75,40~132,¡º,48,85,30,1.386,43,74
2018-03,98,47~224,¡º,64,115,26,1.394,52,99
2018-04,70,50~91,¡º,35,79,12,0.663,34,91
