‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-01,91,64~118,¡º,68,100,79,1.9,59,44
2014-02,103,53~134,«·∂»Œ€»æ,78,98,68,1.567,48,61
2014-03,81,53~132,¡º,56,98,61,1.1,33,73
2014-04,90,37~144,¡º,59,97,54,1.681,40,89
2014-05,96,41~171,¡º,38,83,42,1.206,26,152
2014-06,118,61~391,«·∂»Œ€»æ,57,81,49,1.814,27,157
2014-07,107,49~173,«·∂»Œ€»æ,41,69,36,1.758,24,162
2014-08,114,47~200,«·∂»Œ€»æ,41,68,32,1.468,24,171
2014-09,84,44~149,¡º,46,78,49,1.667,27,122
2014-10,78,38~118,¡º,46,80,42,1.484,31,104
2014-11,83,50~201,¡º,58,98,59,2.053,36,54
2014-12,75,41~145,¡º,48,93,60,1.997,36,36
2015-01,127,62~241,«·∂»Œ€»æ,85,182,104,2.252,50,33
2015-02,127,50~251,«·∂»Œ€»æ,94,157,81,1.789,51,42
2015-03,136,65~406,«·∂»Œ€»æ,88,189,79,1.603,45,64
2015-04,98,55~216,¡º,66,119,62,1.617,39,87
2015-05,74,33~152,¡º,35,68,47,1.416,32,119
2015-06,121,53~201,«·∂»Œ€»æ,33,66,50,1.547,28,182
2015-07,108,45~185,«·∂»Œ€»æ,38,61,35,1.684,25,165
2015-08,85,37~152,¡º,29,50,29,1.758,33,136
2015-09,87,39~217,¡º,46,87,43,1.19,38,115
2015-10,119,64~238,«·∂»Œ€»æ,79,164,49,1.125,53,95
2015-11,141,30~324,«·∂»Œ€»æ,108,160,70,1.733,51,43
2015-12,190,63~500,÷–∂»Œ€»æ,146,229,106,2.565,69,37
2016-01,147,60~400,«·∂»Œ€»æ,111,183,85,1.761,57,46
2016-02,111,41~286,«·∂»Œ€»æ,76,143,51,1.255,36,78
2016-03,122,75~230,«·∂»Œ€»æ,79,179,50,1.106,40,130
2016-04,130,74~220,«·∂»Œ€»æ,81,199,43,1.223,40,151
2016-05,114,60~187,«·∂»Œ€»æ,51,121,28,1.016,32,159
2016-06,122,82~193,«·∂»Œ€»æ,52,106,24,1.043,28,183
2016-07,111,36~201,«·∂»Œ€»æ,57,96,18,1.161,24,164
2016-08,88,46~165,¡º,41,76,23,1.232,31,137
2016-09,113,55~202,«·∂»Œ€»æ,61,121,32,1.337,45,164
2016-10,89,46~156,¡º,60,114,31,1.213,47,79
2016-11,109,38~183,«·∂»Œ€»æ,78,146,32,1.2,44,58
2016-12,166,57~500,÷–∂»Œ€»æ,128,207,41,1.687,58,49
2017-01,181,55~500,÷–∂»Œ€»æ,135,216,44,2.003,57,54
2017-02,121,62~242,«·∂»Œ€»æ,87,147,40,1.121,42,94
2017-03,103,67~195,«·∂»Œ€»æ,70,137,37,1.168,44,109
2017-04,103,70~252,«·∂»Œ€»æ,59,137,28,0.917,35,131
2017-05,134,68~252,«·∂»Œ€»æ,52,142,27,0.858,28,176
2017-06,128,48~205,«·∂»Œ€»æ,52,107,22,0.877,31,188
2017-07,102,53~205,«·∂»Œ€»æ,56,102,13,1.103,26,133
2017-08,92,34~161,¡º,39,76,13,0.935,27,143
2017-09,93,55~153,¡º,44,97,17,0.823,34,145
2017-10,91,25~163,¡º,62,109,17,1.119,43,80
2017-11,96,51~180,¡º,60,133,25,0.97,46,65
2017-12,122,57~373,«·∂»Œ€»æ,85,156,30,1.297,50,49
2018-01,118,48~272,«·∂»Œ€»æ,84,150,30,1.245,48,57
2018-02,98,54~200,¡º,61,122,25,1,28,82
2018-03,95,50~236,¡º,61,114,23,1,34,113
2018-04,93,46~130,¡º,50,126,15,0.813,25,109
