‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,83,83~83,¡º,62,89,16,0.8,13,41
2015-01,75,46~133,¡º,55,78,29,0.665,13,77
2015-02,61,37~88,¡º,41,56,13,0.625,7,97
2015-03,82,42~145,¡º,58,79,10,0.56,11,122
2015-04,71,39~139,¡º,45,66,14,0.513,11,117
2015-05,63,31~109,¡º,28,48,13,0.39,9,114
2015-06,37,22~60,”≈,10,26,11,0.283,9,73
2015-07,66,29~136,¡º,34,61,34,0.542,14,105
2015-08,48,23~109,”≈,23,43,27,0.465,12,77
2015-09,42,24~93,”≈,24,39,25,0.487,10,70
2015-10,65,31~142,¡º,44,66,39,0.581,13,85
2015-11,47,25~90,”≈,24,48,26,0.53,13,67
2015-12,57,29~101,¡º,34,63,33,0.626,15,67
2016-01,62,36~170,¡º,42,69,25,0.6,13,83
2016-02,69,36~119,¡º,49,67,19,0.71,10,86
2016-03,85,43~124,¡º,61,94,14,0.71,13,127
2016-04,93,59~142,¡º,65,102,17,0.727,13,132
2016-05,67,35~100,¡º,45,74,15,0.535,11,108
2016-06,62,0~113,¡º,38,64,18,0.887,10,72
2016-07,44,29~59,”≈,20,46,16,0.384,9,57
2016-08,56,30~81,¡º,31,60,25,0.455,14,94
2016-09,68,39~113,¡º,45,77,40,0.657,12,96
2016-10,63,33~94,¡º,44,68,30,0.626,12,83
2016-11,61,36~122,¡º,38,64,31,0.603,14,59
2016-12,66,45~134,¡º,46,74,23,0.758,16,71
2017-01,48,32~102,”≈,31,46,17,0.571,10,68
2017-02,59,41~84,¡º,40,59,16,0.418,13,86
2017-03,75,34~122,¡º,50,77,13,0.558,15,112
2017-04,68,34~147,¡º,43,69,15,0.503,12,108
2017-05,72,41~102,¡º,44,68,13,0.484,12,119
2017-06,44,28~69,”≈,26,44,13,0.347,10,68
2017-07,48,29~92,”≈,31,47,19,0.442,11,66
2017-08,36,20~64,”≈,17,31,19,0.471,10,60
2017-09,38,19~68,”≈,19,37,19,0.517,10,60
2017-10,44,22~83,”≈,26,44,21,0.552,13,64
2017-11,53,21~112,¡º,35,54,18,0.583,15,69
2017-12,60,26~125,¡º,42,61,20,0.687,16,76
2018-01,45,25~67,”≈,30,44,12,0.577,11,68
2018-02,63,33~88,¡º,40,53,12,0.696,10,100
2018-03,76,49~103,¡º,47,65,10,0.687,11,128
2018-04,81,51~101,¡º,45,79,10,0.513,9,132
