‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,183,38~429,÷–∂»Œ€»æ,143,213,73,2.05,80,30
2014-01,144,54~286,«·∂»Œ€»æ,110,162,47,1.206,66,54
2014-02,89,30~211,¡º,66,88,34,1.239,50,60
2014-03,81,43~152,¡º,59,93,38,0.919,54,88
2014-04,86,50~211,¡º,62,100,38,0.903,56,94
2014-05,91,34~174,¡º,57,93,28,1.023,42,136
2014-06,91,41~203,¡º,51,62,26,0.613,36,136
2014-07,82,34~156,¡º,44,63,17,0.487,33,127
2014-08,84,22~184,¡º,47,52,29,0.603,40,133
2014-09,76,22~170,¡º,46,63,34,0.69,42,122
2014-10,89,46~137,¡º,58,91,42,0.7,51,125
2014-11,108,51~218,«·∂»Œ€»æ,81,119,46,0.867,60,76
2014-12,101,58~164,«·∂»Œ€»æ,74,126,59,0.884,67,49
2015-01,120,37~218,«·∂»Œ€»æ,90,135,46,0.929,64,46
2015-02,81,28~166,¡º,59,87,19,0.793,40,60
2015-03,70,38~106,¡º,49,73,24,0.697,50,71
2015-04,70,35~121,¡º,50,77,30,0.617,48,80
2015-05,89,44~154,¡º,50,75,27,0.532,35,137
2015-06,75,39~140,¡º,40,60,23,0.54,31,121
2015-07,63,22~129,¡º,33,47,21,0.442,30,108
2015-08,85,28~187,¡º,41,58,16,0.69,32,134
2015-09,86,28~183,¡º,47,67,29,0.83,41,124
2015-10,79,40~144,¡º,54,85,29,0.823,48,99
2015-11,79,39~147,¡º,53,72,25,1.05,54,30
2015-12,118,54~257,«·∂»Œ€»æ,88,128,34,1.203,64,37
2016-01,103,50~199,«·∂»Œ€»æ,72,107,27,1.116,58,44
2016-02,81,37~152,¡º,58,89,18,0.8,36,72
2016-03,85,38~180,¡º,61,95,22,0.832,48,76
2016-04,65,38~104,¡º,41,64,14,0.667,41,89
2016-05,72,37~134,¡º,43,63,13,0.7,31,108
2016-06,64,36~134,¡º,33,50,12,0.78,28,108
2016-07,70,23~144,¡º,28,43,10,0.713,21,118
2016-08,85,25~148,¡º,26,40,11,0.568,18,138
2016-09,72,20~128,¡º,31,48,12,0.667,26,117
2016-10,58,37~90,¡º,32,52,15,0.8,39,68
2016-11,79,32~138,¡º,55,81,18,1.15,50,55
2016-12,98,45~175,¡º,71,105,17,1.132,56,57
2017-01,85,37~192,¡º,61,88,14,0.952,43,58
2017-02,84,35~188,¡º,61,84,14,0.939,40,83
2017-03,75,46~165,¡º,51,77,14,0.813,41,100
2017-04,95,51~148,¡º,43,78,15,0.987,36,144
2017-05,101,38~202,«·∂»Œ€»æ,38,63,14,0.765,27,155
2017-06,67,25~175,¡º,28,40,11,0.86,21,115
2017-07,81,30~201,¡º,26,43,11,0.774,16,133
2017-08,77,30~134,¡º,28,42,8,0.71,17,130
2017-09,73,37~150,¡º,33,52,10,0.817,27,112
2017-10,58,27~90,¡º,34,60,11,0.932,35,87
2017-11,79,32~135,¡º,54,90,11,0.84,50,65
2017-12,109,56~250,«·∂»Œ€»æ,81,130,16,1.084,61,48
2018-01,99,36~204,¡º,71,101,12,1.106,50,47
2018-02,81,27~168,¡º,58,87,10,1.05,35,75
2018-03,70,31~124,¡º,46,70,7,0.829,37,95
2018-04,80,50~99,¡º,42,92,7,0.6,31,98
