‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,47,47~47,”≈,33,37,22,0.3,32,50
2015-01,89,24~219,¡º,64,95,49,1.023,51,55
2015-02,83,25~214,¡º,58,96,59,0.95,44,74
2015-03,61,27~150,¡º,36,69,64,0.748,36,86
2015-04,63,34~127,¡º,34,68,38,0.477,31,90
2015-05,45,27~98,”≈,14,35,6,0.345,13,83
2015-06,60,33~107,¡º,19,34,8,0.35,18,109
2015-07,69,29~146,¡º,16,25,6,0.345,20,119
2015-08,48,21~117,”≈,14,23,10,0.352,18,87
2015-09,38,20~119,”≈,16,30,9,0.353,16,64
2015-10,63,23~183,¡º,41,61,14,0.548,24,76
2015-11,127,44~334,«·∂»Œ€»æ,96,134,20,0.933,41,62
2015-12,64,29~119,¡º,29,45,44,1.242,44,45
2016-01,71,25~265,¡º,49,73,28,0.948,31,49
2016-02,54,28~99,¡º,34,57,26,0.741,24,66
2016-03,65,30~135,¡º,35,81,16,0.516,20,67
2016-04,65,23~143,¡º,31,81,10,0.643,19,68
2016-05,54,28~102,¡º,18,53,10,0.471,14,85
2016-06,43,26~92,”≈,19,37,11,0.243,17,82
2016-07,40,15~79,”≈,13,28,8,0.252,19,77
2016-08,31,12~64,”≈,13,27,7,0.216,16,57
2016-09,31,15~53,”≈,14,28,7,0.38,16,53
2016-10,60,22~186,¡º,36,63,6,0.671,22,45
2016-11,114,35~500,«·∂»Œ€»æ,94,124,18,0.693,32,49
2016-12,61,23~129,¡º,43,56,34,0.865,36,40
2017-01,104,28~331,«·∂»Œ€»æ,79,105,34,1.132,35,51
2017-02,58,29~152,¡º,38,55,20,0.625,24,69
2017-03,53,25~119,¡º,33,56,12,0.865,20,65
2017-04,71,35~215,¡º,43,84,16,1.007,27,78
2017-05,99,26~500,¡º,30,126,11,0.755,13,83
2017-06,52,24~96,¡º,16,37,11,0.547,16,93
2017-07,53,29~89,¡º,13,29,10,0.345,16,98
2017-08,39,18~90,”≈,15,29,7,0.306,11,70
2017-09,42,27~72,”≈,10,32,6,0.457,17,78
2017-10,81,32~222,¡º,54,77,11,0.69,30,84
2017-11,73,24~270,¡º,46,79,12,0.807,26,65
2017-12,71,30~135,¡º,48,77,28,1.039,33,59
2018-01,61,31~180,¡º,37,66,30,1.094,33,66
2018-02,62,36~132,¡º,40,65,25,0.789,23,78
2018-03,92,40~381,¡º,58,92,20,0.639,24,105
2018-04,128,41~250,«·∂»Œ€»æ,92,132,8,0.638,18,95
