‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,120,23~213,«·∂»Œ€»æ,90,120,31,1.31,47,83
2014-01,151,60~411,÷–∂»Œ€»æ,117,135,32,1.545,56,102
2014-02,80,15~181,¡º,59,68,28,1.179,34,73
2014-03,96,32~241,¡º,71,95,45,1.49,47,69
2014-04,88,53~189,¡º,61,86,32,1.327,40,98
2014-05,64,35~146,¡º,39,61,25,1.371,38,83
2014-06,72,40~158,¡º,36,64,22,1.227,27,110
2014-07,68,37~139,¡º,33,58,23,0.826,24,108
2014-08,66,25~203,¡º,27,48,23,0.81,25,108
2014-09,63,25~135,¡º,34,57,20,0.843,27,108
2014-10,112,69~200,«·∂»Œ€»æ,69,100,22,0.977,33,166
2014-11,86,21~180,¡º,62,85,25,1.103,36,102
2014-12,68,28~117,¡º,44,73,24,0.942,37,72
2015-01,85,25~157,¡º,60,91,25,1.187,53,80
2015-02,87,28~165,¡º,64,83,16,1.146,32,73
2015-03,60,16~130,¡º,41,59,24,1.145,33,50
2015-04,65,20~127,¡º,38,60,24,0.913,28,100
2015-05,50,27~100,¡º,28,44,23,0.926,31,77
2015-06,42,30~61,”≈,19,35,20,0.737,19,79
2015-07,58,30~144,¡º,25,40,18,0.697,15,103
2015-08,70,40~134,¡º,35,54,19,0.684,22,116
2015-09,78,28~179,¡º,40,57,21,0.877,25,124
2015-10,75,23~142,¡º,40,59,18,0.806,31,123
2015-11,63,26~158,¡º,40,62,19,0.997,40,79
2015-12,55,25~134,¡º,34,53,15,1.139,39,44
2016-01,54,30~118,¡º,33,50,12,1.184,39,44
2016-02,48,21~77,”≈,31,48,9,0.952,23,67
2016-03,72,20~110,¡º,47,68,23,1.132,48,65
2016-04,64,39~124,¡º,42,62,24,0.967,36,68
2016-05,71,30~150,¡º,33,55,18,0.871,27,109
2016-06,53,34~104,¡º,24,42,17,0.74,25,94
2016-07,56,28~167,¡º,23,42,17,0.713,21,94
2016-08,73,30~175,¡º,34,55,14,0.823,30,117
2016-09,76,26~153,¡º,35,56,13,0.797,28,122
2016-10,57,28~97,¡º,35,52,13,0.813,25,93
2016-11,75,23~175,¡º,52,74,16,1.11,41,80
2016-12,81,38~133,¡º,59,81,16,1.139,50,81
2017-01,84,33~183,¡º,61,77,10,1.268,37,80
2017-02,68,30~112,¡º,49,63,13,1.075,35,81
2017-03,73,32~118,¡º,51,74,17,1.171,48,50
2017-04,71,31~118,¡º,42,65,15,0.943,39,81
2017-05,76,35~175,¡º,36,59,16,0.884,35,118
2017-06,45,34~76,”≈,21,40,12,0.807,25,77
2017-07,66,29~146,¡º,28,46,13,0.865,36,100
2017-08,53,25~96,¡º,22,40,13,0.826,26,96
2017-09,88,38~207,¡º,40,59,14,0.997,37,137
2017-10,73,28~149,¡º,37,55,12,0.994,36,121
2017-11,63,24~108,¡º,42,61,13,0.963,38,68
2017-12,81,32~150,¡º,57,81,19,1.113,52,84
2018-01,93,27~196,¡º,65,89,15,1.213,59,66
2018-02,69,25~143,¡º,50,64,9,0.911,29,78
2018-03,70,30~155,¡º,43,63,17,0.877,39,102
2018-04,75,44~91,¡º,41,79,21,0.738,30,120
