‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,130,130~130,«·∂»Œ€»æ,97,210,101,1.5,40,34
2014-01,157,51~302,÷–∂»Œ€»æ,120,156,65,1.171,35,52
2014-02,92,34~204,¡º,68,76,35,0.807,30,77
2014-03,110,45~195,«·∂»Œ€»æ,78,120,31,1.074,38,96
2014-04,85,48~148,¡º,51,62,17,0.592,26,112
2014-05,96,59~148,¡º,51,82,19,0.96,20,150
2014-06,84,46~132,¡º,41,47,12,0.482,15,138
2014-07,92,39~178,¡º,43,54,11,1.097,15,147
2014-08,102,47~187,«·∂»Œ€»æ,46,68,19,0.694,23,160
2014-09,82,34~146,¡º,37,59,19,0.662,24,130
2014-10,85,55~143,¡º,47,81,24,0.871,30,133
2014-11,106,49~234,«·∂»Œ€»æ,76,122,46,0.834,33,88
2014-12,105,60~270,«·∂»Œ€»æ,76,127,54,1.084,38,46
2015-01,118,37~271,«·∂»Œ€»æ,88,124,46,1.39,40,56
2015-02,106,42~183,«·∂»Œ€»æ,76,117,34,1.018,33,75
2015-03,82,40~156,¡º,53,101,21,0.845,24,93
2015-04,79,50~162,¡º,50,85,18,0.71,21,108
2015-05,72,47~111,¡º,36,62,12,0.565,19,122
2015-06,85,50~156,¡º,39,54,10,0.57,19,140
2015-07,85,36~175,¡º,38,59,13,0.761,19,138
2015-08,94,33~201,¡º,43,69,15,0.868,26,149
2015-09,92,48~173,¡º,35,60,20,0.72,29,149
2015-10,94,55~169,¡º,60,92,25,0.897,37,132
2015-11,91,35~209,¡º,65,94,28,1.08,36,75
2015-12,141,43~370,«·∂»Œ€»æ,106,172,50,1.817,55,49
2016-01,134,58~332,«·∂»Œ€»æ,99,161,46,1.484,59,62
2016-02,88,41~195,¡º,61,93,26,1.155,34,98
2016-03,93,44~212,¡º,59,114,20,0.745,31,111
2016-04,107,49~352,«·∂»Œ€»æ,54,119,13,0.75,25,135
2016-05,97,52~156,¡º,44,78,11,0.694,23,149
2016-06,89,28~185,¡º,28,43,7,0.63,13,143
2016-07,86,24~170,¡º,31,44,7,0.587,13,139
2016-08,70,26~164,¡º,22,40,9,0.655,20,117
2016-09,107,34~203,«·∂»Œ€»æ,37,60,11,0.717,26,163
2016-10,69,36~112,¡º,36,57,12,0.677,30,108
2016-11,83,34~152,¡º,57,96,19,0.773,42,79
2016-12,128,53~280,«·∂»Œ€»æ,96,140,24,1.229,51,67
2017-01,123,45~304,«·∂»Œ€»æ,92,133,24,1.281,45,78
2017-02,100,48~225,¡º,71,106,20,1.007,36,101
2017-03,84,57~139,¡º,53,91,16,0.803,39,117
2017-04,100,62~176,¡º,41,91,14,0.67,34,155
2017-05,115,45~229,«·∂»Œ€»æ,37,106,11,0.565,26,159
2017-06,95,46~204,¡º,27,52,6,0.477,20,152
2017-07,87,27~153,¡º,32,51,7,0.745,23,142
2017-08,77,29~163,¡º,22,42,6,0.7,21,129
2017-09,96,42~177,¡º,27,53,8,0.73,27,153
2017-10,71,34~139,¡º,37,65,10,0.697,39,110
2017-11,80,48~144,¡º,47,98,14,0.687,46,81
2017-12,97,55~172,¡º,66,118,20,1.055,54,61
2018-01,108,50~275,«·∂»Œ€»æ,76,127,19,1.074,46,64
2018-02,74,44~134,¡º,47,84,13,0.893,25,82
2018-03,78,31~173,¡º,50,89,12,0.761,30,104
2018-04,73,47~112,¡º,31,93,11,0.463,25,101
