‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,179,179~179,÷–∂»Œ€»æ,92,307,161,1.5,68,37
2014-01,161,56~306,÷–∂»Œ€»æ,125,178,73,0.957,45,33
2014-02,86,28~161,¡º,63,89,39,0.896,36,63
2014-03,98,57~173,¡º,69,125,45,0.804,47,105
2014-04,86,41~166,¡º,54,106,27,0.696,46,111
2014-05,103,35~207,«·∂»Œ€»æ,56,112,24,0.566,35,142
2014-06,94,51~151,¡º,51,73,13,0.497,24,146
2014-07,101,36~200,«·∂»Œ€»æ,57,76,13,0.455,28,151
2014-08,93,35~187,¡º,40,66,14,0.558,29,150
2014-09,71,36~115,¡º,33,60,16,0.563,32,119
2014-10,73,35~131,¡º,41,76,18,0.587,45,112
2014-11,101,41~208,«·∂»Œ€»æ,73,117,49,1.03,56,64
2014-12,87,48~207,¡º,61,96,89,1.129,56,43
2015-01,92,32~201,¡º,66,92,79,1.31,54,57
2015-02,84,41~157,¡º,59,87,67,1.164,40,78
2015-03,71,39~141,¡º,45,79,42,0.813,49,98
2015-04,85,49~188,¡º,48,80,26,0.697,39,133
2015-05,75,41~124,¡º,36,66,16,0.613,40,122
2015-06,80,44~142,¡º,29,52,14,0.567,27,135
2015-07,75,27~183,¡º,27,45,11,0.561,21,127
2015-08,78,28~148,¡º,27,48,15,0.59,30,129
2015-09,82,48~130,¡º,25,61,14,0.53,50,132
2015-10,90,55~157,¡º,48,97,20,0.697,47,125
2015-11,86,30~220,¡º,61,91,26,1.083,40,65
2015-12,150,35~344,÷–∂»Œ€»æ,115,168,63,1.855,55,42
2016-01,114,42~304,«·∂»Œ€»æ,84,132,63,1.658,47,57
2016-02,79,42~160,¡º,52,80,28,1.252,37,95
2016-03,77,40~142,¡º,46,92,20,0.773,37,101
2016-04,95,44~239,¡º,47,107,15,0.687,36,129
2016-05,96,43~150,¡º,38,74,13,0.661,32,146
2016-06,99,33~173,¡º,26,48,10,0.52,24,156
2016-07,84,25~140,¡º,39,58,11,0.526,23,138
2016-08,71,26~152,¡º,25,49,11,0.532,27,120
2016-09,99,30~196,¡º,39,67,16,0.63,35,156
2016-10,60,33~97,¡º,31,48,15,0.619,37,94
2016-11,94,34~212,¡º,67,104,28,1.117,50,67
2016-12,128,48~284,«·∂»Œ€»æ,96,130,40,1.448,55,57
2017-01,113,41~249,«·∂»Œ€»æ,83,115,36,1.552,49,67
2017-02,84,42~203,¡º,57,87,31,1.032,41,87
2017-03,72,53~110,¡º,43,79,24,0.842,41,108
2017-04,86,48~135,¡º,37,88,18,0.653,38,136
2017-05,99,40~181,¡º,35,105,14,0.594,34,141
2017-06,97,45~207,¡º,25,59,10,0.593,30,154
2017-07,92,34~151,¡º,28,58,7,0.745,24,145
2017-08,83,30~173,¡º,19,48,9,0.594,30,133
2017-09,95,44~155,¡º,25,65,12,0.7,36,150
2017-10,74,32~142,¡º,36,74,13,0.697,44,111
2017-11,77,43~129,¡º,45,94,19,0.763,50,79
2017-12,90,51~163,¡º,61,109,27,1.335,58,58
2018-01,100,38~244,¡º,71,113,26,1.226,53,62
2018-02,71,43~122,¡º,47,76,21,0.85,37,85
2018-03,77,46~127,¡º,49,80,18,0.635,46,104
2018-04,77,52~115,¡º,39,95,15,0.513,36,105
