‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,143,143~143,«·∂»Œ€»æ,110,141,46,0.9,27,37
2014-01,186,86~301,÷–∂»Œ€»æ,145,193,35,1.252,33,30
2014-02,120,34~206,«·∂»Œ€»æ,90,120,34,0.879,24,32
2014-03,92,49~158,¡º,67,109,24,0.803,23,32
2014-04,73,47~117,¡º,51,92,18,0.71,18,26
2014-05,111,63~192,«·∂»Œ€»æ,82,138,16,1.01,18,25
2014-06,68,50~101,¡º,46,82,17,0.903,27,61
2014-07,70,48~144,¡º,45,87,20,0.935,30,74
2014-08,66,44~116,¡º,45,74,16,0.797,19,74
2014-09,72,40~113,¡º,49,79,15,0.753,17,60
2014-10,99,34~222,¡º,73,106,22,0.829,22,55
2014-11,94,37~196,¡º,70,100,21,0.843,24,50
2014-12,140,70~229,«·∂»Œ€»æ,107,145,28,1.081,32,51
2015-01,185,51~295,÷–∂»Œ€»æ,144,188,25,1.513,33,54
2015-02,144,37~261,«·∂»Œ€»æ,109,151,21,1.189,28,64
2015-03,103,53~174,«·∂»Œ€»æ,78,114,22,1.452,28,55
2015-04,91,32~228,¡º,67,98,16,0.947,24,56
2015-05,86,48~195,¡º,62,100,16,0.655,25,72
2015-06,68,45~104,¡º,48,82,12,0.69,29,72
2015-07,77,35~110,¡º,50,76,13,0.681,31,117
2015-08,75,43~120,¡º,46,73,16,0.661,30,110
2015-09,60,34~109,¡º,40,61,17,0.69,25,72
2015-10,110,37~225,«·∂»Œ€»æ,81,125,16,0.948,35,70
2015-11,93,37~163,¡º,68,100,18,1.033,32,40
2015-12,120,48~229,«·∂»Œ€»æ,90,125,23,1.061,42,33
2016-01,134,37~238,«·∂»Œ€»æ,101,133,18,1.084,40,28
2016-02,135,53~366,«·∂»Œ€»æ,103,142,12,1.155,40,52
2016-03,116,32~196,«·∂»Œ€»æ,87,131,13,0.948,26,69
2016-04,79,41~147,¡º,57,92,10,0.747,25,69
2016-05,96,33~317,¡º,71,104,11,0.813,27,83
2016-06,62,30~109,¡º,41,60,13,0.7,26,90
2016-07,55,30~89,¡º,33,52,16,0.539,27,84
2016-08,71,36~166,¡º,50,70,14,0.655,30,96
2016-09,72,40~162,¡º,52,71,11,0.77,32,75
2016-10,88,31~188,¡º,65,86,16,0.865,35,82
2016-11,136,35~232,«·∂»Œ€»æ,102,132,20,1.093,43,88
2016-12,155,68~228,÷–∂»Œ€»æ,117,144,24,1.281,42,56
2017-01,180,42~324,÷–∂»Œ€»æ,141,170,28,1.326,50,58
2017-02,127,55~226,«·∂»Œ€»æ,96,122,24,1.1,41,78
2017-03,91,48~143,¡º,66,95,17,0.861,40,78
2017-04,73,33~108,¡º,46,73,12,0.77,29,113
2017-05,88,47~143,¡º,59,88,12,0.781,30,122
2017-06,67,34~110,¡º,33,59,13,0.627,32,104
2017-07,98,40~182,¡º,36,53,13,0.571,29,153
2017-08,70,28~119,¡º,37,50,11,0.561,26,115
2017-09,62,28~148,¡º,42,61,12,0.643,32,87
2017-10,60,31~144,¡º,40,58,12,0.697,35,49
2017-11,118,54~213,«·∂»Œ€»æ,88,115,17,0.947,45,76
2017-12,153,77~248,÷–∂»Œ€»æ,116,153,18,1.248,54,59
2018-01,130,35~249,«·∂»Œ€»æ,99,124,20,1.265,48,72
2018-02,125,62~263,«·∂»Œ€»æ,93,118,14,1.054,37,103
2018-03,92,49~159,¡º,65,92,14,0.842,37,122
2018-04,92,51~136,¡º,55,102,16,0.75,35,139
