‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,99,40~345,¡º,71,107,22,1.153,40,84
2014-01,73,37~190,¡º,47,75,14,0.784,28,82
2014-02,53,29~118,¡º,30,42,6,1.096,15,87
2014-03,61,32~115,¡º,31,50,7,0.794,22,106
2014-04,59,42~90,¡º,28,44,5,0.78,20,105
2014-05,78,38~151,¡º,40,63,8,1.006,22,130
2014-06,60,39~121,¡º,25,33,7,0.62,15,107
2014-07,47,15~125,”≈,21,30,4,0.752,12,85
2014-08,58,22~124,¡º,20,31,4,0.787,12,105
2014-09,63,23~114,¡º,22,35,5,0.687,13,113
2014-10,68,36~154,¡º,23,50,7,0.716,14,121
2014-11,55,36~122,¡º,26,46,8,0.627,20,97
2014-12,68,38~115,¡º,43,83,14,0.826,36,68
2015-01,76,35~198,¡º,51,83,13,0.919,35,81
2015-02,67,35~144,¡º,40,65,7,0.757,21,97
2015-03,58,37~88,¡º,25,40,5,0.694,21,106
2015-04,73,35~130,¡º,30,52,7,0.743,26,123
2015-05,69,44~116,¡º,22,36,7,0.471,18,122
2015-06,58,35~143,¡º,23,36,6,0.52,26,105
2015-07,58,29~138,¡º,21,32,7,0.487,16,102
2015-08,53,23~101,¡º,20,31,6,0.552,13,95
2015-09,75,37~138,¡º,20,33,8,0.56,14,127
2015-10,78,49~138,¡º,27,46,10,0.61,16,133
2015-11,48,29~89,”≈,28,41,8,0.74,22,81
2015-12,71,39~201,¡º,48,70,12,0.829,34,72
2016-01,67,41~160,¡º,42,61,12,0.871,27,87
2016-02,63,42~127,¡º,38,58,9,0.717,20,104
2016-03,62,34~101,¡º,27,46,9,0.51,22,106
2016-04,74,42~142,¡º,28,46,7,0.583,25,125
2016-05,81,42~140,¡º,29,53,8,0.723,21,134
2016-06,56,29~98,¡º,17,28,9,0.5,18,102
2016-07,44,18~123,”≈,19,32,8,0.426,15,84
2016-08,47,19~115,”≈,14,26,9,0.632,12,83
2016-09,56,18~120,¡º,18,32,10,0.713,13,100
2016-10,49,23~83,”≈,14,30,8,0.626,12,92
2016-11,47,32~70,”≈,22,43,9,0.753,18,81
2016-12,58,32~104,¡º,35,59,10,0.91,26,75
2017-01,54,38~94,¡º,30,49,10,0.816,19,86
2017-02,64,41~114,¡º,35,58,11,0.786,21,101
2017-03,70,46~97,¡º,29,53,10,0.703,21,122
2017-04,76,42~121,¡º,29,55,11,0.697,24,128
2017-05,75,27~129,¡º,20,43,10,0.581,15,124
2017-06,68,30~172,¡º,20,32,8,0.66,16,118
2017-07,56,23~136,¡º,19,37,8,0.513,15,98
2017-08,66,21~164,¡º,22,36,7,0.623,14,112
2017-09,61,30~138,¡º,16,30,7,0.677,10,110
2017-10,57,29~102,¡º,15,33,7,0.603,9,106
2017-11,53,32~148,¡º,24,47,9,0.84,25,84
2017-12,63,37~175,¡º,38,71,11,1.042,28,81
2018-01,58,33~145,¡º,35,54,8,0.952,22,77
2018-02,60,38~124,¡º,35,60,9,0.814,23,90
2018-03,51,33~75,¡º,26,41,8,0.81,24,93
2018-04,58,32~90,¡º,24,62,9,0.8,23,87
