‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,151,151~151,÷–∂»Œ€»æ,116,202,82,1.3,64,49
2014-01,165,65~351,÷–∂»Œ€»æ,128,177,48,1.139,44,46
2014-02,99,23~245,¡º,74,92,34,0.957,29,44
2014-03,84,47~122,¡º,60,110,18,1.152,22,35
2014-04,82,51~125,¡º,57,107,14,1.007,18,57
2014-05,121,57~218,«·∂»Œ€»æ,87,159,19,1.103,24,57
2014-06,114,57~214,«·∂»Œ€»æ,86,124,48,1.037,19,72
2014-07,85,26~167,¡º,62,88,36,0.823,23,60
2014-08,66,28~112,¡º,45,77,16,0.858,21,39
2014-09,62,30~103,¡º,42,68,11,1.017,21,34
2014-10,73,38~131,¡º,53,70,17,1.184,31,48
2014-11,67,24~145,¡º,49,56,15,1.6,34,38
2014-12,92,50~136,¡º,68,93,29,1.339,36,26
2015-01,117,36~220,«·∂»Œ€»æ,88,126,27,1.516,29,48
2015-02,78,24~174,¡º,57,84,14,1.264,19,45
2015-03,62,23~163,¡º,43,63,16,1.165,22,40
2015-04,65,38~94,¡º,46,68,12,1.22,21,32
2015-05,82,46~158,¡º,60,88,24,0.89,40,49
2015-06,56,27~89,¡º,34,64,14,0.89,35,29
2015-07,50,32~103,”≈,32,50,12,0.665,21,29
2015-08,62,43~99,¡º,38,57,22,0.706,43,63
2015-09,66,38~92,¡º,44,67,20,0.68,42,64
2015-10,101,52~195,«·∂»Œ€»æ,73,110,25,0.842,54,68
2015-11,91,49~152,¡º,64,88,23,1.117,53,66
2015-12,142,69~298,«·∂»Œ€»æ,108,151,24,1.3,61,58
2016-01,121,53~290,«·∂»Œ€»æ,90,125,25,1.232,52,66
2016-02,80,46~142,¡º,54,79,28,1.269,43,87
2016-03,86,48~122,¡º,58,85,31,1.435,53,90
2016-04,63,37~107,¡º,41,67,15,1.227,37,71
2016-05,80,38~156,¡º,58,87,18,0.977,40,86
2016-06,64,40~128,¡º,40,61,19,0.717,36,71
2016-07,53,33~72,¡º,31,43,23,0.726,37,65
2016-08,52,39~78,¡º,25,39,21,0.745,25,90
2016-09,72,44~120,¡º,36,58,17,0.83,32,123
2016-10,70,46~107,¡º,46,67,15,0.858,42,97
2016-11,98,49~173,¡º,71,109,21,1.33,59,82
2016-12,120,62~202,«·∂»Œ€»æ,86,116,23,1.435,79,64
2017-01,85,48~152,¡º,52,92,18,1.442,61,57
2017-02,91,52~149,¡º,62,95,19,1.111,55,71
2017-03,83,55~134,¡º,53,104,16,0.758,55,80
2017-04,87,47~119,¡º,46,110,21,1.063,54,115
2017-05,113,48~164,«·∂»Œ€»æ,44,99,16,1.016,42,166
2017-06,97,39~183,¡º,35,62,12,1.02,32,150
2017-07,89,37~189,¡º,29,57,13,0.916,35,137
2017-08,68,34~132,¡º,27,48,12,0.945,34,114
2017-09,69,39~139,¡º,35,57,8,0.99,39,102
2017-10,70,36~117,¡º,40,67,12,0.935,49,89
2017-11,94,47~155,¡º,65,97,17,1.08,62,64
2017-12,131,54~278,«·∂»Œ€»æ,99,111,19,1.106,67,43
2018-01,141,40~323,«·∂»Œ€»æ,108,90,16,1.126,56,58
2018-02,107,30~236,«·∂»Œ€»æ,78,98,16,0.893,49,75
2018-03,80,45~149,¡º,54,79,13,0.916,49,102
2018-04,86,55~115,¡º,43,99,11,0.863,42,117
