‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,182,46~412,÷–∂»Œ€»æ,144,177,39,1.557,82,39
2014-01,131,44~270,«·∂»Œ€»æ,100,102,27,1.045,67,54
2014-02,90,21~282,¡º,67,76,16,0.914,43,54
2014-03,97,44~184,¡º,71,101,22,0.952,56,91
2014-04,85,43~161,¡º,62,83,19,0.807,49,103
2014-05,107,54~195,«·∂»Œ€»æ,76,120,21,0.861,48,139
2014-06,96,39~195,¡º,61,84,21,0.87,39,138
2014-07,93,44~210,¡º,56,78,14,0.839,35,129
2014-08,83,23~164,¡º,52,72,16,0.958,45,114
2014-09,71,31~140,¡º,42,63,16,0.843,42,111
2014-10,84,51~170,¡º,54,88,23,0.835,58,112
2014-11,95,48~202,¡º,71,90,30,1.033,68,67
2014-12,109,53~183,«·∂»Œ€»æ,81,122,40,1.2,73,40
2015-01,128,36~221,«·∂»Œ€»æ,96,112,31,1.142,68,48
2015-02,98,32~229,¡º,72,90,21,0.946,49,72
2015-03,85,43~179,¡º,60,74,18,0.89,57,82
2015-04,92,42~150,¡º,63,92,23,0.947,63,121
2015-05,86,45~140,¡º,46,69,16,0.771,46,136
2015-06,77,29~142,¡º,43,65,13,0.787,41,122
2015-07,72,24~169,¡º,39,59,14,0.745,38,113
2015-08,85,30~155,¡º,42,67,17,0.784,37,133
2015-09,83,44~161,¡º,39,62,20,0.777,45,134
2015-10,85,53~138,¡º,53,93,21,0.861,58,116
2015-11,82,39~143,¡º,54,75,21,1.123,56,58
2015-12,122,63~253,«·∂»Œ€»æ,87,113,29,1.297,71,38
2016-01,104,48~195,«·∂»Œ€»æ,72,99,23,1.132,68,53
2016-02,88,38~188,¡º,62,92,20,1.024,50,84
2016-03,90,36~153,¡º,63,92,20,0.935,57,91
2016-04,85,47~146,¡º,46,82,15,0.917,52,127
2016-05,89,50~169,¡º,43,80,14,0.89,46,128
2016-06,81,39~140,¡º,32,57,13,0.803,43,126
2016-07,82,35~140,¡º,31,57,13,0.735,36,126
2016-08,81,37~130,¡º,23,48,13,0.758,33,133
2016-09,82,33~157,¡º,33,60,14,0.983,50,117
2016-10,61,38~82,¡º,27,47,15,0.935,47,69
2016-11,86,35~127,¡º,51,80,21,1.09,67,57
2016-12,108,48~213,«·∂»Œ€»æ,74,97,24,1.19,68,64
2017-01,86,39~186,¡º,58,73,18,0.952,50,62
2017-02,89,38~160,¡º,64,75,18,0.929,48,87
2017-03,78,52~132,¡º,53,72,16,0.868,50,111
2017-04,103,62~155,«·∂»Œ€»æ,48,87,16,0.91,52,147
2017-05,103,41~178,«·∂»Œ€»æ,33,76,13,0.703,40,156
2017-06,83,43~150,¡º,31,53,9,0.687,39,128
2017-07,78,31~165,¡º,27,54,10,0.606,34,131
2017-08,74,29~155,¡º,25,45,9,0.765,30,124
2017-09,68,42~144,¡º,28,46,10,0.753,43,97
2017-10,61,40~111,¡º,29,48,13,0.768,42,92
2017-11,85,40~120,¡º,48,83,17,1.003,67,66
2017-12,108,60~253,«·∂»Œ€»æ,72,109,19,1.168,76,51
2018-01,112,39~272,«·∂»Œ€»æ,76,98,15,1.039,66,53
2018-02,83,41~193,¡º,56,83,12,0.896,48,80
2018-03,73,46~107,¡º,42,73,10,0.923,54,88
2018-04,81,53~109,¡º,37,100,10,0.663,46,101
