月份,AQI,范围,质量等级,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,145,145~145,轻度污染,111,149,27,1.1,42,157
2014-01,119,63~328,轻度污染,90,120,22,1.213,27,127
2014-02,57,28~99,良,38,53,10,1,20,66
2014-03,52,28~91,良,35,52,15,0.981,24,64
2014-04,49,23~111,优,27,46,14,1.103,18,82
2014-05,40,19~72,优,21,34,13,0.761,11,73
2014-06,45,20~143,优,20,35,8,0.887,12,84
2014-07,37,19~101,优,20,36,13,0.716,11,60
2014-08,33,17~49,优,16,32,15,0.774,11,59
2014-09,46,20~104,优,26,44,15,0.783,11,79
2014-10,85,50~131,良,56,84,27,0.91,16,128
2014-11,68,29~120,良,45,62,19,0.957,15,100
2014-12,81,20~142,良,60,79,23,1.061,21,87
2015-01,83,33~145,良,61,84,19,1.045,23,104
2015-02,81,21~204,良,60,80,12,1.093,18,86
2015-03,49,17~97,优,29,46,10,0.835,15,75
2015-04,52,18~95,良,27,46,12,0.887,13,87
2015-05,34,21~50,优,16,27,7,0.677,9,68
2015-06,31,18~51,优,12,23,7,0.657,7,61
2015-07,40,22~69,优,21,32,12,0.974,11,75
2015-08,51,21~145,良,26,44,14,0.948,12,90
2015-09,46,20~90,优,25,40,10,0.834,11,79
2015-10,70,22~162,良,44,66,17,0.923,17,112
2015-11,53,25~100,良,32,55,19,0.87,17,89
2015-12,49,24~95,优,31,49,21,1.006,20,60
2016-01,53,21~110,良,35,53,16,1.006,23,62
2016-02,59,22~158,良,41,61,11,0.931,16,66
2016-03,50,19~110,优,32,48,12,0.813,18,72
2016-04,43,25~68,优,26,41,8,0.797,12,73
2016-05,42,21~96,优,20,33,9,0.871,11,77
2016-06,37,22~65,优,15,29,9,0.87,10,70
2016-07,34,22~56,优,16,33,11,0.694,10,60
2016-08,43,21~91,优,23,40,13,0.739,12,78
2016-09,52,22~83,良,32,52,18,0.87,14,91
2016-10,49,23~74,优,32,51,17,0.913,12,81
2016-11,51,18~88,良,32,51,15,0.917,14,73
2016-12,76,47~122,良,53,85,20,1.065,23,102
2017-01,72,30~138,良,51,77,12,1.071,21,93
2017-02,61,26~135,良,42,60,11,0.911,14,88
2017-03,53,32~90,良,33,57,10,0.932,16,73
2017-04,53,29~110,良,27,46,10,0.82,13,87
2017-05,54,24~144,良,25,42,11,0.794,13,94
2017-06,33,23~57,优,13,25,8,0.663,11,64
2017-07,35,21~74,优,16,26,9,0.706,10,67
2017-08,37,19~75,优,15,28,8,0.635,11,72
2017-09,43,15~76,优,21,38,14,0.79,14,79
2017-10,59,20~134,良,35,58,19,0.913,14,97
2017-11,64,26~117,良,44,67,25,1.007,19,85
2017-12,81,33~118,良,58,90,27,1.068,24,109
2018-01,66,23~124,良,43,67,16,0.9,20,92
2018-02,72,29~149,良,49,75,13,0.939,16,90
2018-03,57,27~109,良,30,53,10,0.745,13,97
2018-04,68,45~90,良,35,72,14,0.788,14,105
