‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,114,114~114,«·∂»Œ€»æ,39,177,32,0.7,32,76
2015-01,188,90~273,÷–∂»Œ€»æ,145,223,53,1.61,50,60
2015-02,153,94~221,÷–∂»Œ€»æ,116,172,38,1.132,39,72
2015-03,108,62~226,«·∂»Œ€»æ,75,139,35,0.961,31,91
2015-04,81,38~132,¡º,46,102,30,0.857,34,110
2015-05,102,55~199,«·∂»Œ€»æ,62,112,24,0.939,29,135
2015-06,69,30~109,¡º,43,78,12,0.79,24,99
2015-07,63,31~91,¡º,36,65,13,0.635,21,95
2015-08,66,34~113,¡º,43,73,16,0.713,24,82
2015-09,89,51~158,¡º,65,96,20,0.777,24,110
2015-10,99,39~183,¡º,71,113,21,0.823,32,103
2015-11,72,29~119,¡º,51,77,19,0.96,32,47
2015-12,128,52~260,«·∂»Œ€»æ,92,145,26,0.987,44,50
2016-01,150,80~319,÷–∂»Œ€»æ,113,171,27,1.187,45,51
2016-02,105,54~168,«·∂»Œ€»æ,71,133,27,0.886,34,87
2016-03,112,64~194,«·∂»Œ€»æ,76,146,30,0.803,37,97
2016-04,71,32~104,¡º,40,90,26,0.833,30,104
2016-05,79,40~132,¡º,44,92,21,0.694,28,113
2016-06,62,38~92,¡º,36,63,15,0.817,24,97
2016-07,50,28~69,¡º,26,53,17,0.887,19,68
2016-08,70,27~111,¡º,42,83,15,0.806,29,95
2016-09,85,39~170,¡º,54,90,23,0.87,41,125
2016-10,57,24~98,¡º,33,58,14,0.726,28,68
2016-11,92,43~261,¡º,65,94,16,0.873,41,48
2016-12,122,65~269,«·∂»Œ€»æ,90,125,19,1.371,62,46
2017-01,131,54~238,«·∂»Œ€»æ,96,123,22,1.303,51,60
2017-02,92,53~142,¡º,64,104,19,1.064,41,79
2017-03,75,40~114,¡º,44,91,21,0.945,48,96
2017-04,76,35~111,¡º,35,85,20,0.88,37,112
2017-05,93,38~206,¡º,35,90,18,0.781,35,138
2017-06,66,41~95,¡º,32,67,14,0.87,27,110
2017-07,57,25~93,¡º,26,57,10,0.823,23,91
2017-08,62,39~94,¡º,29,62,11,0.826,24,109
2017-09,63,24~117,¡º,29,56,15,0.847,26,101
2017-10,54,24~97,¡º,35,56,14,0.848,28,82
2017-11,108,55~228,«·∂»Œ€»æ,79,111,22,1.017,51,84
2017-12,132,63~279,«·∂»Œ€»æ,98,126,28,1.271,64,71
2018-01,145,70~274,«·∂»Œ€»æ,110,98,20,1.423,50,66
2018-02,120,60~200,«·∂»Œ€»æ,86,114,20,1.25,42,93
2018-03,87,55~142,¡º,61,84,16,1.061,36,98
2018-04,95,59~151,¡º,42,128,16,0.863,38,114
