‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,122,122~122,«·∂»Œ€»æ,62,194,64,0.6,27,27
2014-01,112,29~313,«·∂»Œ€»æ,82,124,41,0.897,19,51
2014-02,95,41~184,¡º,66,89,23,0.696,23,85
2014-03,91,53~166,¡º,62,99,23,0.558,25,110
2014-04,89,64~179,¡º,50,84,16,0.443,14,136
2014-05,106,50~184,«·∂»Œ€»æ,42,86,21,0.281,18,165
2014-06,87,41~137,¡º,36,51,16,0.287,9,139
2014-07,94,36~159,¡º,40,58,15,0.313,8,149
2014-08,92,37~157,¡º,34,53,16,0.423,11,149
2014-09,75,39~105,¡º,24,43,15,0.327,13,129
2014-10,74,50~123,¡º,31,58,11,0.3,16,126
2014-11,69,38~167,¡º,45,75,17,0.527,22,85
2014-12,66,20~236,¡º,43,67,24,0.539,20,50
2015-01,69,23~227,¡º,45,71,22,0.581,19,61
2015-02,72,32~204,¡º,43,84,16,0.521,15,71
2015-03,72,37~159,¡º,43,88,13,0.503,19,84
2015-04,74,31~186,¡º,38,77,9,0.353,13,111
2015-05,74,41~117,¡º,29,55,10,0.316,15,125
2015-06,89,55~180,¡º,33,52,12,0.353,9,143
2015-07,68,27~120,¡º,19,34,12,0.339,9,119
2015-08,80,34~150,¡º,30,48,9,0.339,11,133
2015-09,80,47~115,¡º,21,37,11,0.247,13,135
2015-10,66,28~150,¡º,29,56,11,0.426,19,109
2015-11,53,26~114,¡º,34,48,16,0.55,18,68
2015-12,75,26~228,¡º,54,70,28,0.826,26,52
2016-01,69,27~198,¡º,48,68,23,0.684,21,55
2016-02,68,26~178,¡º,45,74,12,0.631,15,62
2016-03,78,32~226,¡º,47,97,11,0.545,17,78
2016-04,99,45~430,¡º,47,123,15,0.603,20,100
2016-05,92,46~165,¡º,40,74,19,0.384,27,147
2016-06,78,39~130,¡º,28,48,11,0.46,15,132
2016-07,54,30~88,¡º,25,41,8,0.623,11,97
2016-08,45,0~87,”≈,14,25,7,0.223,10,83
2016-09,61,29~100,¡º,27,45,11,0.55,13,107
2016-10,53,31~102,¡º,24,41,8,0.477,14,98
2016-11,58,30~108,¡º,36,65,12,0.657,17,79
2016-12,56,33~144,¡º,36,56,14,0.845,19,73
2017-01,60,33~175,¡º,38,58,12,0.858,17,75
2017-02,54,34~132,¡º,32,53,15,0.668,13,83
2017-03,58,32~104,¡º,37,63,15,0.706,22,77
2017-04,71,46~129,¡º,33,74,10,0.637,21,113
2017-05,81,31~171,¡º,29,73,9,0.581,17,123
2017-06,72,40~165,¡º,21,44,8,0.597,13,125
2017-07,69,31~124,¡º,21,41,6,0.606,8,121
2017-08,55,29~127,¡º,12,29,8,0.481,9,101
2017-09,79,41~146,¡º,17,40,9,0.613,10,134
2017-10,54,30~102,¡º,12,36,9,0.613,13,101
2017-11,52,34~100,¡º,17,52,10,0.713,17,86
2017-12,55,32~107,¡º,31,64,12,0.887,21,69
2018-01,58,31~109,¡º,32,68,13,0.987,20,71
2018-02,53,36~104,¡º,28,54,11,0.761,11,88
2018-03,63,42~123,¡º,28,52,12,0.758,16,113
2018-04,59,45~82,¡º,26,60,9,0.638,15,101
