‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,74,74~74,¡º,47,99,6,1.7,50,24
2015-01,70,28~140,¡º,48,73,8,0.91,31,68
2015-02,60,27~106,¡º,42,62,5,0.954,25,72
2015-03,54,27~122,¡º,34,52,5,0.755,25,72
2015-04,57,27~99,¡º,34,56,6,0.793,25,83
2015-05,50,24~77,¡º,30,50,5,0.819,20,72
2015-06,44,24~68,”≈,22,40,6,0.617,16,78
2015-07,44,20~90,”≈,22,39,6,0.59,13,79
2015-08,46,25~95,”≈,23,38,6,0.61,15,82
2015-09,61,32~86,¡º,26,41,6,0.623,16,110
2015-10,57,25~122,¡º,29,47,7,0.597,15,101
2015-11,45,28~77,”≈,24,41,6,0.62,20,77
2015-12,48,22~82,”≈,30,46,7,0.655,24,59
2016-01,56,25~119,¡º,37,50,7,0.71,27,54
2016-02,60,28~158,¡º,41,59,7,0.562,19,77
2016-03,70,33~132,¡º,46,62,10,0.684,30,97
2016-04,65,40~119,¡º,39,54,10,0.603,23,95
2016-05,54,24~85,¡º,30,49,8,0.539,16,88
2016-06,49,28~92,”≈,24,39,8,0.54,14,86
2016-07,52,23~125,¡º,25,41,7,0.555,11,92
2016-08,52,21~112,¡º,22,38,6,0.632,13,94
2016-09,53,22~89,¡º,22,35,6,0.493,11,95
2016-10,48,24~84,”≈,18,32,6,0.552,13,90
2016-11,50,24~153,¡º,28,45,9,0.76,21,82
2016-12,50,30~83,¡º,30,48,9,0.755,24,86
2017-01,56,33~79,¡º,34,48,9,0.752,24,86
2017-02,64,30~107,¡º,36,48,10,0.739,21,106
2017-03,66,38~109,¡º,37,55,11,0.719,28,111
2017-04,81,46~149,¡º,37,58,13,0.727,26,125
2017-05,71,37~142,¡º,25,45,10,0.671,19,123
2017-06,47,27~92,”≈,18,32,9,0.62,16,90
2017-07,58,27~128,¡º,20,39,9,0.587,14,104
2017-08,71,23~131,¡º,26,45,9,0.603,17,121
2017-09,79,40~142,¡º,26,43,11,0.607,16,133
2017-10,66,26~110,¡º,22,41,10,0.539,15,116
2017-11,55,28~139,¡º,25,40,8,0.607,21,97
2017-12,55,32~88,¡º,31,50,9,0.668,24,97
2018-01,47,27~82,”≈,25,38,8,0.648,25,78
2018-02,69,44~182,¡º,42,60,9,0.679,20,106
2018-03,73,33~149,¡º,38,52,7,0.706,25,110
2018-04,77,45~98,¡º,45,83,8,0.613,23,121
