‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,168,168~168,÷–∂»Œ€»æ,93,286,104,1.7,75,32
2014-01,138,50~314,«·∂»Œ€»æ,103,159,78,1.268,43,44
2014-02,98,35~206,¡º,70,100,46,0.804,33,82
2014-03,116,56~210,«·∂»Œ€»æ,80,156,46,0.871,31,106
2014-04,101,44~208,«·∂»Œ€»æ,63,132,33,0.643,40,130
2014-05,104,49~155,«·∂»Œ€»æ,52,138,36,0.584,29,149
2014-06,91,45~195,¡º,48,91,27,0.648,24,142
2014-07,98,44~201,¡º,51,100,24,0.735,23,145
2014-08,86,33~140,¡º,45,85,21,0.816,28,136
2014-09,67,31~122,¡º,41,77,18,0.76,31,98
2014-10,71,25~142,¡º,45,85,19,0.735,34,83
2014-11,110,39~245,«·∂»Œ€»æ,80,127,33,1.197,46,46
2014-12,104,34~270,«·∂»Œ€»æ,73,118,62,1.424,39,34
2015-01,103,34~273,«·∂»Œ€»æ,74,116,40,1.529,38,39
2015-02,107,45~200,«·∂»Œ€»æ,73,138,38,1.357,34,54
2015-03,98,43~195,¡º,64,133,33,1.065,33,76
2015-04,86,46~126,¡º,49,113,13,0.733,23,92
2015-05,77,49~115,¡º,37,102,18,0.652,28,105
2015-06,73,38~131,¡º,37,95,23,0.647,20,69
2015-07,61,38~114,¡º,32,73,13,0.723,20,56
2015-08,73,37~122,¡º,39,81,21,0.845,27,109
2015-09,68,37~120,¡º,31,72,15,0.85,23,117
2015-10,93,40~155,¡º,59,120,23,1.042,30,101
2015-11,90,36~175,¡º,64,99,21,1.213,31,62
2015-12,141,36~357,«·∂»Œ€»æ,107,157,49,1.781,49,44
2016-01,109,32~270,«·∂»Œ€»æ,78,125,49,1.59,40,43
2016-02,84,33~147,¡º,58,98,40,1.393,32,62
2016-03,91,48~147,¡º,53,125,27,1.194,26,90
2016-04,102,55~179,«·∂»Œ€»æ,49,152,23,1.127,24,117
2016-05,80,50~120,¡º,39,105,22,1.11,25,94
2016-06,64,36~91,¡º,30,79,13,0.93,13,61
2016-07,69,36~108,¡º,26,66,10,0.952,10,115
2016-08,64,41~144,¡º,24,66,12,1.006,13,95
2016-09,76,38~142,¡º,34,81,14,0.757,20,117
2016-10,65,38~102,¡º,34,79,13,0.942,27,71
2016-11,85,0~186,¡º,57,109,18,1.117,34,50
2016-12,106,35~272,«·∂»Œ€»æ,76,126,21,1.41,34,50
2017-01,97,0~235,¡º,68,108,20,1.577,35,47
2017-02,88,50~180,¡º,58,106,23,1.375,30,71
2017-03,81,48~175,¡º,53,98,23,0.858,27,111
2017-04,87,57~143,¡º,46,104,19,0.783,22,130
2017-05,109,45~182,«·∂»Œ€»æ,33,95,22,0.723,22,161
2017-06,94,39~201,¡º,27,70,11,0.607,21,150
2017-07,69,33~128,¡º,27,65,11,0.777,16,117
2017-08,56,24~110,¡º,18,45,7,0.584,16,100
2017-09,82,37~140,¡º,24,68,8,0.697,22,137
2017-10,61,29~127,¡º,28,70,11,0.61,29,92
2017-11,69,34~128,¡º,32,88,16,0.867,34,72
2017-12,76,35~211,¡º,45,97,23,1.206,45,53
2018-01,95,32~419,¡º,54,128,25,1.526,51,50
2018-02,75,33~124,¡º,42,88,21,1.107,45,69
2018-03,79,47~122,¡º,45,103,12,0.887,26,93
2018-04,84,52~131,¡º,39,112,15,0.713,15,108
