‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,197,86~358,÷–∂»Œ€»æ,156,227,227,2.337,87,28
2014-01,178,57~281,÷–∂»Œ€»æ,137,198,170,2.103,75,38
2014-02,126,48~250,«·∂»Œ€»æ,94,125,114,1.518,64,55
2014-03,134,78~227,«·∂»Œ€»æ,99,157,111,1.423,67,90
2014-04,131,40~239,«·∂»Œ€»æ,98,148,93,1.363,56,91
2014-05,107,49~184,«·∂»Œ€»æ,72,147,69,1.248,52,140
2014-06,109,45~162,«·∂»Œ€»æ,78,110,58,1.353,42,137
2014-07,111,48~189,«·∂»Œ€»æ,76,117,55,1.397,37,148
2014-08,105,40~143,«·∂»Œ€»æ,74,118,76,1.587,40,141
2014-09,112,29~239,«·∂»Œ€»æ,83,115,68,1.57,42,104
2014-10,111,51~193,«·∂»Œ€»æ,82,129,72,1.842,46,81
2014-11,151,54~320,÷–∂»Œ€»æ,114,158,94,2.377,67,43
2014-12,158,62~348,÷–∂»Œ€»æ,122,171,134,1.91,71,32
2015-01,160,70~352,÷–∂»Œ€»æ,125,160,124,2.21,69,26
2015-02,132,53~268,«·∂»Œ€»æ,99,141,92,1.725,55,36
2015-03,126,60~215,«·∂»Œ€»æ,90,156,68,1.716,52,52
2015-04,106,51~222,«·∂»Œ€»æ,76,124,54,1.237,45,76
2015-05,101,43~156,«·∂»Œ€»æ,71,125,48,1.287,44,99
2015-06,101,42~189,«·∂»Œ€»æ,68,127,40,1.383,34,138
2015-07,101,41~226,«·∂»Œ€»æ,65,115,25,1.5,28,138
2015-08,91,42~133,¡º,61,100,27,1.368,35,123
2015-09,87,47~159,¡º,61,101,37,1.267,44,111
2015-10,128,59~236,«·∂»Œ€»æ,93,149,48,1.726,61,92
2015-11,131,39~298,«·∂»Œ€»æ,99,139,56,1.927,51,35
2015-12,182,53~379,÷–∂»Œ€»æ,141,211,94,2.235,65,28
2016-01,165,56~344,÷–∂»Œ€»æ,127,181,96,2.3,71,23
2016-02,120,35~277,«·∂»Œ€»æ,89,141,69,2.01,58,40
2016-03,124,66~239,«·∂»Œ€»æ,90,158,50,1.348,61,89
2016-04,134,63~267,«·∂»Œ€»æ,96,188,42,1.34,45,146
2016-05,106,65~188,«·∂»Œ€»æ,59,132,40,1.194,39,143
2016-06,110,74~147,«·∂»Œ€»æ,54,104,29,1.37,29,168
2016-07,84,51~153,¡º,47,94,16,1.219,24,131
2016-08,75,37~149,¡º,34,72,20,1.045,31,118
2016-09,96,57~167,¡º,59,125,34,1.263,46,136
2016-10,80,40~163,¡º,54,102,30,1.303,43,68
2016-11,118,39~198,«·∂»Œ€»æ,86,149,45,1.627,51,47
2016-12,159,54~368,÷–∂»Œ€»æ,123,183,58,1.865,56,41
2017-01,159,51~356,÷–∂»Œ€»æ,122,194,61,1.629,50,44
2017-02,121,0~238,«·∂»Œ€»æ,88,145,52,0.911,43,68
2017-03,101,60~176,«·∂»Œ€»æ,72,131,41,1.081,46,83
2017-04,93,52~188,¡º,58,126,25,1.623,38,106
2017-05,116,44~334,«·∂»Œ€»æ,59,146,30,1.248,35,147
2017-06,107,41~175,«·∂»Œ€»æ,49,113,20,1.15,32,157
2017-07,87,39~153,¡º,41,83,8,0.835,25,132
2017-08,96,34~168,¡º,35,65,16,0.897,30,150
2017-09,95,39~169,¡º,40,86,19,0.993,39,149
2017-10,87,28~162,¡º,59,107,22,1.197,50,87
2017-11,105,50~182,«·∂»Œ€»æ,74,140,33,1.297,57,60
2017-12,140,55~264,«·∂»Œ€»æ,105,163,41,1.684,68,49
2018-01,143,47~336,«·∂»Œ€»æ,109,157,33,1.416,61,57
2018-02,109,53~189,«·∂»Œ€»æ,79,127,31,1.232,42,84
2018-03,101,46~162,«·∂»Œ€»æ,71,118,25,1.058,46,117
2018-04,104,50~188,«·∂»Œ€»æ,63,139,24,1,35,117
