‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,134,134~134,«·∂»Œ€»æ,76,218,79,0.8,57,40
2014-01,150,49~353,«·∂»Œ€»æ,116,162,84,0.926,45,52
2014-02,98,37~203,¡º,70,101,48,0.793,29,90
2014-03,98,55~150,¡º,67,128,42,0.768,46,113
2014-04,92,56~146,¡º,54,98,22,0.553,25,142
2014-05,112,53~202,«·∂»Œ€»æ,53,78,20,0.523,28,172
2014-06,102,62~170,«·∂»Œ€»æ,44,56,12,0.293,21,158
2014-07,110,49~182,«·∂»Œ€»æ,49,68,10,0.558,18,167
2014-08,80,27~133,¡º,37,55,19,0.529,25,133
2014-09,68,35~121,¡º,32,50,17,0.473,26,118
2014-10,75,41~131,¡º,45,77,18,0.558,28,116
2014-11,119,37~279,«·∂»Œ€»æ,89,127,31,1.007,34,71
2014-12,114,42~340,«·∂»Œ€»æ,83,120,58,1.242,41,49
2015-01,112,32~311,«·∂»Œ€»æ,84,109,50,1.342,32,55
2015-02,109,40~208,«·∂»Œ€»æ,78,115,45,1.318,31,74
2015-03,95,39~180,¡º,68,119,34,0.926,31,94
2015-04,83,47~154,¡º,49,92,18,0.653,24,127
2015-05,79,50~109,¡º,38,75,13,0.494,22,131
2015-06,90,48~138,¡º,37,67,12,0.46,18,146
2015-07,69,33~116,¡º,28,48,13,0.345,16,120
2015-08,74,23~142,¡º,35,59,10,0.539,22,125
2015-09,81,42~151,¡º,33,57,15,0.513,26,134
2015-10,89,42~167,¡º,58,100,18,0.732,34,118
2015-11,85,29~198,¡º,62,83,22,0.953,30,64
2015-12,125,30~362,«·∂»Œ€»æ,95,134,48,1.635,40,52
2016-01,113,32~302,«·∂»Œ€»æ,84,120,55,1.465,41,58
2016-02,89,33~195,¡º,64,92,43,1.262,30,79
2016-03,85,41~164,¡º,51,99,28,0.974,26,113
2016-04,117,62~390,«·∂»Œ€»æ,52,128,19,0.64,30,152
2016-05,101,49~159,«·∂»Œ€»æ,40,81,14,0.561,24,156
2016-06,91,47~155,¡º,28,56,9,0.46,20,148
2016-07,76,38~110,¡º,24,51,10,0.606,13,126
2016-08,69,27~181,¡º,18,42,10,0.59,20,118
2016-09,84,35~173,¡º,31,57,13,0.64,25,138
2016-10,58,36~84,¡º,34,61,11,0.703,28,94
2016-11,82,33~150,¡º,58,98,22,1.15,38,63
2016-12,106,32~246,«·∂»Œ€»æ,78,117,33,1.348,46,51
2017-01,109,36~259,«·∂»Œ€»æ,81,114,35,1.613,40,56
2017-02,86,0~200,¡º,60,90,25,1.096,32,83
2017-03,61,0~122,¡º,41,66,15,0.623,25,88
2017-04,82,0~126,¡º,39,82,13,0.687,27,133
2017-05,109,48~185,«·∂»Œ€»æ,36,93,10,0.497,20,158
2017-06,96,49~203,¡º,30,62,9,0.45,20,153
2017-07,82,42~149,¡º,37,61,7,0.413,14,135
2017-08,64,34~128,¡º,25,44,6,0.5,15,111
2017-09,91,43~135,¡º,35,64,10,0.557,21,146
2017-10,63,30~127,¡º,39,64,11,0.61,24,99
2017-11,76,32~156,¡º,48,90,17,0.927,33,70
2017-12,91,41~166,¡º,65,111,27,1.265,43,56
2018-01,89,31~222,¡º,63,103,24,1.29,40,57
2018-02,78,42~134,¡º,53,85,24,1.289,26,78
2018-03,73,39~129,¡º,47,86,13,0.729,24,105
2018-04,69,48~101,¡º,37,89,10,0.563,21,99
