‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,255,114~456,÷ÿ∂»Œ€»æ,210,291,108,2.8,74,55
2014-01,241,93~405,÷ÿ∂»Œ€»æ,196,281,96,2.326,68,74
2014-02,174,72~327,÷–∂»Œ€»æ,136,175,86,1.643,45,99
2014-03,134,78~359,«·∂»Œ€»æ,90,167,58,1.384,44,140
2014-04,123,53~292,«·∂»Œ€»æ,88,152,44,1.383,41,131
2014-05,108,76~151,«·∂»Œ€»æ,66,155,41,1.248,29,149
2014-06,115,60~235,«·∂»Œ€»æ,78,125,40,1.24,26,148
2014-07,100,51~158,¡º,56,90,27,1.294,24,154
2014-08,95,45~146,¡º,65,98,29,1.284,27,141
2014-09,93,34~193,¡º,66,97,30,1.46,34,107
2014-10,148,69~265,«·∂»Œ€»æ,112,177,45,1.484,53,107
2014-11,173,84~448,÷–∂»Œ€»æ,134,204,57,1.833,60,64
2014-12,150,91~244,÷–∂»Œ€»æ,109,205,81,2,58,58
2015-01,188,95~378,÷–∂»Œ€»æ,148,223,75,2.152,59,53
2015-02,154,83~237,÷–∂»Œ€»æ,116,188,57,2.125,40,70
2015-03,130,70~227,«·∂»Œ€»æ,93,173,45,1.719,38,93
2015-04,103,56~160,«·∂»Œ€»æ,69,127,33,1.62,32,114
2015-05,122,73~201,«·∂»Œ€»æ,79,123,37,1.455,27,170
2015-06,113,49~226,«·∂»Œ€»æ,75,130,27,1.31,29,148
2015-07,95,44~140,¡º,61,93,21,1.403,29,140
2015-08,74,52~148,¡º,50,81,22,1.384,28,115
2015-09,95,45~155,¡º,68,119,31,1.617,37,107
2015-10,144,76~232,«·∂»Œ€»æ,105,187,46,1.555,55,94
2015-11,145,27~288,«·∂»Œ€»æ,112,160,36,1.843,42,60
2015-12,197,73~500,÷–∂»Œ€»æ,154,249,51,2.426,61,61
2016-01,183,76~467,÷–∂»Œ€»æ,141,219,58,2.155,53,66
2016-02,141,60~298,«·∂»Œ€»æ,102,172,44,1.797,35,121
2016-03,145,67~249,«·∂»Œ€»æ,97,194,39,1.403,42,167
2016-04,134,83~268,«·∂»Œ€»æ,82,170,32,1.393,31,153
2016-05,97,59~252,¡º,53,113,30,1.171,27,134
2016-06,105,60~157,«·∂»Œ€»æ,47,97,27,1.127,27,164
2016-07,85,48~132,¡º,46,75,24,1.184,18,129
2016-08,81,35~130,¡º,46,79,24,1.132,23,123
2016-09,111,64~176,«·∂»Œ€»æ,67,125,36,1.267,39,157
2016-10,78,44~140,¡º,51,90,27,1.232,41,77
2016-11,124,36~221,«·∂»Œ€»æ,92,153,35,1.57,44,58
2016-12,192,83~453,÷–∂»Œ€»æ,152,215,41,2.084,56,53
2017-01,159,61~254,÷–∂»Œ€»æ,121,188,37,2.2,50,58
2017-02,138,64~277,«·∂»Œ€»æ,102,172,39,1.564,43,93
2017-03,106,70~173,«·∂»Œ€»æ,73,142,38,1.41,44,110
2017-04,98,64~149,¡º,61,126,26,1.207,35,119
2017-05,140,61~500,«·∂»Œ€»æ,66,174,21,0.932,31,155
2017-06,115,53~200,«·∂»Œ€»æ,52,110,19,1.107,31,172
2017-07,84,37~126,¡º,39,71,11,1.152,22,134
2017-08,85,35~124,¡º,38,75,13,1.074,26,137
2017-09,95,42~164,¡º,51,102,14,1.08,36,143
2017-10,93,29~199,¡º,63,120,17,1.306,46,87
2017-11,110,60~173,«·∂»Œ€»æ,73,158,20,1.32,54,77
2017-12,148,76~333,«·∂»Œ€»æ,110,191,20,2.281,59,59
2018-01,147,55~361,«·∂»Œ€»æ,112,175,14,1.871,49,62
2018-02,119,74~233,«·∂»Œ€»æ,80,153,18,1.589,34,91
2018-03,93,52~202,¡º,56,115,11,1.3,32,113
2018-04,97,53~180,¡º,39,144,12,1.025,32,108
