‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,83,83~83,¡º,58,117,45,1.3,44,59
2015-01,142,34~259,«·∂»Œ€»æ,108,162,41,1.626,40,35
2015-02,107,21~201,«·∂»Œ€»æ,80,119,25,1.382,26,41
2015-03,62,35~95,¡º,42,72,19,1.123,21,37
2015-04,69,24~119,¡º,47,84,24,1.087,21,73
2015-05,68,31~139,¡º,47,77,25,1.084,12,81
2015-06,48,24~80,”≈,28,49,21,0.897,9,67
2015-07,49,29~72,”≈,30,53,21,0.832,12,69
2015-08,63,34~114,¡º,39,66,26,0.823,16,91
2015-09,74,32~100,¡º,49,77,27,0.827,17,110
2015-10,89,34~152,¡º,64,112,40,1.003,20,109
2015-11,69,35~120,¡º,49,74,27,1.357,18,30
2015-12,106,35~198,«·∂»Œ€»æ,79,114,27,1.361,24,23
2016-01,112,50~232,«·∂»Œ€»æ,84,119,26,1.542,24,32
2016-02,110,35~362,«·∂»Œ€»æ,83,123,27,1.417,17,81
2016-03,95,26~170,¡º,69,114,36,1.384,27,93
2016-04,66,32~114,¡º,46,73,28,1.253,21,82
2016-05,72,36~127,¡º,47,74,28,1.435,19,93
2016-06,61,34~103,¡º,33,56,29,1.42,13,98
2016-07,55,32~109,¡º,29,51,29,1.597,13,80
2016-08,60,31~107,¡º,36,61,32,1.252,15,90
2016-09,80,25~147,¡º,55,86,37,1.41,23,110
2016-10,71,19~129,¡º,48,79,26,1.377,23,49
2016-11,80,25~172,¡º,58,91,29,1.427,25,33
2016-12,129,46~215,«·∂»Œ€»æ,97,149,36,1.781,33,44
2017-01,131,52~284,«·∂»Œ€»æ,100,138,24,1.684,26,42
2017-02,101,35~254,«·∂»Œ€»æ,75,111,22,1.521,25,53
2017-03,77,28~226,¡º,54,83,19,1.306,24,46
2017-04,69,20~118,¡º,43,87,25,1.31,22,74
2017-05,72,37~170,¡º,46,89,24,1.116,19,85
2017-06,48,33~104,”≈,27,45,18,1.177,23,72
2017-07,48,24~89,”≈,23,53,13,0.977,20,78
2017-08,51,28~90,¡º,23,53,16,1.029,18,82
2017-09,77,46~155,¡º,40,75,24,1.107,22,114
2017-10,63,20~112,¡º,42,76,24,1.052,30,79
2017-11,88,44~132,¡º,64,103,29,1.413,45,59
2017-12,122,46~210,«·∂»Œ€»æ,92,138,36,1.835,47,52
2018-01,112,33~292,«·∂»Œ€»æ,85,123,30,1.639,37,33
2018-02,99,33~275,¡º,73,115,19,1.507,33,72
2018-03,70,30~109,¡º,48,81,22,1.51,30,75
2018-04,77,58~94,¡º,48,95,20,1.25,22,101
