‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,77,35~177,¡º,53,91,82,1.617,52,39
2014-01,68,29~149,¡º,43,82,74,1.526,43,44
2014-02,84,34~192,¡º,59,99,68,1.314,44,71
2014-03,80,45~140,¡º,53,99,44,1.106,45,90
2014-04,84,51~145,¡º,49,100,25,0.9,34,110
2014-05,83,44~160,¡º,33,73,20,0.987,32,133
2014-06,77,39~152,¡º,29,53,13,0.9,20,130
2014-07,88,50~146,¡º,37,57,9,0.961,20,141
2014-08,88,28~149,¡º,25,41,12,1.055,22,143
2014-09,77,31~139,¡º,26,47,17,1.173,36,128
2014-10,82,29~231,¡º,43,71,21,1.081,37,114
2014-11,67,35~194,¡º,42,75,36,1.32,42,75
2014-12,69,29~378,¡º,46,75,53,1.397,41,52
2015-01,85,31~250,¡º,62,84,72,1.526,46,56
2015-02,87,36~316,¡º,52,92,48,1.179,36,76
2015-03,77,44~155,¡º,50,85,34,0.894,33,107
2015-04,105,57~203,«·∂»Œ€»æ,55,98,20,0.783,30,151
2015-05,113,63~201,«·∂»Œ€»æ,36,68,16,0.613,22,170
2015-06,103,62~167,«·∂»Œ€»æ,27,54,14,0.6,18,163
2015-07,89,53~138,¡º,32,55,12,0.619,18,144
2015-08,95,43~160,¡º,25,52,12,0.742,19,152
2015-09,79,35~133,¡º,23,41,15,0.827,30,127
2015-10,72,31~163,¡º,28,47,17,0.81,33,109
2015-11,139,37~500,«·∂»Œ€»æ,110,139,41,1.38,43,65
2015-12,116,42~312,«·∂»Œ€»æ,85,120,52,1.442,42,53
2016-01,91,43~234,¡º,65,98,52,1.142,37,68
2016-02,64,42~113,¡º,39,66,39,0.983,29,85
2016-03,89,47~237,¡º,55,104,31,0.877,31,116
2016-04,94,51~158,¡º,45,108,17,0.84,24,135
2016-05,120,66~206,«·∂»Œ€»æ,27,47,15,0.913,23,181
2016-06,114,59~185,«·∂»Œ€»æ,24,32,11,0.873,19,174
2016-07,83,38~133,¡º,28,50,7,0.613,15,136
2016-08,74,37~128,¡º,31,52,12,0.687,20,126
2016-09,82,32~139,¡º,40,65,14,0.747,28,131
2016-10,70,34~142,¡º,39,60,19,0.748,33,95
2016-11,92,39~286,¡º,69,96,24,1.047,38,64
2016-12,100,34~228,¡º,72,101,29,1.106,40,57
2017-01,112,42~245,«·∂»Œ€»æ,82,116,42,1.323,46,61
2017-02,94,45~258,¡º,67,92,25,0.875,35,93
2017-03,80,44~160,¡º,53,74,20,0.752,34,113
2017-04,89,46~148,¡º,37,67,13,0.66,26,140
2017-05,105,49~201,«·∂»Œ€»æ,27,64,8,0.494,19,159
2017-06,115,39~206,«·∂»Œ€»æ,36,56,10,0.673,24,174
2017-07,98,50~170,¡º,28,48,7,0.581,19,155
2017-08,72,36~120,¡º,20,38,7,0.758,21,124
2017-09,82,43~160,¡º,35,64,11,0.827,32,131
2017-10,69,28~122,¡º,40,68,12,0.81,41,88
2017-11,58,32~114,¡º,33,63,16,0.63,39,66
2017-12,83,39~198,¡º,57,89,25,1.119,42,55
2018-01,76,44~143,¡º,52,83,27,1.029,40,64
2018-02,98,53~264,¡º,71,105,22,1.136,41,79
2018-03,88,45~189,¡º,58,89,14,0.958,35,112
2018-04,79,60~102,¡º,41,83,7,0.663,20,116
