‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,117,117~117,«·∂»Œ€»æ,60,184,24,0.6,35,49
2014-01,98,35~263,¡º,72,120,46,1.661,35,62
2014-02,84,37~197,¡º,57,90,28,1.8,25,86
2014-03,93,51~218,¡º,63,123,21,2.09,30,98
2014-04,92,57~153,¡º,53,112,20,1.35,31,130
2014-05,95,51~170,¡º,45,95,17,1.055,40,149
2014-06,78,42~138,¡º,36,62,11,1.473,34,128
2014-07,103,41~171,«·∂»Œ€»æ,39,64,12,2.065,28,162
2014-08,89,30~143,¡º,35,57,12,2.597,26,145
2014-09,77,40~172,¡º,32,48,11,3.173,25,131
2014-10,73,38~134,¡º,42,59,13,2.626,26,116
2014-11,93,38~247,¡º,66,83,28,2.023,37,77
2014-12,74,29~218,¡º,50,66,38,2.4,39,59
2015-01,77,27~275,¡º,55,69,30,2.49,34,56
2015-02,77,37~192,¡º,50,89,28,1.05,37,75
2015-03,80,38~187,¡º,49,102,25,1.281,38,93
2015-04,74,40~149,¡º,40,80,18,1.097,31,114
2015-05,80,39~144,¡º,33,70,16,0.797,37,133
2015-06,89,46~162,¡º,35,64,11,0.787,23,145
2015-07,71,38~124,¡º,31,53,10,0.835,26,122
2015-08,81,36~155,¡º,37,62,10,0.842,24,134
2015-09,82,39~139,¡º,27,50,12,0.797,27,137
2015-10,76,34~148,¡º,43,80,15,0.997,26,108
2015-11,90,35~218,¡º,65,81,17,0.997,31,69
2015-12,103,30~301,«·∂»Œ€»æ,77,103,26,1.39,41,53
2016-01,78,32~208,¡º,51,79,28,1.329,38,64
2016-02,65,42~137,¡º,41,67,26,1.455,31,81
2016-03,80,41~149,¡º,51,96,22,1.803,30,105
2016-04,94,53~187,¡º,52,115,15,1.647,29,124
2016-05,81,49~144,¡º,40,74,13,0.932,28,132
2016-06,77,41~131,¡º,29,51,10,0.773,20,131
2016-07,61,28~115,¡º,24,43,8,0.855,19,110
2016-08,69,35~137,¡º,20,37,11,0.603,18,120
2016-09,84,43~173,¡º,26,46,12,0.85,19,139
2016-10,53,35~97,¡º,27,50,11,0.935,22,92
2016-11,69,33~152,¡º,46,78,13,1.193,30,66
2016-12,79,32~198,¡º,54,81,13,1.387,28,62
2017-01,83,33~246,¡º,59,84,17,1.797,27,61
2017-02,72,36~169,¡º,48,80,18,1.732,27,75
2017-03,64,40~107,¡º,38,74,17,1.2,30,99
2017-04,88,47~139,¡º,43,83,15,1.18,27,142
2017-05,97,42~201,¡º,42,86,13,1.003,21,145
2017-06,94,40~201,¡º,38,59,11,0.913,18,147
2017-07,82,36~189,¡º,29,47,7,0.777,14,136
2017-08,53,23~107,¡º,19,32,4,0.648,14,96
2017-09,110,43~202,«·∂»Œ€»æ,29,53,10,0.887,15,169
2017-10,56,36~98,¡º,27,47,10,0.881,19,100
2017-11,52,32~97,¡º,27,55,11,1.167,23,73
2017-12,57,28~117,¡º,37,61,16,1.384,26,56
2018-01,65,30~175,¡º,40,70,16,1.565,30,60
2018-02,61,38~137,¡º,37,60,12,1.882,20,85
2018-03,82,43~146,¡º,44,66,10,0.906,25,130
2018-04,69,51~111,¡º,30,65,7,1.513,21,110
