‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,72,72~72,¡º,24,93,18,0.7,26,61
2015-01,101,36~205,«·∂»Œ€»æ,75,105,33,1.348,46,51
2015-02,99,29~191,¡º,73,96,26,1.45,30,62
2015-03,77,32~121,¡º,54,77,22,1.326,37,75
2015-04,78,45~130,¡º,55,90,18,1.153,39,90
2015-05,89,66~142,¡º,65,100,22,0.887,25,101
2015-06,73,28~148,¡º,50,78,30,0.717,28,98
2015-07,67,32~152,¡º,48,64,29,0.658,25,91
2015-08,69,23~104,¡º,48,74,17,0.739,28,103
2015-09,78,50~134,¡º,53,77,22,0.76,33,118
2015-10,105,44~233,«·∂»Œ€»æ,76,119,29,0.939,43,126
2015-11,106,36~218,«·∂»Œ€»æ,79,100,28,1.117,35,72
2015-12,118,41~288,«·∂»Œ€»æ,88,113,34,1.384,37,58
2016-01,132,49~286,«·∂»Œ€»æ,100,127,23,1.052,27,53
2016-02,98,32~175,¡º,72,102,24,1,32,78
2016-03,96,34~186,¡º,70,98,23,0.926,35,93
2016-04,88,35~129,¡º,59,104,23,0.787,50,126
2016-05,87,50~129,¡º,53,81,20,0.674,37,132
2016-06,72,38~114,¡º,42,66,19,0.663,34,112
2016-07,59,36~100,¡º,39,61,19,0.6,28,86
2016-08,63,34~106,¡º,34,59,22,0.671,30,105
2016-09,91,34~135,¡º,48,84,23,0.767,34,139
2016-10,61,33~108,¡º,40,66,16,0.694,36,65
2016-11,94,39~250,¡º,68,110,20,0.917,50,66
2016-12,132,47~234,«·∂»Œ€»æ,99,144,24,1.265,57,61
2017-01,121,42~238,«·∂»Œ€»æ,90,124,28,1.216,50,64
2017-02,118,54~186,«·∂»Œ€»æ,88,124,25,0.975,46,90
2017-03,93,41~152,¡º,67,114,22,0.823,45,106
2017-04,98,52~144,¡º,58,113,20,0.847,37,132
2017-05,124,56~500,«·∂»Œ€»æ,55,127,21,0.703,34,157
2017-06,102,46~164,«·∂»Œ€»æ,50,92,16,0.677,27,159
2017-07,68,27~114,¡º,36,65,12,0.581,23,112
2017-08,67,33~106,¡º,34,55,14,0.652,24,115
2017-09,71,35~125,¡º,38,61,18,0.747,31,114
2017-10,75,33~190,¡º,49,77,19,0.742,45,103
2017-11,98,55~176,¡º,70,121,23,0.86,57,74
2017-12,130,52~279,«·∂»Œ€»æ,98,144,26,1.094,62,57
2018-01,130,42~229,«·∂»Œ€»æ,98,125,22,1.142,50,67
2018-02,92,43~180,¡º,65,105,17,0.814,38,82
2018-03,88,45~168,¡º,63,93,15,0.771,39,111
2018-04,92,54~143,¡º,57,110,16,0.713,35,130
