‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,227,103~495,÷ÿ∂»Œ€»æ,180,304,98,1.896,77,32
2014-01,240,83~417,÷ÿ∂»Œ€»æ,193,301,90,2.429,67,39
2014-02,188,45~407,÷–∂»Œ€»æ,145,216,67,1.671,44,68
2014-03,166,82~324,÷–∂»Œ€»æ,118,229,52,1.239,45,94
2014-04,128,82~231,«·∂»Œ€»æ,85,182,30,0.877,37,122
2014-05,136,62~203,«·∂»Œ€»æ,66,199,33,0.748,33,176
2014-06,138,93~204,«·∂»Œ€»æ,69,128,23,0.777,29,192
2014-07,117,54~225,«·∂»Œ€»æ,81,131,14,0.852,26,149
2014-08,120,52~188,«·∂»Œ€»æ,77,134,17,0.913,27,167
2014-09,124,53~242,«·∂»Œ€»æ,88,132,24,1.123,36,123
2014-10,157,66~255,÷–∂»Œ€»æ,116,198,35,1.119,55,107
2014-11,161,60~356,÷–∂»Œ€»æ,119,216,39,1.514,57,57
2014-12,161,74~277,÷–∂»Œ€»æ,115,228,79,1.881,62,40
2015-01,190,74~490,÷–∂»Œ€»æ,144,251,78,2.59,70,45
2015-02,156,66~323,÷–∂»Œ€»æ,115,213,55,2.1,46,76
2015-03,143,61~331,«·∂»Œ€»æ,87,213,40,1.11,42,112
2015-04,109,66~172,«·∂»Œ€»æ,70,147,29,0.89,30,143
2015-05,110,57~160,«·∂»Œ€»æ,63,135,23,0.971,28,158
2015-06,120,68~169,«·∂»Œ€»æ,68,131,19,0.847,27,173
2015-07,116,76~202,«·∂»Œ€»æ,79,112,16,0.942,25,150
2015-08,107,51~212,«·∂»Œ€»æ,76,107,16,1.061,29,112
2015-09,105,45~213,«·∂»Œ€»æ,72,124,22,1.317,42,132
2015-10,129,64~319,«·∂»Œ€»æ,89,181,32,1.184,52,103
2015-11,148,36~390,«·∂»Œ€»æ,114,179,36,1.75,50,53
2015-12,241,53~500,÷ÿ∂»Œ€»æ,206,306,69,3.265,82,38
2016-01,170,64~420,÷–∂»Œ€»æ,134,184,63,2.248,63,50
2016-02,122,41~252,«·∂»Œ€»æ,91,131,55,1.997,51,78
2016-03,136,61~270,«·∂»Œ€»æ,95,179,34,1.794,48,103
2016-04,112,59~198,«·∂»Œ€»æ,73,145,28,0.82,39,133
2016-05,107,58~182,«·∂»Œ€»æ,56,100,21,0.732,32,160
2016-06,127,85~201,«·∂»Œ€»æ,59,91,18,0.71,26,184
2016-07,118,42~195,«·∂»Œ€»æ,84,108,15,0.823,30,144
2016-08,93,43~135,¡º,56,75,17,0.816,31,124
2016-09,114,58~211,«·∂»Œ€»æ,48,103,19,0.917,44,159
2016-10,105,60~207,«·∂»Œ€»æ,75,125,17,1.1,50,81
2016-11,154,43~350,÷–∂»Œ€»æ,115,211,32,1.63,61,47
2016-12,206,77~468,÷ÿ∂»Œ€»æ,159,268,37,2.168,64,35
2017-01,198,65~385,÷–∂»Œ€»æ,153,269,42,2.513,56,39
2017-02,144,58~290,«·∂»Œ€»æ,109,171,37,1.332,54,74
2017-03,106,60~192,«·∂»Œ€»æ,74,135,23,0.842,51,98
2017-04,106,72~207,«·∂»Œ€»æ,63,147,22,0.743,40,114
2017-05,146,70~500,«·∂»Œ€»æ,56,182,17,0.713,28,170
2017-06,129,52~187,«·∂»Œ€»æ,58,114,13,0.713,27,189
2017-07,108,55~176,«·∂»Œ€»æ,63,88,10,0.79,22,143
2017-08,89,50~150,¡º,50,80,10,0.703,25,131
2017-09,97,52~130,¡º,54,104,12,0.72,32,147
2017-10,100,30~245,«·∂»Œ€»æ,73,109,7,0.981,43,70
2017-11,104,54~205,«·∂»Œ€»æ,74,130,16,0.977,51,53
2017-12,128,49~311,«·∂»Œ€»æ,97,144,23,1.51,55,45
2018-01,121,43~303,«·∂»Œ€»æ,90,136,22,1.381,49,52
2018-02,129,52~315,«·∂»Œ€»æ,97,143,24,1.307,33,87
2018-03,107,51~247,«·∂»Œ€»æ,75,125,13,1.029,37,112
2018-04,87,51~149,¡º,50,113,11,0.8,30,111
