‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,170,22~324,÷–∂»Œ€»æ,132,135,63,1.2,61,55
2014-01,154,60~290,÷–∂»Œ€»æ,118,101,42,1.031,60,61
2014-02,79,20~149,¡º,58,65,25,0.625,39,60
2014-03,87,34~153,¡º,64,85,29,0.697,28,84
2014-04,87,29~143,¡º,64,90,24,0.87,30,85
2014-05,77,37~150,¡º,54,84,21,0.645,25,101
2014-06,80,26~161,¡º,48,71,19,0.541,28,122
2014-07,62,28~107,¡º,35,54,19,0.594,24,106
2014-08,54,20~94,¡º,35,53,19,0.748,25,84
2014-09,59,23~99,¡º,41,63,19,0.687,23,86
2014-10,72,49~110,¡º,50,85,26,0.735,38,112
2014-11,70,25~118,¡º,50,82,24,1.17,41,73
2014-12,80,51~116,¡º,56,105,43,1.284,52,71
2015-01,92,22~230,¡º,68,106,35,1.623,49,67
2015-02,78,48~129,¡º,50,91,14,1.586,26,82
2015-03,61,29~96,¡º,37,66,17,1.148,31,88
2015-04,79,35~131,¡º,44,71,25,0.767,37,124
2015-05,78,39~125,¡º,47,66,21,0.89,30,121
2015-06,51,32~88,¡º,29,41,15,0.783,20,91
2015-07,60,29~98,¡º,27,40,17,0.658,19,109
2015-08,67,28~136,¡º,35,52,22,0.758,26,116
2015-09,78,34~135,¡º,41,59,19,0.787,30,125
2015-10,75,32~126,¡º,47,72,20,0.855,34,116
2015-11,55,29~92,¡º,34,51,17,1.177,35,59
2015-12,77,43~137,¡º,53,83,20,1.384,44,56
2016-01,75,38~168,¡º,51,76,16,1.216,42,53
2016-02,81,40~218,¡º,56,86,13,0.872,28,97
2016-03,85,42~168,¡º,60,90,21,0.916,45,105
2016-04,65,39~109,¡º,38,55,14,0.85,34,97
2016-05,68,32~134,¡º,39,57,15,0.945,30,107
2016-06,56,27~93,¡º,29,46,17,0.777,22,100
2016-07,55,30~106,¡º,26,45,16,0.561,20,99
2016-08,66,35~110,¡º,27,48,13,0.603,22,116
2016-09,60,19~106,¡º,33,52,11,0.623,25,100
2016-10,52,28~97,¡º,33,48,12,0.797,30,70
2016-11,70,32~152,¡º,48,69,18,1.097,41,52
2016-12,86,44~142,¡º,63,92,20,1.081,50,58
2017-01,85,39~202,¡º,59,88,14,1.035,40,59
2017-02,75,33~124,¡º,53,78,16,0.821,39,84
2017-03,63,40~129,¡º,40,64,17,0.813,38,79
2017-04,73,33~104,¡º,40,67,19,0.66,36,114
2017-05,80,42~145,¡º,38,61,17,0.639,29,127
2017-06,47,25~83,”≈,25,39,9,0.58,24,79
2017-07,59,29~141,¡º,28,48,14,0.548,23,103
2017-08,52,34~80,¡º,25,40,11,0.61,22,100
2017-09,72,37~133,¡º,30,49,10,0.67,26,119
2017-10,64,33~110,¡º,37,59,13,0.742,33,107
2017-11,80,33~142,¡º,57,82,14,0.89,44,71
2017-12,99,38~162,¡º,73,107,15,0.955,52,57
2018-01,75,29~201,¡º,51,70,14,0.89,43,47
2018-02,70,23~147,¡º,48,70,10,0.768,28,74
2018-03,60,34~89,¡º,34,54,10,0.761,37,91
2018-04,66,47~90,¡º,30,69,9,0.738,31,101
