‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2015-01,194,92~301,÷–∂»Œ€»æ,152,145,41,1.487,52,52
2015-02,164,78~272,÷–∂»Œ€»æ,126,161,27,1.543,41,64
2015-03,121,63~258,«·∂»Œ€»æ,90,129,22,1.113,34,81
2015-04,86,41~132,¡º,55,98,19,0.85,30,104
2015-05,97,56~221,¡º,59,101,15,0.848,27,137
2015-06,75,28~129,¡º,44,82,12,0.957,26,114
2015-07,77,48~111,¡º,39,72,10,0.858,22,129
2015-08,81,44~128,¡º,39,70,12,0.806,21,135
2015-09,82,44~132,¡º,54,90,14,0.94,29,119
2015-10,116,38~250,«·∂»Œ€»æ,83,124,22,1.116,40,105
2015-11,90,35~220,¡º,66,75,15,1.24,34,42
2015-12,150,52~333,«·∂»Œ€»æ,112,123,25,1.268,49,40
2016-01,181,64~393,÷–∂»Œ€»æ,140,159,27,1.558,48,37
2016-02,104,41~192,«·∂»Œ€»æ,73,109,24,1.038,34,69
2016-03,111,58~192,«·∂»Œ€»æ,80,123,21,0.974,38,88
2016-04,76,39~144,¡º,45,85,13,0.947,30,119
2016-05,75,38~100,¡º,37,73,11,0.745,23,125
2016-06,76,45~142,¡º,28,54,10,0.783,19,128
2016-07,63,29~116,¡º,22,44,5,0.768,15,113
2016-08,78,30~123,¡º,33,62,9,0.948,20,130
2016-09,97,32~137,¡º,50,91,16,0.967,32,142
2016-10,63,34~119,¡º,40,61,10,1.113,35,68
2016-11,119,32~313,«·∂»Œ€»æ,89,117,13,1.56,43,46
2016-12,173,75~446,÷–∂»Œ€»æ,136,164,16,1.694,50,47
2017-01,170,45~349,÷–∂»Œ€»æ,131,153,19,1.787,45,49
2017-02,121,55~189,«·∂»Œ€»æ,90,117,16,1.218,37,64
2017-03,104,39~183,«·∂»Œ€»æ,75,102,19,1.061,41,78
2017-04,80,53~113,¡º,49,81,18,0.883,33,102
2017-05,87,34~222,¡º,41,82,15,0.835,28,128
2017-06,83,39~128,¡º,48,73,12,0.91,23,129
2017-07,73,36~131,¡º,37,54,9,0.784,14,121
2017-08,77,35~140,¡º,38,63,12,0.919,20,127
2017-09,70,30~128,¡º,42,62,13,0.93,28,95
2017-10,68,27~117,¡º,48,68,14,1.016,34,70
2017-11,122,54~278,«·∂»Œ€»æ,90,127,22,1.157,55,63
2017-12,148,69~337,«·∂»Œ€»æ,112,156,27,1.284,63,50
2018-01,170,54~348,÷–∂»Œ€»æ,132,157,21,1.419,49,58
2018-02,134,66~242,«·∂»Œ€»æ,95,145,18,1.132,34,77
2018-03,98,58~152,¡º,70,99,16,0.903,30,96
2018-04,95,43~122,¡º,47,137,17,0.825,30,105
