月份,AQI,范围,质量等级,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,69,69~69,良,43,87,19,0.9,33,85
2015-01,68,40~93,良,46,82,15,0.981,26,78
2015-02,84,60~187,良,57,96,14,0.971,27,115
2015-03,97,46~163,良,64,122,15,1.348,40,135
2015-04,68,46~106,良,28,79,16,0.813,26,112
2015-05,68,27~134,良,26,72,11,0.661,20,112
2015-06,37,23~55,优,20,36,10,0.613,11,62
2015-07,27,12~50,优,10,25,7,0.632,11,43
2015-08,27,13~41,优,11,26,10,0.616,11,36
2015-09,39,16~54,优,16,39,9,0.628,12,40
2015-10,47,22~61,优,26,50,9,0.777,15,47
2015-11,49,24~58,优,22,52,6,0.783,18,43
2015-12,53,26~77,良,32,60,5,0.897,21,40
2016-01,55,19~76,良,33,63,5,0.906,24,51
2016-02,57,20~92,良,36,66,6,0.748,20,70
2016-03,80,52~125,良,55,108,7,1.052,34,99
2016-04,86,40~132,良,55,114,10,1.11,31,113
2016-05,48,21~77,优,18,51,9,0.719,16,80
2016-06,24,16~36,优,8,23,8,0.49,9,42
2016-07,21,13~36,优,8,20,4,0.568,9,32
2016-08,28,12~52,优,9,23,5,0.69,10,46
2016-09,33,13~59,优,15,33,6,0.603,12,45
2016-10,38,24~53,优,21,38,7,0.723,14,53
2016-11,40,18~56,优,22,40,8,0.817,15,51
2016-12,52,29~62,良,33,55,7,0.887,20,57
2017-01,47,21~95,优,27,49,10,0.816,17,60
2017-02,56,40~70,良,33,63,8,1.075,23,90
2017-03,86,39~149,良,57,95,10,0.939,30,130
2017-04,73,30~154,良,40,69,8,0.847,22,119
2017-05,64,28~119,良,28,53,10,0.784,18,112
2017-06,36,22~60,优,13,34,9,0.563,11,58
2017-07,32,22~46,优,10,31,9,0.626,10,40
2017-08,25,15~44,优,8,22,7,0.61,10,44
2017-09,30,16~45,优,12,29,7,0.577,11,49
2017-10,35,15~58,优,18,35,8,0.571,15,54
2017-11,44,20~66,优,23,45,8,0.687,20,61
2017-12,54,28~74,良,34,58,9,0.835,26,56
2018-01,49,23~69,优,30,52,8,0.865,25,59
2018-02,68,29~130,良,47,69,11,0.893,22,90
2018-03,83,53~149,良,60,92,7,0.877,28,113
2018-04,58,32~71,良,33,64,7,0.738,18,102
