‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-05,70,38~92,¡º,0,89,19,0,37,0
2013-06,86,34~270,¡º,0,119,16,0,37,0
2013-07,61,24~113,¡º,0,74,7,0,30,0
2013-08,60,32~97,¡º,0,71,16,0,22,0
2013-09,80,42~139,¡º,0,107,20,0,43,0
2013-10,112,38~199,«·∂»Œ€»æ,0,170,49,0,59,0
2013-11,86,54~129,¡º,0,112,84,0,54,0
2013-12,171,68~360,÷–∂»Œ€»æ,86,196,101,1.323,58,24
2014-01,183,24~346,÷–∂»Œ€»æ,142,173,87,2.635,60,50
2014-02,161,56~274,÷–∂»Œ€»æ,123,69,43,3.121,43,56
2014-03,144,79~280,«·∂»Œ€»æ,106,134,42,1.687,64,92
2014-04,119,60~225,«·∂»Œ€»æ,84,86,31,1.957,57,104
2014-05,110,50~245,«·∂»Œ€»æ,72,149,34,1.158,54,133
2014-06,107,55~193,«·∂»Œ€»æ,58,107,23,1.287,51,145
2014-07,90,44~153,¡º,30,86,14,0.977,37,144
2014-08,78,43~116,¡º,39,100,13,1.229,37,113
2014-09,78,29~137,¡º,46,92,15,1.443,36,74
2014-10,135,68~298,«·∂»Œ€»æ,90,171,32,1.652,53,72
2014-11,146,64~441,«·∂»Œ€»æ,111,133,45,1.717,62,41
2014-12,124,70~221,«·∂»Œ€»æ,91,139,65,1.347,50,47
2015-01,160,68~317,÷–∂»Œ€»æ,123,150,62,1.823,71,43
2015-02,132,66~210,«·∂»Œ€»æ,99,147,41,2.029,45,73
2015-03,117,67~219,«·∂»Œ€»æ,79,143,25,1.232,44,78
2015-04,103,31~208,«·∂»Œ€»æ,66,115,23,0.733,36,82
2015-05,122,56~196,«·∂»Œ€»æ,83,123,23,0.994,37,131
2015-06,119,45~240,«·∂»Œ€»æ,75,131,20,1.013,36,147
2015-07,97,46~146,¡º,64,96,14,1.074,33,136
2015-08,82,47~124,¡º,49,93,19,1.132,34,131
2015-09,90,47~149,¡º,59,110,29,1.307,43,110
2015-10,105,51~179,«·∂»Œ€»æ,72,135,41,1.419,57,88
2015-11,99,33~223,¡º,72,107,28,1.767,50,38
2015-12,169,52~428,÷–∂»Œ€»æ,127,214,51,2.261,73,38
2016-01,162,59~455,÷–∂»Œ€»æ,121,212,46,2.474,70,38
2016-02,118,46~221,«·∂»Œ€»æ,80,157,39,1.824,46,71
2016-03,116,59~233,«·∂»Œ€»æ,76,165,40,1.616,55,109
2016-04,103,59~228,«·∂»Œ€»æ,63,145,30,1.71,47,121
2016-05,93,41~176,¡º,43,103,21,1.219,35,136
2016-06,99,48~162,¡º,38,76,18,1.253,37,156
2016-07,66,36~116,¡º,30,54,11,1.077,27,113
2016-08,70,45~110,¡º,38,65,12,1.268,29,117
2016-09,91,57~140,¡º,54,104,26,1.55,52,134
2016-10,66,37~95,¡º,38,63,21,1.377,47,60
2016-11,119,31~248,«·∂»Œ€»æ,88,136,31,1.72,55,42
2016-12,184,63~500,÷–∂»Œ€»æ,148,187,44,1.987,64,50
2017-01,170,68~280,÷–∂»Œ€»æ,130,181,36,2.229,56,51
2017-02,132,0~294,«·∂»Œ€»æ,97,144,35,1.454,49,71
2017-03,112,57~206,«·∂»Œ€»æ,79,123,36,1.148,55,94
2017-04,93,53~130,¡º,51,111,31,1.01,45,119
2017-05,138,46~405,«·∂»Œ€»æ,49,129,27,1.055,39,168
2017-06,126,44~207,«·∂»Œ€»æ,43,86,15,1.02,37,183
2017-07,77,36~146,¡º,32,53,6,0.855,23,127
2017-08,86,33~152,¡º,36,61,9,0.884,25,139
2017-09,75,38~118,¡º,42,76,16,0.93,37,115
2017-10,68,34~132,¡º,45,79,18,1.142,46,70
2017-11,103,53~178,«·∂»Œ€»æ,72,120,30,1.277,59,68
2017-12,118,49~257,«·∂»Œ€»æ,85,139,27,1.519,56,59
2018-01,159,50~397,÷–∂»Œ€»æ,123,160,22,1.571,48,58
2018-02,132,62~241,«·∂»Œ€»æ,93,145,17,1.25,37,86
2018-03,105,52~216,«·∂»Œ€»æ,70,116,14,1.181,36,111
2018-04,113,69~240,«·∂»Œ€»æ,46,165,12,1.1,32,102
