月份,AQI,范围,质量等级,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,132,132~132,轻度污染,101,173,67,1.2,104,44
2014-01,165,71~470,中度污染,130,168,32,1.055,56,28
2014-02,96,26~199,良,71,64,22,0.754,36,31
2014-03,89,38~211,良,66,88,39,0.765,44,90
2014-04,98,46~215,良,68,92,24,1.297,40,117
2014-05,97,31~162,良,54,100,17,1.103,33,146
2014-06,100,31~200,良,50,86,13,1.36,24,143
2014-07,74,33~148,良,38,71,9,1.171,17,119
2014-08,68,27~111,良,38,68,10,1.471,14,111
2014-09,68,29~119,良,42,73,13,1.105,22,110
2014-10,90,65~130,良,58,99,20,1.452,40,132
2014-11,101,53~171,轻度污染,75,110,22,1.513,51,66
2014-12,109,70~151,轻度污染,81,130,29,1.6,50,46
2015-01,123,34~211,轻度污染,92,130,30,1.709,52,37
2015-08,105,105~105,轻度污染,45,160,13,0.7,0,0
2016-05,0,0~0,无,0,0,0,0,0,0
2016-06,0,0~0,无,0,0,0,0,0,0
2016-07,0,0~0,无,0,0,0,0,0,0
2016-08,0,0~0,无,0,0,0,0,0,0
2016-09,0,0~0,无,0,0,0,0,0,0
2016-10,0,0~0,无,0,0,0,0,0,0
2016-11,1,0~30,优,1,1,0,0.017,1,2
2016-12,0,0~0,无,0,0,0,0,0,0
2017-01,0,0~0,无,0,0,0,0,0,0
2017-02,3,0~90,优,2,2,0,0.039,3,0
2017-03,2,0~67,优,1,2,0,0.023,2,1
2017-04,3,0~77,优,2,3,0,0.027,1,4
2017-05,5,0~95,优,3,5,0,0.052,2,6
2017-06,12,0~95,优,7,9,1,0.173,6,13
2017-07,12,0~183,优,5,8,1,0.119,4,18
2017-08,2,0~60,优,1,1,0,0.029,1,4
2017-09,9,0~104,优,2,5,1,0.077,2,15
2017-10,0,0~0,无,0,0,0,0,0,0
2017-11,0,0~0,无,0,0,0,0,0,0
2017-12,0,0~0,无,0,0,0,0,0,0
2018-01,70,0~163,良,48,67,9,0.684,34,45
2018-02,65,22~146,良,41,60,7,0.557,22,82
2018-03,31,0~100,优,16,23,4,0.423,13,52
2018-04,0,0~0,无,0,0,0,0,0,0
