‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,89,89~89,¡º,66,95,17,1.4,29,68
2015-01,99,20~184,¡º,74,105,17,1.194,33,58
2015-02,113,35~243,«·∂»Œ€»æ,84,110,17,1.254,22,71
2015-03,56,18~105,¡º,40,59,17,1.232,18,55
2015-04,70,27~115,¡º,41,69,20,1.293,16,110
2015-05,53,35~73,¡º,29,48,23,0.961,17,94
2015-06,42,27~63,”≈,22,38,24,0.797,17,76
2015-07,50,23~98,”≈,29,45,19,0.826,13,85
2015-08,65,29~140,¡º,42,67,22,0.942,20,100
2015-09,51,26~84,¡º,31,50,19,0.98,18,87
2015-10,69,21~113,¡º,45,73,24,1.023,23,113
2015-11,51,30~88,¡º,31,53,32,1.03,22,66
2015-12,51,25~125,¡º,32,51,28,0.945,23,54
2016-01,57,26~112,¡º,40,59,27,1.239,23,42
2016-02,82,26~326,¡º,61,81,29,1.038,19,68
2016-03,67,25~118,¡º,48,73,22,1.048,25,66
2016-04,60,42~113,¡º,38,60,19,1.13,20,85
2016-05,56,35~93,¡º,31,54,12,1.132,22,90
2016-06,42,31~70,”≈,19,32,18,0.997,17,79
2016-07,44,26~85,”≈,23,37,16,1.119,19,79
2016-08,57,28~109,¡º,27,42,11,1.142,18,104
2016-09,65,28~112,¡º,34,48,15,1.053,23,113
2016-10,58,22~95,¡º,34,52,15,0.777,21,96
2016-11,59,18~128,¡º,40,62,20,0.857,25,72
2016-12,86,30~127,¡º,62,90,25,0.997,34,101
2017-01,98,25~231,¡º,73,99,15,1.171,31,83
2017-02,79,39~137,¡º,57,81,12,0.986,28,92
2017-03,58,24~114,¡º,39,63,12,1.119,27,58
2017-04,69,42~120,¡º,42,68,11,1.033,25,93
2017-05,69,37~171,¡º,32,52,10,0.939,26,115
2017-06,45,30~84,”≈,22,41,8,0.81,21,74
2017-07,50,27~122,¡º,28,49,6,0.819,24,84
2017-08,50,27~82,”≈,23,45,6,0.797,25,85
2017-09,66,33~126,¡º,33,61,9,0.857,29,112
2017-10,68,27~127,¡º,40,67,11,0.784,26,115
2017-11,68,20~138,¡º,48,78,11,0.843,26,72
2017-12,90,23~170,¡º,66,101,18,0.955,34,86
2018-01,89,21~178,¡º,64,100,16,0.997,34,77
2018-02,91,23~183,¡º,67,88,14,0.893,24,85
2018-03,76,43~113,¡º,52,82,16,0.874,28,92
2018-04,84,52~108,¡º,53,100,13,0.75,23,122
