‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,116,42~200,«·∂»Œ€»æ,88,110,59,1.003,40,57
2014-01,123,53~190,«·∂»Œ€»æ,93,109,64,1.258,44,69
2014-02,68,23~114,¡º,50,57,34,0.946,23,57
2014-03,62,30~118,¡º,44,67,26,0.919,30,70
2014-04,65,36~92,¡º,43,74,14,0.757,26,82
2014-05,67,30~121,¡º,44,78,17,0.735,28,76
2014-06,57,26~92,¡º,38,60,12,0.673,24,72
2014-07,44,21~70,”≈,24,45,10,0.545,23,69
2014-08,47,27~65,”≈,26,49,8,0.542,22,72
2014-09,50,27~90,”≈,30,51,9,0.573,21,69
2014-10,73,31~131,¡º,53,79,11,0.668,28,81
2014-11,55,25~99,¡º,38,58,18,0.727,26,47
2014-12,86,48~169,¡º,63,94,40,0.845,35,58
2015-01,90,39~156,¡º,67,91,40,0.958,34,60
2015-02,73,23~139,¡º,54,68,30,0.85,24,74
2015-03,62,29~103,¡º,44,63,22,0.784,25,81
2015-04,66,43~95,¡º,40,75,13,0.613,27,98
2015-05,54,37~78,¡º,31,52,10,0.603,24,92
2015-06,39,24~68,”≈,20,38,8,0.633,22,68
2015-07,57,28~94,¡º,29,52,8,0.581,26,96
2015-08,51,22~94,¡º,27,46,8,0.619,27,83
2015-09,46,27~83,”≈,29,45,8,0.647,25,67
2015-10,62,30~88,¡º,43,69,11,0.69,33,78
2015-11,53,28~78,¡º,33,57,14,0.81,28,45
2015-12,62,29~117,¡º,42,66,26,0.732,28,49
2016-01,59,38~97,¡º,41,64,28,0.965,29,48
2016-02,79,37~238,¡º,56,84,34,0.817,27,92
2016-03,65,37~104,¡º,42,73,15,0.777,33,93
2016-04,61,46~98,¡º,36,67,8,0.647,31,89
2016-05,62,25~94,¡º,30,64,6,0.594,26,101
2016-06,54,29~101,¡º,22,50,7,0.553,23,87
2016-07,42,25~58,”≈,17,41,6,0.494,22,73
2016-08,57,29~101,¡º,30,55,6,0.645,27,93
2016-09,72,41~93,¡º,42,72,8,0.643,28,113
2016-10,55,23~112,¡º,31,55,7,0.706,27,75
2016-11,54,26~83,¡º,35,58,14,0.84,31,57
2016-12,80,34~180,¡º,58,92,27,0.994,39,64
2017-01,66,28~120,¡º,46,66,22,0.99,28,54
2017-02,60,28~120,¡º,42,61,23,0.871,27,78
2017-03,57,35~99,¡º,37,59,17,0.829,31,71
2017-04,62,34~94,¡º,32,57,10,0.677,27,109
2017-05,63,29~116,¡º,26,44,7,0.619,24,110
2017-06,42,24~100,”≈,19,32,6,0.65,24,70
2017-07,40,20~71,”≈,18,37,6,0.626,24,74
2017-08,43,25~124,”≈,19,38,6,0.6,22,78
2017-09,42,24~73,”≈,20,42,7,0.623,21,74
2017-10,43,24~80,”≈,23,44,8,0.59,21,67
2017-11,69,33~140,¡º,47,81,16,0.76,32,65
2017-12,75,38~123,¡º,53,90,28,0.868,38,66
2018-01,57,29~103,¡º,39,60,23,0.932,29,48
2018-02,74,31~119,¡º,53,80,23,0.793,25,81
2018-03,66,28~99,¡º,42,69,12,0.69,30,95
2018-04,71,49~91,¡º,40,84,8,0.625,25,100
