‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,105,105~105,«·∂»Œ€»æ,79,142,8,2.6,49,89
2015-01,103,30~199,«·∂»Œ€»æ,77,113,19,1.484,27,70
2015-02,103,36~233,«·∂»Œ€»æ,77,108,10,1.575,20,41
2015-03,59,24~115,¡º,43,62,11,0.9,13,30
2015-04,74,33~114,¡º,52,83,15,0.663,14,73
2015-05,53,29~73,¡º,33,57,15,0.865,10,51
2015-06,45,33~58,”≈,26,46,13,0.763,7,51
2015-07,49,28~103,”≈,31,51,17,1.116,8,69
2015-08,56,26~98,¡º,35,54,18,0.984,9,74
2015-09,56,24~119,¡º,31,46,17,0.903,9,91
2015-10,60,23~92,¡º,41,56,24,0.768,21,91
2015-11,37,20~60,”≈,21,30,19,0.987,19,49
2015-12,35,18~61,”≈,16,30,16,0.997,22,45
2016-01,47,27~90,”≈,31,46,16,0.971,27,44
2016-02,58,20~144,¡º,40,60,17,0.828,22,64
2016-03,53,19~124,¡º,37,53,21,0.9,17,55
2016-04,47,28~100,”≈,29,48,20,0.837,14,52
2016-05,49,31~82,”≈,31,50,21,0.739,14,64
2016-06,41,24~87,”≈,19,37,22,0.68,10,61
2016-07,42,24~72,”≈,24,43,22,0.819,8,62
2016-08,48,23~88,”≈,26,45,19,0.9,13,77
2016-09,65,28~94,¡º,46,67,15,0.763,8,95
2016-10,58,29~99,¡º,38,56,14,0.835,10,71
2016-11,53,18~115,¡º,36,58,12,0.857,17,59
2016-12,86,30~149,¡º,63,97,15,1.2,26,87
2017-01,96,25~295,¡º,71,113,12,1.194,23,76
2017-02,73,32~125,¡º,52,76,13,0.936,20,90
2017-03,51,24~102,¡º,35,52,10,0.955,24,56
2017-04,60,30~94,¡º,40,61,9,0.82,20,79
2017-05,68,37~109,¡º,36,60,7,0.803,18,109
2017-06,42,22~65,”≈,22,40,9,0.933,15,67
2017-07,46,23~94,”≈,27,44,9,0.906,14,81
2017-08,46,27~70,”≈,25,44,11,0.945,13,78
2017-09,62,34~107,¡º,39,63,11,0.97,14,107
2017-10,64,21~113,¡º,42,67,9,1.029,15,101
2017-11,72,30~166,¡º,51,75,13,1.21,23,74
2017-12,89,28~149,¡º,65,98,10,0.977,30,87
2018-01,83,25~158,¡º,61,86,10,1.068,27,63
2018-02,91,25~358,¡º,68,94,11,1.071,19,77
2018-03,65,23~108,¡º,45,68,13,0.929,21,86
2018-04,88,47~109,¡º,60,101,19,0.838,21,110
