‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,155,155~155,÷–∂»Œ€»æ,118,166,55,1.2,20,55
2015-01,122,40~206,«·∂»Œ€»æ,89,140,52,1.223,29,63
2015-02,94,45~173,¡º,65,109,54,1.125,19,92
2015-03,84,57~113,¡º,50,87,60,0.906,18,127
2015-04,96,50~160,¡º,36,74,35,0.853,18,152
2015-05,83,50~127,¡º,42,85,24,0.652,15,132
2015-06,65,39~98,¡º,23,64,19,0.56,13,111
2015-07,88,38~130,¡º,25,61,23,0.597,16,142
2015-08,66,36~104,¡º,22,52,23,0.581,17,115
2015-09,45,25~84,”≈,18,41,18,0.647,18,79
2015-10,68,28~108,¡º,37,84,16,0.71,21,93
2015-11,57,32~82,¡º,31,66,16,0.85,18,55
2015-12,77,40~179,¡º,49,100,21,0.874,24,54
2016-01,94,49~178,¡º,67,115,21,1.01,22,62
2016-02,104,51~267,«·∂»Œ€»æ,72,126,24,0.876,19,100
2016-03,93,39~149,¡º,64,116,24,0.823,22,117
2016-04,75,40~128,¡º,45,83,23,0.607,19,117
2016-05,103,47~312,«·∂»Œ€»æ,65,117,23,0.616,18,137
2016-06,84,47~130,¡º,30,66,30,0.52,15,138
2016-07,66,42~123,¡º,26,57,22,0.49,14,114
2016-08,75,45~110,¡º,32,71,9,0.681,15,128
2016-09,65,44~109,¡º,33,70,9,0.63,17,107
2016-10,61,31~117,¡º,32,72,11,0.706,21,82
2016-11,78,28~128,¡º,48,106,11,0.823,26,68
2016-12,99,39~149,¡º,69,140,10,1.016,29,53
2017-01,116,29~246,«·∂»Œ€»æ,81,165,12,1.045,31,70
2017-02,90,56~137,¡º,55,125,12,0.914,27,80
2017-03,71,44~113,¡º,35,91,12,0.723,26,91
2017-04,78,42~119,¡º,27,71,12,0.573,22,128
2017-05,89,37~141,¡º,29,70,12,0.568,23,143
2017-06,68,31~105,¡º,23,52,9,0.563,22,114
2017-07,79,42~140,¡º,20,53,9,0.577,21,133
2017-08,69,33~115,¡º,17,52,7,0.542,21,118
2017-09,53,37~95,¡º,18,52,8,0.587,25,84
2017-10,45,25~72,”≈,19,46,6,0.613,26,58
2017-11,67,40~94,¡º,38,83,8,0.743,38,73
2017-12,110,56~191,«·∂»Œ€»æ,76,144,10,1,43,59
2018-01,86,33~168,¡º,58,106,10,0.997,36,67
2018-02,88,40~163,¡º,57,111,9,0.829,28,92
2018-03,72,30~108,¡º,36,84,10,0.723,31,115
2018-04,92,62~111,¡º,31,115,10,0.575,34,130
