‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,52,52~52,¡º,37,50,50,1.5,30,94
2015-01,70,22~108,¡º,51,70,55,1.768,36,69
2015-02,67,20~101,¡º,49,61,29,1.686,26,68
2015-03,46,21~83,”≈,32,47,29,1.555,20,60
2015-04,64,25~104,¡º,43,67,32,1.437,21,89
2015-05,59,32~164,¡º,42,56,18,1.145,17,72
2015-06,44,31~54,”≈,29,44,16,1.073,13,69
2015-07,53,29~84,¡º,36,53,16,1.116,12,80
2015-08,65,37~104,¡º,44,64,22,1.248,15,99
2015-09,66,38~93,¡º,45,63,30,1.24,20,93
2015-10,65,35~97,¡º,40,61,43,1.213,27,97
2015-11,52,31~107,¡º,35,52,26,1.4,23,50
2015-12,59,26~115,¡º,41,59,27,1.303,26,49
2016-01,64,32~132,¡º,45,64,26,1.387,29,54
2016-02,69,36~182,¡º,50,73,24,1.2,24,85
2016-03,77,34~124,¡º,54,81,30,1.326,35,87
2016-04,59,39~107,¡º,41,58,25,1.29,21,80
2016-05,60,32~102,¡º,39,63,23,1.323,22,85
2016-06,54,33~114,¡º,29,46,24,1.317,18,92
2016-07,56,30~111,¡º,32,52,22,1.339,17,94
2016-08,57,31~115,¡º,34,55,24,1.239,18,91
2016-09,70,33~115,¡º,48,70,32,1.33,17,105
2016-10,62,35~100,¡º,44,63,24,1.323,18,58
2016-11,68,26~138,¡º,49,77,25,1.213,30,61
2016-12,108,46~180,«·∂»Œ€»æ,80,121,40,1.761,40,73
2017-01,101,46~234,«·∂»Œ€»æ,74,107,29,1.816,33,71
2017-02,80,38~123,¡º,58,84,28,1.546,29,84
2017-03,69,32~135,¡º,48,77,31,1.413,31,63
2017-04,69,29~124,¡º,45,72,31,1.07,27,105
2017-05,85,35~148,¡º,52,82,39,1.129,31,128
2017-06,49,30~83,”≈,32,49,20,0.923,19,74
2017-07,46,22~103,”≈,26,45,20,0.761,16,76
2017-08,59,27~104,¡º,32,51,15,0.765,17,104
2017-09,72,36~142,¡º,41,64,19,0.98,20,122
2017-10,66,30~118,¡º,43,66,21,1.219,22,106
2017-11,78,35~132,¡º,57,87,25,1.54,33,74
2017-12,89,33~139,¡º,65,100,30,1.655,40,85
2018-01,83,29~162,¡º,60,91,23,1.803,35,62
2018-02,78,38~152,¡º,56,81,15,1.414,29,88
2018-03,70,30~132,¡º,48,81,18,1.468,36,93
2018-04,89,51~107,¡º,57,103,26,1.45,29,137
