‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,102,102~102,«·∂»Œ€»æ,12,153,73,0.5,18,27
2014-01,111,54~377,«·∂»Œ€»æ,75,151,111,0.784,29,26
2014-02,124,43~423,«·∂»Œ€»æ,89,159,89,0.789,29,42
2014-03,99,54~394,¡º,48,139,68,0.561,27,69
2014-04,91,52~281,¡º,37,128,35,0.873,23,80
2014-05,70,39~149,¡º,26,90,25,0.913,19,86
2014-06,58,23~92,¡º,24,68,15,0.747,18,70
2014-07,78,38~131,¡º,45,89,20,0.9,18,114
2014-08,61,38~91,¡º,30,69,25,0.81,22,93
2014-09,69,40~102,¡º,28,88,31,0.767,25,76
2014-10,100,39~240,¡º,61,141,40,0.926,29,60
2014-11,86,31~152,¡º,55,122,88,1.057,28,43
2014-12,78,33~170,¡º,51,95,122,1.406,31,35
2015-01,85,34~211,¡º,60,108,138,1.774,36,29
2015-02,87,36~346,¡º,58,105,91,1.425,30,34
2015-03,88,31~182,¡º,43,127,44,1.213,30,40
2015-04,66,27~102,¡º,34,82,27,0.813,24,56
2015-05,62,28~109,¡º,28,74,13,0.777,15,81
2015-06,73,37~143,¡º,27,53,14,0.65,20,124
2015-07,55,29~96,¡º,27,57,14,0.748,21,92
2015-08,47,32~105,”≈,19,51,14,0.748,18,68
2015-09,50,23~94,¡º,24,55,16,0.663,18,69
2015-10,64,28~111,¡º,32,81,27,0.848,25,59
2015-11,102,42~212,«·∂»Œ€»æ,71,116,86,1.163,29,46
2015-12,103,36~203,«·∂»Œ€»æ,73,120,100,1.477,31,41
2016-01,72,32~134,¡º,46,79,77,1.142,24,41
2016-02,62,28~149,¡º,39,69,49,0.986,18,57
2016-03,74,29~202,¡º,41,94,38,0.984,21,69
2016-04,78,43~142,¡º,28,102,18,1.043,16,97
2016-05,77,43~145,¡º,27,81,13,0.787,15,117
2016-06,69,41~119,¡º,25,58,14,0.823,15,121
2016-07,66,30~128,¡º,28,56,12,1.039,17,112
2016-08,56,37~80,¡º,18,49,12,0.965,17,100
2016-09,47,24~92,”≈,22,50,14,0.937,17,75
2016-10,63,30~111,¡º,36,71,20,0.994,18,84
2016-11,87,40~183,¡º,60,99,54,1.55,23,62
2016-12,97,37~226,¡º,70,102,66,2.01,24,53
2017-01,97,40~280,¡º,69,97,62,2.239,21,55
2017-02,75,36~203,¡º,50,76,40,1.736,19,71
2017-03,60,39~117,¡º,36,65,26,1.448,20,87
2017-04,72,44~158,¡º,27,93,15,1.427,16,100
2017-05,97,28~417,¡º,35,118,12,1.239,16,115
2017-06,70,31~155,¡º,24,56,14,1.2,20,119
2017-07,72,46~121,¡º,28,61,12,1.019,17,123
2017-08,51,28~85,¡º,20,44,11,0.735,16,92
2017-09,60,34~108,¡º,26,65,12,0.777,21,97
2017-10,57,25~92,¡º,32,66,14,0.723,24,66
2017-11,57,28~157,¡º,27,67,19,0.863,20,60
2017-12,62,25~198,¡º,39,67,37,1.297,26,46
2018-01,52,27~94,¡º,29,56,32,1.139,24,54
2018-02,64,30~122,¡º,39,72,32,1.154,22,60
2018-03,84,37~203,¡º,49,113,25,1.019,28,78
2018-04,78,35~174,¡º,31,108,11,0.6,19,89
