‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,33,33~33,”≈,19,33,7,0.5,13,58
2015-01,109,35~215,«·∂»Œ€»æ,82,108,58,1.371,43,66
2015-02,116,35~320,«·∂»Œ€»æ,79,119,43,1.711,32,75
2015-03,72,40~111,¡º,50,79,26,1.235,26,93
2015-04,74,40~107,¡º,47,75,16,0.72,23,99
2015-05,71,28~139,¡º,32,61,13,0.59,19,111
2015-06,51,24~111,¡º,30,47,7,0.77,23,77
2015-07,51,21~124,¡º,35,47,7,0.942,11,63
2015-08,55,19~153,¡º,38,49,7,0.894,16,66
2015-09,55,34~89,¡º,35,52,15,0.94,25,92
2015-10,104,24~218,«·∂»Œ€»æ,76,96,16,1.19,29,69
2015-11,126,49~411,«·∂»Œ€»æ,98,117,38,1.253,26,59
2015-12,127,40~264,«·∂»Œ€»æ,96,118,57,1.419,39,50
2016-01,96,50~150,¡º,71,89,54,1.287,33,56
2016-02,70,35~155,¡º,49,62,39,1.731,25,73
2016-03,83,36~168,¡º,57,83,32,1.432,26,97
2016-04,68,42~133,¡º,31,61,22,0.957,24,113
2016-05,95,47~146,¡º,27,46,14,0.761,25,152
2016-06,97,43~195,¡º,27,40,12,0.9,32,155
2016-07,77,30~131,¡º,28,38,11,0.884,24,131
2016-08,64,15~119,¡º,23,34,10,0.81,20,112
2016-09,56,21~89,¡º,31,43,13,0.937,26,93
2016-10,82,29~158,¡º,58,77,19,1.11,33,75
2016-11,77,33~142,¡º,56,71,30,0.947,30,66
2016-12,123,39~226,«·∂»Œ€»æ,92,111,41,1.406,45,64
2017-01,113,40~280,«·∂»Œ€»æ,84,102,52,1.4,39,71
2017-02,81,39~169,¡º,58,72,34,1.218,28,87
2017-03,84,41~176,¡º,61,76,25,1.223,33,105
2017-04,77,41~156,¡º,48,72,16,1.017,27,113
2017-05,93,36~390,¡º,31,71,12,0.826,26,130
2017-06,75,38~165,¡º,24,37,12,1.01,34,123
2017-07,81,44~124,¡º,25,33,9,1,23,137
2017-08,49,30~84,”≈,15,23,7,0.984,21,91
2017-09,57,36~100,¡º,22,32,9,1.003,23,104
2017-10,94,34~272,¡º,66,81,13,1.255,35,98
2017-11,64,27~208,¡º,44,56,13,0.987,28,68
2017-12,75,29~175,¡º,54,66,22,1.371,36,49
2018-01,77,40~122,¡º,56,69,22,1.448,39,54
2018-02,75,36~139,¡º,54,66,22,1.129,30,70
2018-03,82,42~193,¡º,58,74,20,1.148,28,104
2018-04,72,45~102,¡º,46,68,13,0.875,20,111
