‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,109,109~109,«·∂»Œ€»æ,21,169,21,1.6,15,41
2015-01,114,43~353,«·∂»Œ€»æ,86,117,75,2.574,43,35
2015-02,119,40~465,«·∂»Œ€»æ,90,128,57,2.178,36,47
2015-03,89,47~147,¡º,59,111,37,1.939,28,64
2015-04,92,67~117,¡º,57,117,27,1.975,32,90
2015-05,78,37~152,¡º,36,85,21,1.219,23,116
2015-06,93,58~143,¡º,34,61,13,0.947,20,151
2015-07,76,37~127,¡º,35,65,12,0.977,20,127
2015-08,70,40~127,¡º,34,62,11,1.081,20,117
2015-09,70,41~104,¡º,34,78,18,1.087,31,101
2015-10,81,46~230,¡º,49,96,18,1.261,33,85
2015-11,138,50~500,«·∂»Œ€»æ,114,155,50,2.017,49,48
2015-12,120,41~275,«·∂»Œ€»æ,90,129,63,2.284,42,43
2016-01,99,41~209,¡º,72,112,62,1.674,40,48
2016-02,70,46~172,¡º,43,83,44,1.172,28,78
2016-03,88,38~298,¡º,48,118,31,1.345,30,103
2016-04,84,61~119,¡º,38,101,17,1.12,25,115
2016-05,95,50~163,¡º,32,74,15,1.874,25,149
2016-06,96,55~130,¡º,28,53,13,2.177,19,152
2016-07,74,31~130,¡º,35,63,9,1.239,18,119
2016-08,72,26~155,¡º,35,67,14,0.877,24,116
2016-09,60,28~87,¡º,35,59,17,0.887,26,94
2016-10,74,34~230,¡º,52,80,23,0.903,35,64
2016-11,95,35~262,¡º,69,102,38,1.03,39,53
2016-12,103,51~254,«·∂»Œ€»æ,75,105,40,1.248,41,50
2017-01,118,46~254,«·∂»Œ€»æ,87,122,49,1.574,48,55
2017-02,85,41~188,¡º,60,84,34,1.1,34,79
2017-03,111,42~190,«·∂»Œ€»æ,81,125,36,1.194,44,101
2017-04,82,50~144,¡º,43,101,21,0.883,29,111
2017-05,94,50~154,¡º,30,89,11,0.626,22,135
2017-06,97,44~207,¡º,33,68,17,0.81,26,153
2017-07,87,48~171,¡º,29,56,11,0.726,20,141
2017-08,54,27~110,¡º,20,42,11,0.716,20,97
2017-09,62,37~94,¡º,29,59,16,0.883,26,104
2017-10,73,33~139,¡º,47,78,19,1.019,36,68
2017-11,64,35~155,¡º,41,69,24,0.9,28,58
2017-12,94,42~242,¡º,65,98,39,1.571,42,43
2018-01,72,39~143,¡º,50,77,36,1.294,40,53
2018-02,84,51~163,¡º,59,86,32,1.346,33,76
2018-03,86,40~160,¡º,58,86,27,1.235,33,106
2018-04,69,48~105,¡º,40,76,17,0.888,24,96
