‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,173,173~173,÷–∂»Œ€»æ,131,166,5,1.5,37,38
2015-01,188,32~373,÷–∂»Œ€»æ,147,190,18,1.781,43,34
2015-02,121,31~246,«·∂»Œ€»æ,92,120,10,1.482,39,34
2015-03,86,27~144,¡º,63,88,10,1.065,37,46
2015-04,68,20~128,¡º,48,75,6,0.817,35,54
2015-05,71,35~123,¡º,49,80,8,1.084,34,57
2015-06,59,28~97,¡º,41,60,9,0.787,33,65
2015-07,78,40~123,¡º,43,67,11,0.703,40,121
2015-08,71,29~120,¡º,47,72,15,0.842,36,99
2015-09,69,39~105,¡º,48,69,11,0.857,36,71
2015-10,82,39~139,¡º,58,84,10,0.877,44,61
2015-11,68,50~122,¡º,44,71,13,1.29,46,33
2015-12,100,47~201,¡º,73,109,10,1.345,43,35
2016-01,129,56~256,«·∂»Œ€»æ,97,138,10,1.468,37,27
2016-02,114,33~242,«·∂»Œ€»æ,86,121,15,1.293,50,51
2016-03,88,45~129,¡º,63,98,17,0.994,57,77
2016-04,67,40~128,¡º,46,75,13,1.06,41,69
2016-05,69,37~138,¡º,44,76,13,0.768,38,95
2016-06,59,35~85,¡º,31,57,11,0.91,36,97
2016-07,51,28~73,¡º,27,48,10,0.716,29,90
2016-08,57,35~104,¡º,34,56,10,0.806,33,97
2016-09,80,50~127,¡º,57,84,10,1.107,45,84
2016-10,56,30~109,¡º,34,57,10,0.948,37,52
2016-11,75,30~122,¡º,52,88,14,1.333,42,42
2016-12,135,62~219,«·∂»Œ€»æ,102,151,14,1.729,51,46
2017-01,128,38~287,«·∂»Œ€»æ,97,138,14,1.5,41,52
2017-02,93,30~182,¡º,68,99,11,1.336,38,56
2017-03,71,36~106,¡º,45,84,7,0.981,42,74
2017-04,65,42~87,¡º,38,72,8,0.92,38,93
2017-05,68,38~100,¡º,42,70,11,0.845,38,101
2017-06,61,43~87,¡º,38,57,10,0.977,38,90
2017-07,61,30~111,¡º,26,44,11,0.645,33,106
2017-08,56,28~99,¡º,25,39,12,0.616,30,104
2017-09,48,28~84,”≈,25,42,10,0.763,33,65
2017-10,54,28~94,¡º,31,52,12,0.923,37,56
2017-11,79,44~115,¡º,55,87,13,1.013,46,49
2017-12,141,64~266,«·∂»Œ€»æ,107,151,19,1.584,57,60
2018-01,113,39~198,«·∂»Œ€»æ,84,120,15,1.471,49,61
2018-02,106,39~235,«·∂»Œ€»æ,79,109,13,1.589,46,64
2018-03,76,35~150,¡º,52,81,12,1.161,47,81
2018-04,76,41~119,¡º,42,85,12,0.688,41,121
