‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,55,55~55,¡º,32,60,47,2.5,22,76
2015-01,138,44~284,«·∂»Œ€»æ,105,163,71,3.371,30,59
2015-02,86,46~150,¡º,63,102,60,1.629,28,57
2015-03,79,36~127,¡º,56,85,42,1.519,28,62
2015-04,59,29~91,¡º,33,69,46,1.45,25,79
2015-05,91,57~139,¡º,64,109,36,1.294,25,128
2015-06,103,54~163,«·∂»Œ€»æ,65,108,26,1.637,19,138
2015-07,107,67~166,«·∂»Œ€»æ,68,93,26,1.826,13,157
2015-08,88,46~146,¡º,56,88,31,2.284,17,131
2015-09,65,35~87,¡º,39,55,43,1.58,21,102
2015-10,71,35~114,¡º,42,71,63,1.739,42,79
2015-11,83,39~291,¡º,57,83,70,2.143,41,45
2015-12,183,55~442,÷–∂»Œ€»æ,145,206,130,3.106,63,37
2016-01,165,54~428,÷–∂»Œ€»æ,126,189,154,3.535,65,48
2016-02,113,68~232,«·∂»Œ€»æ,75,125,117,3.566,42,59
2016-03,111,61~230,«·∂»Œ€»æ,71,147,77,2.035,44,73
2016-04,76,47~210,¡º,45,86,36,2.257,26,82
2016-05,58,30~84,¡º,28,62,26,1.339,21,87
2016-06,64,40~92,¡º,31,57,32,1.43,23,104
2016-07,52,30~85,¡º,26,43,28,1.313,15,95
2016-08,56,27~109,¡º,34,47,36,1.39,14,97
2016-09,69,42~129,¡º,44,63,46,1.52,26,87
2016-10,64,27~112,¡º,43,65,46,1.261,29,72
2016-11,150,49~279,÷–∂»Œ€»æ,111,190,83,2.213,57,64
2016-12,186,68~427,÷–∂»Œ€»æ,148,215,116,2.877,65,55
2017-01,194,50~500,÷–∂»Œ€»æ,162,233,113,2.81,57,62
2017-02,149,55~270,«·∂»Œ€»æ,111,165,97,2.282,46,98
2017-03,102,56~203,«·∂»Œ€»æ,72,119,66,1.61,41,102
2017-04,89,46~206,¡º,50,106,34,1.32,37,126
2017-05,136,62~488,«·∂»Œ€»æ,50,128,23,1.052,27,167
2017-06,131,73~189,«·∂»Œ€»æ,42,76,26,1.16,17,193
2017-07,125,53~201,«·∂»Œ€»æ,44,74,23,1.306,17,182
2017-08,108,43~202,«·∂»Œ€»æ,44,74,23,1.313,15,165
2017-09,88,42~154,¡º,44,82,27,1.353,24,137
2017-10,76,25~152,¡º,53,90,23,1.558,32,77
2017-11,117,61~182,«·∂»Œ€»æ,86,157,59,2.033,49,65
2017-12,157,56~321,÷–∂»Œ€»æ,118,196,106,2.706,56,55
2018-01,166,51~345,÷–∂»Œ€»æ,130,198,90,2.468,49,63
2018-02,125,47~295,«·∂»Œ€»æ,87,153,71,1.696,34,94
2018-03,110,58~165,«·∂»Œ€»æ,79,136,34,1.232,35,121
2018-04,107,79~130,«·∂»Œ€»æ,48,164,26,1.013,30,121
