‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,195,66~414,÷–∂»Œ€»æ,156,245,74,2.127,66,38
2014-01,150,44~271,«·∂»Œ€»æ,114,172,52,1.752,50,50
2014-02,102,29~315,«·∂»Œ€»æ,74,109,34,1.061,33,76
2014-03,110,70~284,«·∂»Œ€»æ,77,147,37,0.974,44,103
2014-04,91,49~204,¡º,58,113,29,0.783,37,121
2014-05,101,45~178,«·∂»Œ€»æ,62,131,33,0.848,32,146
2014-06,105,46~245,«·∂»Œ€»æ,61,103,20,0.97,29,150
2014-07,74,39~126,¡º,41,87,11,0.8,24,108
2014-08,72,29~183,¡º,41,72,15,0.842,27,114
2014-09,55,41~80,¡º,25,53,16,0.77,27,96
2014-10,69,34~111,¡º,37,84,22,0.819,31,98
2014-11,95,36~234,¡º,62,123,33,1.147,44,73
2014-12,122,61~302,«·∂»Œ€»æ,90,151,53,1.3,46,51
2015-01,122,32~317,«·∂»Œ€»æ,90,135,44,1.181,42,58
2015-02,107,40~204,«·∂»Œ€»æ,76,119,31,0.929,30,75
2015-03,82,49~251,¡º,43,107,25,0.777,29,89
2015-04,82,43~141,¡º,42,96,23,0.873,25,121
2015-05,80,44~125,¡º,39,82,20,0.803,22,132
2015-06,87,40~189,¡º,43,81,17,0.8,19,142
2015-07,72,36~170,¡º,36,59,12,0.7,18,121
2015-08,78,26~140,¡º,38,62,16,0.739,21,130
2015-09,80,50~120,¡º,32,56,23,0.72,26,133
2015-10,89,45~145,¡º,55,100,28,0.835,29,124
2015-11,80,30~204,¡º,57,82,29,1.067,31,69
2015-12,135,49~302,«·∂»Œ€»æ,102,152,48,1.481,42,51
2016-01,124,39~262,«·∂»Œ€»æ,92,135,48,1.313,37,61
2016-02,86,38~173,¡º,59,108,41,1.048,28,91
2016-03,89,52~148,¡º,56,120,34,0.868,31,116
2016-04,100,49~150,¡º,53,119,25,0.993,32,146
2016-05,83,50~167,¡º,43,86,22,0.652,25,132
2016-06,81,49~150,¡º,30,65,16,0.613,18,133
2016-07,62,32~116,¡º,26,55,12,0.716,16,107
2016-08,65,26~152,¡º,20,41,13,0.671,19,111
2016-09,81,30~156,¡º,36,69,19,0.81,30,134
2016-10,56,31~81,¡º,29,50,15,0.677,32,91
2016-11,84,41~183,¡º,58,98,26,1.213,45,71
2016-12,97,34~195,¡º,70,118,33,1.394,55,67
2017-01,88,38~212,¡º,61,102,33,1.268,44,73
2017-02,88,46~148,¡º,63,92,29,1.046,43,94
2017-03,79,49~145,¡º,50,78,24,0.877,43,115
2017-04,86,59~121,¡º,46,88,20,0.807,37,135
2017-05,108,44~187,«·∂»Œ€»æ,47,99,16,0.665,26,156
2017-06,76,45~133,¡º,34,59,11,0.647,21,128
2017-07,57,22~89,¡º,32,52,6,0.694,18,99
2017-08,61,28~99,¡º,30,49,8,0.765,21,109
2017-09,63,35~93,¡º,30,51,12,0.793,26,112
2017-10,58,30~139,¡º,34,53,14,0.871,33,88
2017-11,75,34~139,¡º,48,82,15,0.967,39,67
2017-12,99,27~190,¡º,71,106,27,1.168,51,54
2018-01,108,37~245,«·∂»Œ€»æ,78,110,27,1.365,48,59
2018-02,78,37~189,¡º,52,82,22,0.993,32,76
2018-03,77,41~144,¡º,49,80,17,0.903,38,109
2018-04,75,53~100,¡º,42,97,17,0.85,35,112
