月份,AQI,范围,质量等级,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,51,51~51,良,29,51,12,0.8,33,47
2015-01,38,23~58,优,19,38,12,1.423,21,51
2015-02,35,27~48,优,15,31,16,1.332,11,65
2015-03,44,34~56,优,20,43,20,1.097,13,78
2015-04,35,27~58,优,16,34,22,0.723,13,57
2015-05,45,33~56,优,15,45,23,0.671,13,72
2015-06,33,26~47,优,16,30,8,0.763,11,56
2015-07,32,25~52,优,16,31,9,0.58,14,43
2015-08,27,20~40,优,14,27,11,0.542,13,31
2015-09,25,20~36,优,15,25,10,0.42,11,21
2015-10,33,22~48,优,15,33,13,0.674,14,34
2015-11,41,27~62,优,17,41,11,0.983,18,45
2015-12,38,23~64,优,20,36,6,0.803,16,52
2016-01,32,24~42,优,17,29,12,0.597,17,58
2016-02,32,25~37,优,15,24,11,0.528,12,61
2016-03,39,28~58,优,15,36,14,0.739,17,72
2016-04,39,30~53,优,15,33,17,0.79,16,74
2016-05,40,26~102,优,14,30,15,0.958,21,59
2016-06,26,20~41,优,15,24,8,0.65,17,36
2016-07,24,20~31,优,14,24,11,0.374,11,18
2016-08,27,21~36,优,14,27,10,0.6,17,41
2016-09,25,20~30,优,14,24,8,0.643,16,26
2016-10,34,24~58,优,15,32,15,1.077,21,49
2016-11,46,29~57,优,20,45,17,1.21,19,53
2016-12,43,31~55,优,13,42,10,1.129,20,63
2017-01,38,32~52,优,14,35,8,0.768,17,71
2017-02,39,34~46,优,12,31,7,0.893,14,75
2017-03,43,36~63,优,12,32,9,1.135,15,83
2017-04,45,27~74,优,13,37,15,1.013,15,82
2017-05,54,33~75,良,11,27,12,0.961,17,102
2017-06,47,21~111,优,7,26,9,0.67,13,86
2017-07,42,20~72,优,8,34,11,0.548,12,75
2017-08,42,32~58,优,6,34,9,0.577,20,72
2017-09,35,26~53,优,5,29,11,0.64,10,64
2017-10,38,23~53,优,8,37,11,0.565,14,61
2017-11,49,35~59,优,12,50,12,0.73,19,84
2017-12,56,42~71,良,16,62,11,0.839,20,86
2018-01,47,34~74,优,12,37,12,0.677,10,90
2018-02,52,43~62,良,10,30,11,0.65,7,100
2018-03,60,44~84,良,13,37,14,0.668,8,111
2018-04,63,47~77,良,14,38,14,0.688,10,114
