‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,18,18~18,”≈,13,18,14,0.3,22,36
2015-01,114,48~227,«·∂»Œ€»æ,84,134,101,2.11,54,47
2015-02,89,35~191,¡º,58,98,55,1.821,45,65
2015-03,68,37~114,¡º,42,74,36,1.252,35,95
2015-04,81,40~157,¡º,41,79,28,1.223,32,123
2015-05,77,44~140,¡º,27,60,14,0.806,23,129
2015-06,71,43~124,¡º,30,55,21,0.653,31,119
2015-07,57,35~94,¡º,28,57,12,0.613,25,98
2015-08,54,33~72,¡º,24,55,14,0.758,25,83
2015-09,62,44~74,¡º,34,74,25,1.05,31,85
2015-10,81,38~169,¡º,57,100,21,1.052,37,79
2015-11,121,67~360,«·∂»Œ€»æ,90,146,41,1.263,37,57
2015-12,116,38~206,«·∂»Œ€»æ,86,131,97,1.665,52,38
2016-01,100,55~149,¡º,74,120,78,1.21,47,53
2016-02,92,46~253,¡º,65,113,60,2.252,39,64
2016-03,79,44~222,¡º,50,98,34,1.287,36,94
2016-04,68,44~115,¡º,27,68,10,0.923,24,114
2016-05,80,42~119,¡º,27,62,8,1.087,26,131
2016-06,63,0~123,¡º,24,45,6,0.73,25,112
2016-07,52,26~122,¡º,24,46,5,0.974,21,89
2016-08,52,19~104,¡º,22,46,8,0.955,23,83
2016-09,53,25~72,¡º,28,57,7,0.917,24,73
2016-10,61,28~113,¡º,38,69,13,1.032,30,56
2016-11,70,38~118,¡º,47,78,36,1.497,29,61
2016-12,99,43~208,¡º,68,101,78,2.555,44,43
2017-01,96,45~348,¡º,70,105,88,1.548,52,45
2017-02,74,39~137,¡º,50,76,66,1.536,50,62
2017-03,66,42~134,¡º,44,77,38,1.648,42,81
2017-04,60,33~87,¡º,32,70,15,1.567,31,84
2017-05,78,42~155,¡º,25,68,8,1.161,25,123
2017-06,67,32~126,¡º,24,48,8,0.993,22,116
2017-07,60,40~94,¡º,23,37,7,1.029,16,108
2017-08,42,25~72,”≈,14,30,6,0.855,16,78
2017-09,49,23~74,”≈,24,47,9,1.023,24,85
2017-10,58,26~93,¡º,36,61,13,0.987,35,69
2017-11,52,30~149,¡º,32,52,21,0.81,28,60
2017-12,69,32~127,¡º,49,75,36,1.132,37,52
2018-01,77,32~133,¡º,55,85,41,1.387,44,53
2018-02,65,44~140,¡º,44,69,33,1.132,36,78
2018-03,73,46~137,¡º,39,62,19,0.981,27,123
2018-04,68,50~120,¡º,33,58,11,0.8,23,118
