‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,66,66~66,¡º,30,82,10,0.5,12,66
2015-01,85,48~145,¡º,59,94,28,0.806,29,64
2015-02,83,42~207,¡º,55,99,21,0.696,26,75
2015-03,90,41~288,¡º,53,120,22,0.568,25,100
2015-04,86,44~162,¡º,53,112,14,0.517,22,110
2015-05,105,43~500,«·∂»Œ€»æ,50,130,11,0.513,18,127
2015-06,97,50~192,¡º,62,111,11,0.587,20,130
2015-07,93,46~158,¡º,58,104,11,0.648,20,134
2015-08,73,46~133,¡º,39,82,11,0.658,16,110
2015-09,63,31~108,¡º,28,67,12,0.577,20,97
2015-10,68,33~138,¡º,40,78,15,0.658,24,84
2015-11,100,38~397,¡º,73,100,23,0.88,28,66
2015-12,94,26~228,¡º,68,93,32,1.11,33,52
2016-01,61,34~132,¡º,36,64,21,0.719,21,61
2016-02,54,37~76,¡º,28,58,19,0.724,18,77
2016-03,80,40~288,¡º,43,102,20,0.787,21,96
2016-04,86,48~190,¡º,39,115,13,0.593,20,108
2016-05,91,57~191,¡º,36,104,9,0.606,21,136
2016-06,87,37~171,¡º,36,64,10,0.72,21,142
2016-07,85,47~155,¡º,42,66,9,0.787,21,135
2016-08,62,34~136,¡º,27,50,7,0.597,20,107
2016-09,57,29~113,¡º,35,57,7,0.747,23,90
2016-10,64,35~173,¡º,43,71,11,0.729,26,67
2016-11,91,37~500,¡º,69,95,19,0.793,28,58
2016-12,85,31~226,¡º,58,92,24,0.968,30,51
2017-01,79,35~172,¡º,52,87,22,0.861,25,60
2017-02,68,37~220,¡º,43,71,18,0.704,22,78
2017-03,65,40~212,¡º,43,67,17,0.61,25,97
2017-04,67,43~139,¡º,31,80,15,0.423,21,102
2017-05,119,46~500,«·∂»Œ€»æ,39,151,10,0.368,19,124
2017-06,75,36~137,¡º,28,54,9,0.4,20,125
2017-07,72,36~128,¡º,36,55,7,0.448,19,120
2017-08,48,30~80,”≈,21,37,7,0.484,15,91
2017-09,57,30~96,¡º,23,47,10,0.553,21,102
2017-10,60,30~168,¡º,34,61,15,0.671,26,82
2017-11,54,28~144,¡º,30,60,20,0.633,22,60
2017-12,55,28~112,¡º,36,56,25,0.858,25,47
2018-01,48,31~139,”≈,28,49,20,0.735,20,61
2018-02,55,34~112,¡º,33,55,18,0.682,16,76
2018-03,74,43~197,¡º,47,85,19,0.729,23,103
2018-04,74,46~112,¡º,39,84,14,0.55,17,108
