‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,161,161~161,÷–∂»Œ€»æ,123,182,15,0.8,31,42
2015-01,127,28~207,«·∂»Œ€»æ,95,153,18,1.087,33,42
2015-02,110,41~196,«·∂»Œ€»æ,81,131,17,0.911,28,55
2015-03,87,56~117,¡º,56,107,18,0.948,30,98
2015-04,82,45~131,¡º,42,89,13,0.823,24,133
2015-05,73,40~105,¡º,44,83,15,0.923,23,102
2015-06,57,30~98,¡º,32,56,9,0.89,15,94
2015-07,71,39~121,¡º,42,71,11,0.806,16,112
2015-08,67,25~139,¡º,35,60,11,0.739,15,103
2015-09,54,32~119,¡º,32,52,9,0.71,16,85
2015-10,72,29~117,¡º,48,81,13,0.826,25,92
2015-11,54,31~70,¡º,34,58,9,0.94,19,44
2015-12,76,47~160,¡º,54,88,11,0.974,35,45
2016-01,85,48~145,¡º,61,94,12,1.242,33,48
2016-02,94,41~275,¡º,67,101,10,1.255,32,69
2016-03,73,35~114,¡º,50,84,14,1.077,33,92
2016-04,56,31~100,¡º,35,59,13,0.893,26,86
2016-05,69,38~162,¡º,40,70,12,0.868,19,109
2016-06,82,36~131,¡º,25,45,12,0.72,15,137
2016-07,72,37~106,¡º,25,43,13,0.723,15,125
2016-08,91,50~145,¡º,31,48,18,0.723,14,146
2016-09,82,48~141,¡º,42,55,16,0.733,18,133
2016-10,64,28~146,¡º,35,50,10,0.755,22,105
2016-11,74,35~110,¡º,52,73,13,0.877,29,85
2016-12,85,36~123,¡º,62,95,14,1.052,29,60
2017-01,100,32~202,¡º,73,112,17,1.219,28,53
2017-02,73,31~118,¡º,51,82,17,1.271,27,67
2017-03,57,28~95,¡º,34,63,13,0.813,27,77
2017-04,69,37~120,¡º,28,58,14,0.713,23,115
2017-05,83,30~160,¡º,44,75,14,0.684,26,119
2017-06,66,39~132,¡º,27,49,12,0.64,21,112
2017-07,83,35~128,¡º,25,49,12,0.565,21,137
2017-08,82,24~139,¡º,22,40,10,0.529,16,136
2017-09,48,28~86,”≈,26,40,9,0.593,18,81
2017-10,36,20~65,”≈,21,31,9,0.587,18,51
2017-11,60,30~95,¡º,42,66,9,0.727,29,54
2017-12,93,55~143,¡º,67,108,11,0.977,41,43
2018-01,80,28~168,¡º,58,89,10,1.032,43,47
2018-02,85,35~223,¡º,61,94,9,0.921,31,75
2018-03,63,20~98,¡º,37,70,10,0.906,36,97
2018-04,82,47~106,¡º,38,100,11,0.838,34,128
