‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,255,115~487,÷ÿ∂»Œ€»æ,182,347,165,3.109,88,21
2014-01,297,103~485,÷ÿ∂»Œ€»æ,230,390,204,3.234,95,32
2014-02,235,86~455,÷ÿ∂»Œ€»æ,190,276,131,2.1,69,54
2014-03,210,82~429,÷ÿ∂»Œ€»æ,147,311,99,1.703,65,84
2014-04,168,108~249,÷–∂»Œ€»æ,116,252,70,1.343,57,111
2014-05,140,74~253,«·∂»Œ€»æ,85,220,64,1.187,61,144
2014-06,127,69~227,«·∂»Œ€»æ,84,145,40,1.103,46,156
2014-07,116,52~213,«·∂»Œ€»æ,81,150,36,1.245,51,139
2014-08,99,39~188,¡º,70,127,28,1.19,42,94
2014-09,113,35~227,«·∂»Œ€»æ,82,143,24,1.153,43,74
2014-10,202,55~485,÷ÿ∂»Œ€»æ,156,261,48,1.663,68,65
2014-11,165,55~389,÷–∂»Œ€»æ,125,216,60,1.976,68,39
2014-12,155,56~284,÷–∂»Œ€»æ,117,201,96,2.865,61,27
2015-01,204,66~487,÷ÿ∂»Œ€»æ,163,250,143,3.443,77,27
2015-02,180,82~337,÷–∂»Œ€»æ,141,222,103,2.493,67,51
2015-03,140,73~231,«·∂»Œ€»æ,95,202,72,1.519,64,76
2015-04,106,60~163,«·∂»Œ€»æ,69,150,44,1.16,53,96
2015-05,93,44~146,¡º,60,127,31,1.103,48,110
2015-06,109,60~179,«·∂»Œ€»æ,73,137,33,1.093,45,115
2015-07,126,54~211,«·∂»Œ€»æ,90,140,22,1.016,40,128
2015-08,108,50~192,«·∂»Œ€»æ,72,116,25,1.081,47,127
2015-09,85,31~139,¡º,56,112,31,1.203,51,94
2015-10,106,52~235,«·∂»Œ€»æ,66,152,45,1.452,58,63
2015-11,154,40~432,÷–∂»Œ€»æ,120,176,60,2.027,67,31
2015-12,227,33~500,÷ÿ∂»Œ€»æ,193,272,115,3.987,95,24
2016-01,164,62~437,÷–∂»Œ€»æ,129,183,107,2.981,85,29
2016-02,112,34~246,«·∂»Œ€»æ,82,123,84,1.941,57,60
2016-03,128,61~258,«·∂»Œ€»æ,88,177,72,1.616,67,77
2016-04,99,51~160,¡º,66,128,53,1.263,56,108
2016-05,92,57~142,¡º,51,97,43,1.21,54,134
2016-06,104,50~149,«·∂»Œ€»æ,54,95,38,1.263,46,151
2016-07,106,49~159,«·∂»Œ€»æ,66,112,29,1.335,38,138
2016-08,69,33~110,¡º,39,75,18,1.003,39,100
2016-09,101,45~279,«·∂»Œ€»æ,68,124,28,1.27,58,96
2016-10,119,45~250,«·∂»Œ€»æ,82,154,29,1.59,68,56
2016-11,162,43~308,÷–∂»Œ€»æ,124,202,54,2.14,76,32
2016-12,233,79~500,÷ÿ∂»Œ€»æ,188,259,73,3.358,88,26
2017-01,229,62~459,÷ÿ∂»Œ€»æ,184,283,79,3.368,84,32
2017-02,158,61~336,÷–∂»Œ€»æ,121,193,73,2.15,71,74
2017-03,96,54~175,¡º,63,126,45,1.352,58,97
2017-04,96,51~176,¡º,56,133,39,1.34,53,105
2017-05,141,74~494,«·∂»Œ€»æ,60,168,35,1.335,52,171
2017-06,141,61~204,«·∂»Œ€»æ,52,120,29,1.25,51,199
2017-07,119,50~201,«·∂»Œ€»æ,56,104,18,1.229,39,166
2017-08,105,44~204,«·∂»Œ€»æ,50,98,23,1.158,38,152
2017-09,106,67~154,«·∂»Œ€»æ,65,145,45,1.603,58,144
2017-10,108,27~248,«·∂»Œ€»æ,79,133,15,1.561,52,64
2017-11,114,64~192,«·∂»Œ€»æ,81,156,28,1.537,60,54
2017-12,137,56~301,«·∂»Œ€»æ,102,162,40,2.21,65,45
2018-01,158,64~336,÷–∂»Œ€»æ,122,183,42,2.268,65,48
2018-02,151,68~411,÷–∂»Œ€»æ,112,187,45,1.743,50,87
2018-03,132,56~250,«·∂»Œ€»æ,92,169,22,1.306,47,115
2018-04,113,65~180,«·∂»Œ€»æ,58,166,25,1.263,40,111
