‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,112,112~112,«·∂»Œ€»æ,85,137,44,2.1,29,63
2015-01,99,42~172,¡º,73,104,43,2.987,29,67
2015-02,70,45~109,¡º,44,84,39,4.089,26,61
2015-03,76,44~113,¡º,40,102,37,2.016,24,69
2015-04,79,59~124,¡º,35,109,36,1.323,28,80
2015-05,73,50~117,¡º,31,90,26,1.816,22,102
2015-06,72,37~168,¡º,27,81,28,0.817,17,98
2015-07,84,40~109,¡º,42,112,24,0.945,13,90
2015-08,77,31~140,¡º,38,105,26,1.119,14,80
2015-09,77,57~110,¡º,45,103,27,1.21,15,71
2015-10,106,59~173,«·∂»Œ€»æ,69,156,34,2.423,18,63
2015-11,132,82~208,«·∂»Œ€»æ,98,188,44,3.393,22,50
2015-12,141,67~309,«·∂»Œ€»æ,99,191,47,2.97,25,45
2016-01,115,51~252,«·∂»Œ€»æ,85,120,52,1.794,23,37
2016-02,96,49~159,¡º,68,117,41,1.438,19,42
2016-03,85,45~144,¡º,61,94,27,1.217,26,62
2016-04,112,73~161,«·∂»Œ€»æ,50,174,23,1.783,28,80
2016-05,100,0~198,«·∂»Œ€»æ,47,138,17,1.819,18,81
2016-06,59,0~106,¡º,7,24,21,1.723,21,19
2016-07,69,25~119,¡º,27,91,14,0.519,16,29
2016-08,74,39~112,¡º,33,98,20,0.794,17,30
2016-09,65,32~102,¡º,35,79,26,1.393,19,28
2016-10,150,45~324,«·∂»Œ€»æ,63,217,26,1.584,28,47
2016-11,113,59~172,«·∂»Œ€»æ,85,87,34,1.773,35,49
2016-12,118,30~203,«·∂»Œ€»æ,89,89,37,1.768,29,51
2017-01,52,0~83,¡º,36,40,33,1.274,22,47
2017-02,56,30~92,¡º,38,56,35,1.161,21,59
2017-03,70,32~144,¡º,45,77,35,1.323,21,62
2017-04,96,59~144,¡º,56,141,32,1.557,20,68
2017-05,92,52~152,¡º,42,134,12,0.952,15,69
2017-06,92,26~171,¡º,28,134,5,0.77,11,68
2017-07,94,46~172,¡º,41,139,4,0.894,12,62
2017-08,66,30~102,¡º,28,84,3,0.813,12,65
2017-09,63,0~97,¡º,29,79,4,0.807,12,63
2017-10,59,39~88,¡º,38,63,5,1.116,16,77
2017-11,67,46~87,¡º,42,79,6,1.34,18,67
2017-12,86,59~114,¡º,62,111,8,1.726,20,64
2018-01,82,42~225,¡º,51,108,7,1.294,14,71
2018-02,62,34~127,¡º,37,72,6,0.95,8,74
2018-03,65,37~152,¡º,43,72,4,0.894,8,78
2018-04,80,55~119,¡º,57,104,4,1.088,9,77
