‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,101,101~101,«·∂»Œ€»æ,76,152,27,0.9,28,88
2015-01,137,23~244,«·∂»Œ€»æ,104,148,50,1.732,34,55
2015-02,109,20~225,«·∂»Œ€»æ,82,113,25,1.571,22,77
2015-03,78,42~145,¡º,56,77,29,0.987,20,64
2015-04,75,35~117,¡º,52,80,41,0.897,20,99
2015-05,78,43~116,¡º,54,81,49,0.829,16,104
2015-06,49,34~82,”≈,28,49,26,0.667,11,83
2015-07,57,36~81,¡º,34,54,27,0.761,13,94
2015-08,64,33~112,¡º,40,64,32,0.71,15,102
2015-09,76,33~104,¡º,53,84,28,0.883,16,99
2015-10,92,35~134,¡º,68,104,43,0.935,29,115
2015-11,59,29~98,¡º,42,54,35,1.133,26,52
2015-12,97,28~209,¡º,70,95,34,1.165,30,46
2016-01,96,42~210,¡º,71,94,29,1.335,30,48
2016-02,105,28~422,«·∂»Œ€»æ,78,108,23,0.931,24,84
2016-03,85,33~155,¡º,62,90,37,0.965,29,83
2016-04,62,31~98,¡º,40,58,32,0.897,19,85
2016-05,67,38~103,¡º,42,68,29,0.765,18,99
2016-06,61,40~103,¡º,35,59,25,0.7,13,100
2016-07,52,20~110,¡º,30,53,25,0.645,15,81
2016-08,67,35~135,¡º,38,61,24,0.732,14,115
2016-09,87,32~142,¡º,58,88,33,0.793,18,129
2016-10,64,24~103,¡º,43,64,29,0.932,19,79
2016-11,80,24~156,¡º,58,77,38,1.04,26,55
2016-12,122,40~224,«·∂»Œ€»æ,92,122,46,1.213,38,61
2017-01,139,46~352,«·∂»Œ€»æ,106,134,33,1.387,29,65
2017-02,92,33~202,¡º,68,89,26,1.339,25,75
2017-03,65,30~110,¡º,45,63,35,0.945,25,68
2017-04,70,29~102,¡º,45,69,41,0.993,24,102
2017-05,79,32~158,¡º,40,66,17,0.826,20,121
2017-06,52,26~95,¡º,30,44,17,0.75,17,81
2017-07,50,19~98,”≈,29,49,20,0.552,15,83
2017-08,52,32~84,¡º,31,52,28,0.668,16,87
2017-09,76,38~129,¡º,48,78,28,0.93,21,114
2017-10,68,22~124,¡º,47,76,26,0.874,24,92
2017-11,101,38~204,«·∂»Œ€»æ,74,107,35,0.997,33,74
2017-12,133,39~225,«·∂»Œ€»æ,100,131,40,1.203,45,70
2018-01,107,27~224,«·∂»Œ€»æ,80,96,27,1.174,32,55
2018-02,104,32~204,«·∂»Œ€»æ,77,105,16,1.007,28,84
2018-03,68,27~117,¡º,46,67,19,0.916,29,90
2018-04,83,61~108,¡º,54,103,23,0.85,28,109
