‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-01,265,75~484,÷ÿ∂»Œ€»æ,219,308,107,5.013,71,0
2013-02,195,84~405,÷–∂»Œ€»æ,151,216,67,3.314,45,0
2013-03,119,60~245,«·∂»Œ€»æ,83,150,51,2.432,46,0
2013-04,110,58~176,«·∂»Œ€»æ,78,136,49,2.413,45,0
2013-05,130,40~265,«·∂»Œ€»æ,91,133,33,2.029,49,0
2013-06,142,43~280,«·∂»Œ€»æ,91,147,30,1.827,45,0
2013-07,106,63~204,«·∂»Œ€»æ,73,131,21,1.726,36,0
2013-08,92,53~175,¡º,57,106,27,1.852,36,138
2013-09,118,54~193,«·∂»Œ€»æ,83,130,39,2.387,48,78
2013-10,193,62~312,÷–∂»Œ€»æ,150,205,66,3.239,56,103
2013-11,113,65~228,«·∂»Œ€»æ,78,142,84,2.703,59,54
2013-12,179,67~457,÷–∂»Œ€»æ,140,206,119,3.094,78,52
2014-01,163,54~314,÷–∂»Œ€»æ,121,190,91,2.787,65,33
2014-02,146,25~258,«·∂»Œ€»æ,111,140,52,1.996,43,42
2014-03,120,67~196,«·∂»Œ€»æ,88,159,53,1.952,55,67
2014-04,112,77~176,«·∂»Œ€»æ,79,140,40,2.133,56,72
2014-05,105,54~163,«·∂»Œ€»æ,72,138,37,1.539,46,78
2014-06,106,54~211,«·∂»Œ€»æ,78,111,20,1.507,38,105
2014-07,90,52~133,¡º,53,106,16,1.106,41,127
2014-08,86,42~175,¡º,58,99,19,1.161,40,86
2014-09,85,38~170,¡º,57,98,20,1.45,43,66
2014-10,149,65~242,«·∂»Œ€»æ,111,171,37,1.948,55,58
2014-11,171,57~420,÷–∂»Œ€»æ,131,191,50,2.17,65,42
2014-12,141,72~276,«·∂»Œ€»æ,95,201,75,1.903,63,41
2015-01,203,69~390,÷ÿ∂»Œ€»æ,159,237,77,2.123,76,37
2015-02,174,80~333,÷–∂»Œ€»æ,133,197,58,1.707,54,54
2015-03,154,71~276,÷–∂»Œ€»æ,108,196,42,1.552,60,69
2015-04,131,53~250,«·∂»Œ€»æ,87,175,31,1.407,54,106
2015-05,128,68~196,«·∂»Œ€»æ,91,153,27,1.529,48,136
2015-06,117,47~186,«·∂»Œ€»æ,76,146,18,1.213,45,153
2015-07,94,68~151,¡º,60,126,8,1.01,42,131
2015-08,94,53~148,¡º,60,112,8,1.103,46,132
2015-09,101,52~200,«·∂»Œ€»æ,69,132,16,1.317,57,113
2015-10,109,55~227,«·∂»Œ€»æ,69,149,35,1.271,65,79
2015-11,129,42~439,«·∂»Œ€»æ,97,148,32,2.047,63,32
2015-12,187,42~411,÷–∂»Œ€»æ,142,238,46,2.113,75,35
2016-01,193,65~500,÷–∂»Œ€»æ,156,235,49,2.4,73,36
2016-02,119,38~243,«·∂»Œ€»æ,83,149,48,1.669,52,75
2016-03,133,62~293,«·∂»Œ€»æ,81,202,41,1.574,67,99
2016-04,121,62~188,«·∂»Œ€»æ,71,185,32,1.403,59,124
2016-05,106,57~165,«·∂»Œ€»æ,49,125,25,1.006,44,151
2016-06,116,65~201,«·∂»Œ€»æ,45,105,19,1.227,46,177
2016-07,87,51~167,¡º,41,75,10,1.148,32,133
2016-08,82,46~127,¡º,40,67,12,1.213,33,132
2016-09,107,62~176,«·∂»Œ€»æ,61,115,25,1.383,57,149
2016-10,81,52~139,¡º,47,89,21,1.216,57,64
2016-11,145,43~262,«·∂»Œ€»æ,108,174,32,1.71,71,37
2016-12,197,67~500,÷–∂»Œ€»æ,161,213,37,1.981,74,42
2017-01,196,64~394,÷–∂»Œ€»æ,154,222,35,2.316,66,42
2017-02,146,63~375,«·∂»Œ€»æ,110,166,39,1.571,60,71
2017-03,116,58~218,«·∂»Œ€»æ,79,142,27,1.165,62,95
2017-04,102,54~147,«·∂»Œ€»æ,58,146,26,0.993,56,118
2017-05,141,54~395,«·∂»Œ€»æ,65,163,22,0.887,46,175
2017-06,129,45~202,«·∂»Œ€»æ,50,111,14,1,47,188
2017-07,105,49~164,«·∂»Œ€»æ,40,82,8,0.929,32,163
2017-08,99,37~187,¡º,43,83,8,1.068,39,149
2017-09,87,53~161,¡º,46,102,16,1.06,57,122
2017-10,79,33~127,¡º,52,99,16,1.158,56,60
2017-11,107,61~216,«·∂»Œ€»æ,73,139,22,1.027,65,57
2017-12,133,47~339,«·∂»Œ€»æ,96,140,24,1.31,64,48
2018-01,154,52~406,÷–∂»Œ€»æ,117,147,23,1.413,59,52
2018-02,124,53~278,«·∂»Œ€»æ,86,133,22,1.146,44,84
2018-03,125,51~255,«·∂»Œ€»æ,88,139,16,1.097,49,107
2018-04,123,61~232,«·∂»Œ€»æ,59,188,15,0.975,47,103
