‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,92,92~92,¡º,68,134,42,4.2,46,89
2015-01,101,23~196,«·∂»Œ€»æ,74,129,32,3.506,38,56
2015-02,90,16~166,¡º,66,100,16,1.539,31,52
2015-03,56,30~100,¡º,40,59,21,1.223,23,45
2015-04,70,29~124,¡º,48,71,14,1.633,25,91
2015-05,59,40~89,¡º,38,51,13,1.194,18,86
2015-06,41,24~54,”≈,23,39,11,1.217,15,72
2015-07,55,31~98,¡º,35,54,11,1.11,19,78
2015-08,72,40~175,¡º,37,66,16,0.977,22,116
2015-09,73,35~112,¡º,44,78,20,1.06,24,105
2015-10,84,28~113,¡º,59,109,23,0.997,32,104
2015-11,56,26~92,¡º,34,63,27,1.26,28,30
2015-12,76,25~147,¡º,54,89,26,1.071,33,31
2016-01,72,38~129,¡º,50,80,20,1.261,32,36
2016-02,77,33~255,¡º,53,87,17,0.962,26,75
2016-03,66,28~127,¡º,45,80,15,1.065,34,71
2016-04,52,37~94,¡º,29,53,12,1.18,22,75
2016-05,60,35~111,¡º,34,61,9,1.1,22,93
2016-06,54,32~103,¡º,25,48,11,1.323,16,98
2016-07,54,33~107,¡º,23,50,8,1.239,19,93
2016-08,56,30~104,¡º,29,52,12,1.145,21,98
2016-09,77,31~110,¡º,50,83,16,1.487,29,117
2016-10,66,23~122,¡º,44,74,19,1.303,30,61
2016-11,59,28~128,¡º,38,67,22,1.327,31,51
2016-12,98,28~182,¡º,73,116,33,1.381,39,54
2017-01,102,35~236,«·∂»Œ€»æ,74,114,26,1.623,32,45
2017-02,70,30~207,¡º,49,81,17,1.354,26,66
2017-03,50,25~94,¡º,29,54,20,1.216,26,58
2017-04,60,31~130,¡º,27,55,15,1.017,23,103
2017-05,72,35~146,¡º,29,62,9,1.113,24,114
2017-06,49,35~92,”≈,16,39,9,1.367,16,88
2017-07,60,33~111,¡º,17,45,10,1.323,16,108
2017-08,69,45~102,¡º,18,53,11,1.455,20,122
2017-09,115,58~202,«·∂»Œ€»æ,38,74,16,1.46,22,174
2017-10,67,30~119,¡º,40,77,13,1.277,26,86
2017-11,70,35~123,¡º,47,80,14,1.523,32,58
2017-12,93,33~142,¡º,68,108,21,1.565,42,59
2018-01,80,30~166,¡º,57,92,15,1.523,35,41
2018-02,83,25~180,¡º,59,91,14,1.389,28,64
2018-03,57,25~85,¡º,33,62,12,1.068,29,81
2018-04,70,29~84,¡º,41,86,20,1,31,115
