‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,52,29~90,¡º,24,56,26,0.847,32,65
2014-01,54,30~111,¡º,23,61,24,0.803,31,70
2014-02,82,36~226,¡º,48,93,30,0.861,28,82
2014-03,77,42~268,¡º,27,91,31,0.623,27,110
2014-04,95,44~235,¡º,30,86,20,0.623,26,136
2014-05,94,48~169,¡º,31,107,13,0.584,17,136
2014-06,87,62~141,¡º,21,51,17,0.657,20,144
2014-07,91,39~136,¡º,23,51,21,0.603,20,147
2014-08,80,44~136,¡º,22,44,17,0.603,22,135
2014-09,64,43~114,¡º,25,55,19,0.753,28,112
2014-10,64,37~134,¡º,31,72,20,0.71,30,96
2014-11,55,33~155,¡º,25,62,25,0.727,32,68
2014-12,59,30~143,¡º,22,72,25,0.652,23,58
2015-01,63,30~175,¡º,33,75,40,0.877,37,54
2015-02,77,32~257,¡º,36,92,31,0.754,22,70
2015-03,72,35~137,¡º,26,94,20,0.606,19,82
2015-04,77,40~199,¡º,20,69,14,0.553,19,120
2015-05,89,65~153,¡º,23,73,12,0.519,16,143
2015-06,88,58~125,¡º,23,58,12,0.587,16,142
2015-07,102,61~150,«·∂»Œ€»æ,24,54,15,0.639,20,161
2015-08,82,46~120,¡º,19,48,13,0.6,19,137
2015-09,63,41~88,¡º,22,46,15,0.653,19,113
2015-10,57,35~103,¡º,25,64,15,0.629,26,87
2015-11,58,32~122,¡º,35,63,22,0.977,33,59
2015-12,77,30~152,¡º,43,88,27,0.913,36,58
2016-01,47,35~72,”≈,17,45,22,0.661,25,73
2016-02,65,38~360,¡º,22,68,18,0.579,18,88
2016-03,85,42~459,¡º,33,103,18,0.655,25,103
2016-04,72,45~143,¡º,20,77,12,0.54,18,113
2016-05,95,54~343,¡º,26,82,12,0.529,16,136
2016-06,82,61~128,¡º,17,41,10,0.557,19,138
2016-07,92,47~138,¡º,24,48,12,0.665,19,149
2016-08,77,38~126,¡º,23,46,12,0.79,20,129
2016-09,59,44~82,¡º,20,41,9,0.657,24,110
2016-10,55,32~89,¡º,23,53,13,0.706,26,91
2016-11,68,34~121,¡º,26,84,19,0.823,31,77
2016-12,62,40~124,¡º,31,70,28,0.984,39,68
2017-01,61,38~161,¡º,27,70,24,0.894,31,82
2017-02,63,46~117,¡º,28,65,22,0.896,29,98
2017-03,68,50~115,¡º,26,56,16,0.887,28,117
2017-04,79,39~156,¡º,18,70,12,0.667,24,122
2017-05,114,53~500,«·∂»Œ€»æ,34,138,10,0.597,24,130
2017-06,91,58~122,¡º,23,70,10,0.717,25,145
2017-07,93,44~158,¡º,28,74,11,0.774,24,150
2017-08,79,42~126,¡º,23,57,10,0.739,25,134
2017-09,75,51~120,¡º,25,72,10,0.72,27,124
2017-10,57,31~87,¡º,27,63,13,0.861,32,89
2017-11,62,38~104,¡º,21,75,15,0.72,30,80
2017-12,58,34~103,¡º,22,68,17,0.829,31,69
2018-01,63,41~108,¡º,26,73,17,0.9,29,75
2018-02,71,41~358,¡º,21,81,15,0.721,19,95
2018-03,98,49~222,¡º,37,136,15,0.774,29,113
2018-04,152,66~500,÷–∂»Œ€»æ,43,213,12,0.663,21,104
