‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,84,84~84,¡º,44,117,18,0.9,29,67
2015-01,144,38~278,«·∂»Œ€»æ,110,166,43,2.258,56,52
2015-02,128,28~226,«·∂»Œ€»æ,96,140,30,1.568,38,69
2015-03,87,30~148,¡º,63,101,24,1.281,34,67
2015-04,86,39~140,¡º,61,100,21,1.29,31,111
2015-05,111,53~186,«·∂»Œ€»æ,80,120,14,1.271,22,109
2015-06,79,42~146,¡º,51,80,24,1.303,18,124
2015-07,74,43~147,¡º,38,66,17,1.126,16,121
2015-08,89,25~137,¡º,41,69,17,1.071,17,144
2015-09,95,45~135,¡º,50,78,21,1.193,22,150
2015-10,99,35~150,¡º,69,116,28,1.477,40,138
2015-11,73,29~117,¡º,53,74,18,1.537,34,48
2015-12,143,54~291,«·∂»Œ€»æ,108,154,22,1.629,45,48
2016-01,135,68~278,«·∂»Œ€»æ,101,143,19,1.742,43,49
2016-02,110,53~284,«·∂»Œ€»æ,80,128,24,1.448,34,104
2016-03,114,45~222,«·∂»Œ€»æ,82,131,26,1.416,46,123
2016-04,80,43~130,¡º,46,74,21,1.443,35,124
2016-05,88,44~177,¡º,55,94,19,1.487,30,131
2016-06,78,42~140,¡º,41,63,16,1.673,22,126
2016-07,71,35~148,¡º,40,58,13,1.271,19,114
2016-08,94,38~159,¡º,39,63,16,1.197,18,148
2016-09,96,35~156,¡º,42,67,23,1.123,29,150
2016-10,57,31~129,¡º,35,55,12,1.255,33,60
2016-11,79,31~120,¡º,58,81,19,1.373,43,46
2016-12,116,59~186,«·∂»Œ€»æ,87,118,25,1.348,54,51
2017-01,121,40~257,«·∂»Œ€»æ,91,132,20,1.365,47,52
2017-02,100,63~213,«·∂»Œ€»æ,74,110,24,1.164,41,63
2017-03,92,51~250,¡º,65,109,20,1.097,41,73
2017-04,77,38~107,¡º,50,77,17,0.91,34,106
2017-05,93,45~167,¡º,59,103,16,1.068,33,118
2017-06,71,38~125,¡º,41,66,10,1.127,26,112
2017-07,64,42~135,¡º,34,63,9,0.974,21,99
2017-08,56,28~90,¡º,31,51,8,0.977,20,97
2017-09,65,34~131,¡º,33,53,12,1.047,28,104
2017-10,53,22~132,¡º,33,50,11,0.929,31,80
2017-11,102,45~155,«·∂»Œ€»æ,75,109,18,1.217,55,67
2017-12,116,59~221,«·∂»Œ€»æ,87,122,19,1.258,58,49
2018-01,100,40~169,¡º,74,97,13,1.423,44,51
2018-02,94,35~155,¡º,69,97,14,1.254,42,68
2018-03,69,33~129,¡º,48,75,15,1.161,43,87
2018-04,88,57~132,¡º,54,114,12,1.163,38,111
