‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,101,101~101,«·∂»Œ€»æ,76,100,17,0.9,46,60
2015-01,90,60~161,¡º,58,124,24,1.042,40,48
2015-02,93,33~194,¡º,55,131,21,0.893,29,48
2015-03,108,68~209,«·∂»Œ€»æ,54,165,17,0.693,32,84
2015-04,111,70~328,«·∂»Œ€»æ,50,154,8,0.707,26,127
2015-05,92,48~231,¡º,46,114,15,0.552,27,124
2015-06,90,54~162,¡º,51,97,8,0.443,28,119
2015-07,74,51~118,¡º,36,85,8,1.668,26,107
2015-08,96,51~500,¡º,36,118,10,0.548,25,109
2015-09,72,40~350,¡º,28,85,7,0.577,26,89
2015-10,83,53~164,¡º,38,116,10,0.719,34,82
2015-11,75,40~183,¡º,44,99,16,0.883,35,67
2015-12,72,42~113,¡º,40,85,40,1.084,40,59
2016-01,84,46~152,¡º,42,115,28,0.871,42,66
2016-02,107,53~500,«·∂»Œ€»æ,39,156,23,0.569,31,75
2016-03,143,66~482,«·∂»Œ€»æ,53,214,17,0.665,35,94
2016-04,76,54~199,¡º,24,89,18,0.427,27,116
2016-05,82,48~171,¡º,33,95,11,0.574,28,125
2016-06,108,59~404,«·∂»Œ€»æ,53,124,8,0.477,24,133
2016-07,95,54~322,¡º,51,97,8,0.481,32,134
2016-08,99,48~500,¡º,62,177,6,0.387,23,109
2016-09,68,47~90,¡º,33,71,11,0.497,27,115
2016-10,74,48~112,¡º,34,97,13,0.706,31,93
2016-11,126,53~500,«·∂»Œ€»æ,52,186,22,0.817,36,75
2016-12,82,49~113,¡º,46,114,21,0.926,45,65
2017-01,98,51~500,¡º,47,155,21,0.768,35,74
2017-02,121,55~500,«·∂»Œ€»æ,45,168,19,0.7,31,89
2017-03,117,55~500,«·∂»Œ€»æ,40,161,17,0.626,34,111
2017-04,85,41~216,¡º,25,102,9,0.323,24,119
2017-05,129,55~500,«·∂»Œ€»æ,41,157,7,0.348,19,129
2017-06,123,67~500,«·∂»Œ€»æ,40,171,8,0.39,22,137
2017-07,93,51~500,¡º,25,103,9,0.368,22,129
2017-08,75,52~117,¡º,20,74,12,0.361,22,123
2017-09,78,58~187,¡º,23,93,14,0.383,26,109
2017-10,69,37~90,¡º,28,89,14,0.484,28,92
2017-11,75,50~148,¡º,32,99,19,0.663,31,77
2017-12,113,53~500,«·∂»Œ€»æ,46,171,18,0.942,36,72
2018-01,105,50~289,«·∂»Œ€»æ,43,155,16,0.829,27,78
2018-02,83,50~400,¡º,35,99,21,0.643,25,108
2018-03,170,64~500,÷–∂»Œ€»æ,61,301,18,0.477,24,115
2018-04,121,66~226,«·∂»Œ€»æ,36,187,11,0.325,19,117
