‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,130,57~236,«·∂»Œ€»æ,99,138,47,1.293,36,18
2014-01,172,97~248,÷–∂»Œ€»æ,131,182,46,1.594,46,27
2014-02,114,26~224,«·∂»Œ€»æ,86,118,34,1.375,34,32
2014-03,77,39~143,¡º,56,89,39,1.139,39,62
2014-04,62,30~90,¡º,43,69,26,1.137,35,70
2014-05,72,33~137,¡º,48,85,21,1.045,36,80
2014-06,61,24~145,¡º,36,58,13,1.067,33,79
2014-07,86,32~172,¡º,31,62,17,0.852,31,138
2014-08,73,23~136,¡º,32,59,16,0.939,31,119
2014-09,61,14~100,¡º,39,67,14,1.08,32,76
2014-10,96,44~213,¡º,70,104,18,1.11,44,62
2014-11,116,47~194,«·∂»Œ€»æ,87,124,17,1.08,42,17
2014-12,126,55~223,«·∂»Œ€»æ,96,119,23,1.384,42,17
2015-01,160,50~262,÷–∂»Œ€»æ,123,171,27,1.49,51,22
2015-02,109,28~191,«·∂»Œ€»æ,82,115,18,1.171,44,45
2015-03,73,42~115,¡º,51,86,18,1.135,47,74
2015-04,74,23~130,¡º,46,80,16,0.993,47,108
2015-05,67,38~94,¡º,40,73,13,0.916,44,93
2015-06,57,33~104,¡º,36,60,9,0.967,36,74
2015-07,70,33~107,¡º,46,78,13,0.958,39,102
2015-08,70,32~126,¡º,43,69,12,0.961,39,103
2015-09,59,30~102,¡º,34,54,12,1.123,40,68
2015-10,71,42~112,¡º,48,77,16,1.142,49,60
2015-11,66,40~100,¡º,47,70,17,1.347,41,20
2015-12,90,44~182,¡º,65,89,23,1.165,48,20
2016-01,96,43~202,¡º,71,91,20,1.335,49,24
2016-02,96,32~205,¡º,71,90,15,1.024,47,57
2016-03,82,30~148,¡º,57,85,18,0.955,55,78
2016-04,71,40~122,¡º,45,67,12,0.83,51,70
2016-05,77,35~141,¡º,48,78,10,0.777,43,107
2016-06,75,29~158,¡º,42,63,9,0.75,39,114
2016-07,69,35~140,¡º,34,58,11,0.723,35,112
2016-08,72,35~116,¡º,41,64,11,0.806,36,109
2016-09,95,52~186,¡º,70,93,11,1,49,75
2016-10,61,39~94,¡º,40,62,11,0.984,43,51
2016-11,78,35~123,¡º,53,82,15,1.123,52,24
2016-12,100,52~152,«·∂»Œ€»æ,74,106,14,1.232,56,24
2017-01,118,44~220,«·∂»Œ€»æ,88,121,17,1.261,53,29
2017-02,88,45~166,¡º,63,89,13,1.168,50,40
2017-03,70,44~114,¡º,45,75,15,0.971,54,49
2017-04,65,40~96,¡º,35,64,13,0.887,48,82
2017-05,76,37~141,¡º,36,65,12,0.848,47,110
2017-06,74,40~122,¡º,34,59,10,0.91,44,107
2017-07,91,37~183,¡º,26,52,11,0.752,36,142
2017-08,83,30~153,¡º,22,45,10,0.755,33,135
2017-09,56,30~96,¡º,23,43,9,0.857,38,70
2017-10,53,25~112,¡º,26,43,9,0.9,39,40
2017-11,80,48~134,¡º,55,88,13,1.027,54,39
2017-12,112,53~207,«·∂»Œ€»æ,82,123,13,1.187,58,24
2018-01,84,39~202,¡º,59,86,12,1.19,54,26
2018-02,83,34~169,¡º,60,86,10,1.082,45,51
2018-03,64,40~100,¡º,35,62,10,1,49,66
2018-04,61,35~78,¡º,27,68,10,0.85,44,103
