‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,197,40~484,÷–∂»Œ€»æ,158,183,62,1.44,71,54
2014-01,170,73~355,÷–∂»Œ€»æ,133,140,49,1.29,57,56
2014-02,83,29~144,¡º,62,43,19,0.836,32,51
2014-03,86,34~138,¡º,64,71,31,0.868,38,87
2014-04,86,41~155,¡º,64,82,30,0.833,37,97
2014-05,88,42~145,¡º,58,80,25,0.887,29,128
2014-06,100,36~192,¡º,53,67,22,0.87,26,144
2014-07,76,24~140,¡º,40,56,20,0.823,21,123
2014-08,79,30~149,¡º,45,59,22,0.871,25,128
2014-09,85,26~131,¡º,54,69,25,1.293,25,123
2014-10,101,70~154,«·∂»Œ€»æ,67,98,30,0.794,40,148
2014-11,85,34~125,¡º,63,98,34,1.107,55,71
2014-12,94,62~134,¡º,67,121,53,1.174,64,54
2015-01,122,41~285,«·∂»Œ€»æ,92,125,47,1.374,66,54
2015-02,77,26~137,¡º,56,78,20,1.032,40,69
2015-03,70,26~147,¡º,49,66,22,1.003,46,77
2015-04,81,34~122,¡º,51,73,26,0.88,44,121
2015-05,89,45~150,¡º,52,67,20,0.823,37,131
2015-06,65,40~99,¡º,39,50,20,0.8,26,106
2015-07,69,19~114,¡º,35,46,16,0.703,16,117
2015-08,76,20~147,¡º,40,57,16,0.755,23,121
2015-09,89,36~156,¡º,51,67,19,0.803,32,132
2015-10,85,39~150,¡º,57,79,21,0.826,42,114
2015-11,74,37~139,¡º,49,62,20,1.05,50,37
2015-12,111,53~212,«·∂»Œ€»æ,81,94,24,1.123,57,36
2016-01,96,55~175,¡º,68,85,18,1.074,50,39
2016-02,85,38~160,¡º,62,83,12,0.786,31,75
2016-03,92,37~175,¡º,68,91,19,0.913,46,85
2016-04,64,38~108,¡º,41,58,13,0.957,39,80
2016-05,71,36~129,¡º,42,60,12,0.9,33,102
2016-06,62,22~110,¡º,34,50,14,0.75,19,105
2016-07,69,33~130,¡º,30,46,15,0.629,20,119
2016-08,80,30~139,¡º,30,42,10,0.603,18,133
2016-09,70,19~124,¡º,36,50,11,0.67,30,106
2016-10,57,32~90,¡º,35,54,14,0.813,37,67
2016-11,70,31~112,¡º,47,72,18,0.957,49,58
2016-12,91,44~159,¡º,65,93,22,1.029,58,57
2017-01,88,39~221,¡º,62,79,12,0.91,41,50
2017-02,83,29~145,¡º,60,72,10,0.782,38,67
2017-03,69,38~129,¡º,46,61,13,0.79,43,79
2017-04,84,35~130,¡º,41,65,14,0.813,37,132
2017-05,97,35~186,¡º,34,55,10,0.697,30,151
2017-06,58,35~130,¡º,26,39,7,0.75,29,98
2017-07,75,29~173,¡º,25,42,8,0.581,21,126
2017-08,70,33~132,¡º,23,37,7,0.594,20,122
2017-09,79,38~132,¡º,29,49,9,0.7,30,126
2017-10,68,38~125,¡º,34,57,12,0.645,38,109
2017-11,75,37~117,¡º,49,72,16,0.873,53,69
2017-12,103,58~190,«·∂»Œ€»æ,76,96,21,1.019,63,54
2018-01,76,37~128,¡º,47,68,17,0.952,53,47
2018-02,68,29~123,¡º,45,65,11,0.789,35,76
2018-03,65,32~102,¡º,35,57,12,0.687,43,96
2018-04,69,54~100,¡º,32,70,13,0.688,36,95
