‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,135,135~135,«·∂»Œ€»æ,103,161,72,1.8,62,77
2014-01,153,69~284,÷–∂»Œ€»æ,117,159,47,1.637,48,62
2014-02,96,32~251,¡º,71,91,25,1.318,29,76
2014-03,100,55~173,«·∂»Œ€»æ,71,116,37,1.177,41,124
2014-04,93,45~191,¡º,54,82,27,1.17,36,131
2014-05,126,51~207,«·∂»Œ€»æ,64,113,31,1.284,40,182
2014-06,113,33~202,«·∂»Œ€»æ,52,81,21,1.103,35,169
2014-07,92,25~149,¡º,38,60,17,0.906,26,145
2014-08,73,19~167,¡º,36,59,22,1.003,27,116
2014-09,75,34~151,¡º,33,55,29,0.98,31,123
2014-10,82,43~124,¡º,43,73,30,1.081,40,123
2014-11,89,43~217,¡º,65,92,27,1.693,54,88
2014-12,86,51~136,¡º,63,95,39,1.884,57,57
2015-01,111,39~201,«·∂»Œ€»æ,83,113,28,2.048,57,62
2015-02,90,33~190,¡º,66,94,19,1.568,48,83
2015-03,81,35~178,¡º,55,80,21,1.31,51,100
2015-04,97,47~202,¡º,50,78,24,1.07,50,143
2015-05,101,56~151,«·∂»Œ€»æ,47,71,21,0.926,46,157
2015-06,64,21~124,¡º,45,63,13,0.847,41,61
2015-07,63,21~133,¡º,38,61,12,0.671,44,77
2015-08,76,28~128,¡º,36,60,19,0.732,25,123
2015-09,72,42~148,¡º,36,60,22,0.913,31,119
2015-10,83,36~155,¡º,57,99,33,1.01,51,76
2015-11,82,37~155,¡º,57,81,22,1.163,55,43
2015-12,111,52~215,«·∂»Œ€»æ,80,110,30,1.594,60,54
2016-01,103,52~178,«·∂»Œ€»æ,74,99,24,0.929,60,51
2016-02,96,38~188,¡º,71,97,18,1.097,41,69
2016-03,86,29~178,¡º,62,65,23,1.403,44,45
2016-04,55,35~110,¡º,29,54,16,1.153,31,76
2016-05,72,39~113,¡º,29,54,12,0.968,30,114
2016-06,60,31~94,¡º,25,51,11,0.92,11,101
2016-07,56,0~125,¡º,24,46,10,0.81,12,90
2016-08,68,35~144,¡º,23,38,15,0.81,13,119
2016-09,66,23~144,¡º,29,48,14,1.15,17,108
2016-10,45,26~65,”≈,28,41,12,1.132,21,59
2016-11,75,30~139,¡º,54,81,16,1.353,28,50
2016-12,99,34~183,¡º,73,105,17,1.513,47,48
2017-01,92,42~198,¡º,67,93,13,1.403,39,44
2017-02,93,46~150,¡º,68,91,17,1.196,39,76
2017-03,73,51~113,¡º,51,82,14,1.087,43,93
2017-04,90,44~126,¡º,49,90,18,0.937,38,131
2017-05,88,35~147,¡º,36,65,20,0.597,32,137
2017-06,80,34~171,¡º,38,63,12,0.697,26,124
2017-07,50,22~110,¡º,28,49,8,0.726,21,73
2017-08,49,28~90,”≈,28,40,16,0.797,18,91
2017-09,58,32~114,¡º,33,49,21,0.697,24,93
2017-10,53,29~113,¡º,32,48,15,0.842,28,86
2017-11,59,32~82,¡º,36,62,21,1.337,38,67
2017-12,99,47~350,¡º,73,93,20,1.332,53,50
2018-01,128,38~305,«·∂»Œ€»æ,96,118,17,1.258,49,62
2018-02,88,40~213,¡º,61,101,16,0.836,35,89
2018-03,78,40~122,¡º,50,84,20,0.858,39,116
2018-04,91,57~135,¡º,42,101,27,0.725,28,133
