‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,78,78~78,¡º,38,74,70,1.6,26,134
2014-01,95,42~255,¡º,59,128,122,1.784,30,79
2014-02,109,45~449,«·∂»Œ€»æ,55,153,91,1.639,18,77
2014-03,118,52~365,«·∂»Œ€»æ,50,174,64,1.797,19,102
2014-04,111,57~348,«·∂»Œ€»æ,46,143,33,0.937,19,123
2014-05,86,63~124,¡º,29,91,27,0.854,16,130
2014-06,72,48~126,¡º,25,75,33,1.307,13,118
2014-07,66,43~92,¡º,21,64,34,1.21,17,110
2014-08,68,42~140,¡º,20,52,38,1.555,17,114
2014-09,76,46~242,¡º,28,86,31,1.55,18,104
2014-10,70,40~141,¡º,31,87,38,1.435,19,100
2014-11,77,53~130,¡º,46,100,65,2.437,24,78
2014-12,84,58~146,¡º,48,115,103,1.474,29,68
2015-01,88,56~147,¡º,51,121,124,1.371,25,70
2015-02,84,43~183,¡º,43,112,58,1.371,17,75
2015-03,98,66~190,¡º,43,146,53,1.123,18,99
2015-04,103,56~461,«·∂»Œ€»æ,46,127,27,0.88,15,115
2015-05,98,53~500,¡º,38,132,19,0.91,12,122
2015-06,84,55~163,¡º,25,78,27,0.85,12,129
2015-07,76,52~147,¡º,20,68,27,0.723,17,125
2015-08,84,49~218,¡º,21,74,28,1.216,18,129
2015-09,63,41~158,¡º,18,60,23,1.123,19,103
2015-10,77,50~123,¡º,36,102,38,1.445,27,98
2015-11,84,55~142,¡º,46,111,47,1.177,26,64
2015-12,78,49~146,¡º,42,103,68,1.168,25,59
2016-01,75,43~105,¡º,44,92,51,1.023,18,72
2016-02,108,42~474,«·∂»Œ€»æ,41,151,45,0.886,14,90
2016-03,130,52~500,«·∂»Œ€»æ,47,196,37,0.945,16,102
2016-04,74,55~123,¡º,19,80,23,1.06,16,118
2016-05,80,49~184,¡º,23,93,18,1.09,12,118
2016-06,84,58~189,¡º,24,83,32,0.917,12,127
2016-07,77,42~249,¡º,24,74,34,1.619,16,117
2016-08,61,37~105,¡º,18,46,32,1.697,14,97
2016-09,56,37~109,¡º,18,53,31,1.13,17,100
2016-10,70,37~165,¡º,28,89,39,0.99,18,88
2016-11,121,62~362,«·∂»Œ€»æ,52,173,44,1.043,24,87
2016-12,84,57~166,¡º,42,117,32,1.061,23,71
2017-01,91,42~500,¡º,42,139,53,0.919,21,76
2017-02,91,45~199,¡º,36,132,35,0.736,15,86
2017-03,77,50~296,¡º,29,95,25,0.639,13,109
2017-04,84,38~209,¡º,25,99,18,0.577,13,119
2017-05,145,66~500,«·∂»Œ€»æ,47,181,26,0.323,11,130
2017-06,98,56~436,¡º,21,91,19,0.233,12,135
2017-07,74,47~102,¡º,12,49,16,0.31,11,126
2017-08,63,42~86,¡º,11,41,16,0.297,12,115
2017-09,61,44~74,¡º,15,62,20,0.397,16,107
2017-10,67,37~108,¡º,26,83,17,0.542,19,89
2017-11,75,51~136,¡º,35,100,25,0.597,20,83
2017-12,102,41~500,«·∂»Œ€»æ,43,150,33,0.835,23,76
2018-01,83,50~134,¡º,39,116,35,0.761,18,69
2018-02,83,43~411,¡º,32,99,19,0.604,16,88
2018-03,151,55~500,÷–∂»Œ€»æ,53,216,17,0.477,16,102
2018-04,147,64~500,«·∂»Œ€»æ,42,214,13,0.438,13,105
