‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,91,91~91,¡º,68,120,45,1.3,41,126
2015-01,86,22~172,¡º,63,95,22,1.387,28,84
2015-02,93,29~195,¡º,68,95,18,2.046,21,72
2015-03,54,24~91,¡º,36,58,15,1.787,19,59
2015-04,62,34~115,¡º,38,65,17,1.107,20,90
2015-05,45,28~63,”≈,20,43,10,1,16,82
2015-06,37,25~48,”≈,14,34,11,0.83,13,72
2015-07,48,25~83,”≈,23,43,14,1.026,14,86
2015-08,51,26~97,¡º,27,49,14,1.145,16,89
2015-09,44,27~80,”≈,25,43,15,1.017,17,77
2015-10,69,33~114,¡º,46,75,24,1.065,24,107
2015-11,53,31~97,¡º,32,52,21,1.257,21,68
2015-12,58,31~144,¡º,40,56,26,1.284,24,56
2016-01,64,39~95,¡º,45,61,24,1.323,26,58
2016-02,84,31~256,¡º,61,76,20,1.11,23,84
2016-03,69,33~107,¡º,49,70,18,1.048,28,78
2016-04,59,41~89,¡º,38,59,18,1.03,21,85
2016-05,48,29~81,”≈,24,45,17,0.932,15,85
2016-06,38,24~70,”≈,13,29,12,0.857,12,74
2016-07,34,23~52,”≈,16,30,11,0.816,11,61
2016-08,45,27~72,”≈,23,40,14,0.929,13,85
2016-09,60,23~104,¡º,39,57,19,1.09,17,96
2016-10,61,28~100,¡º,42,63,19,0.932,20,95
2016-11,52,20~84,¡º,33,55,16,0.993,23,64
2016-12,82,38~139,¡º,60,86,23,1.123,32,93
2017-01,90,28~234,¡º,66,88,19,1.213,25,80
2017-02,77,43~139,¡º,55,74,18,1.004,23,84
2017-03,56,33~124,¡º,37,59,14,1.119,22,57
2017-04,57,37~95,¡º,33,57,14,0.95,22,84
2017-05,52,28~105,¡º,27,45,22,0.913,18,91
2017-06,35,22~53,”≈,14,32,13,0.893,14,64
2017-07,39,23~84,”≈,16,31,15,0.881,12,69
2017-08,39,23~79,”≈,15,32,13,0.906,13,74
2017-09,47,25~83,”≈,21,40,16,1,17,86
2017-10,65,24~162,¡º,36,58,19,1.139,18,109
2017-11,70,25~152,¡º,48,71,19,1.137,23,90
2017-12,84,25~152,¡º,61,88,21,1.052,27,92
2018-01,78,30~153,¡º,56,83,20,1.319,30,82
2018-02,81,28~207,¡º,58,89,18,1.179,24,85
2018-03,64,33~115,¡º,37,65,23,1.116,24,97
2018-04,73,47~107,¡º,38,87,22,0.988,22,109
