‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,85,85~85,¡º,31,119,22,0.5,21,48
2015-01,114,53~240,«·∂»Œ€»æ,85,118,61,1.055,43,50
2015-02,98,38~237,¡º,69,115,50,0.937,36,63
2015-03,80,33~156,¡º,51,99,37,0.745,33,86
2015-04,95,59~126,¡º,56,122,22,0.825,33,105
2015-05,88,38~199,¡º,38,97,14,0.671,28,122
2015-06,80,39~161,¡º,33,56,9,0.753,25,134
2015-07,61,29~116,¡º,34,62,10,0.719,18,101
2015-08,49,20~92,”≈,24,43,11,0.726,22,89
2015-09,65,37~109,¡º,29,65,13,0.65,29,99
2015-10,90,41~298,¡º,62,93,17,0.823,35,84
2015-11,137,54~500,«·∂»Œ€»æ,114,142,27,1.243,36,59
2015-12,108,49~264,«·∂»Œ€»æ,79,113,42,1.487,40,45
2016-01,95,54~138,¡º,70,101,43,1.223,36,59
2016-02,73,41~138,¡º,49,77,35,1.107,26,80
2016-03,105,40~394,«·∂»Œ€»æ,58,135,26,0.923,30,113
2016-04,87,48~185,¡º,36,98,11,0.8,25,129
2016-05,98,51~167,¡º,33,81,13,0.797,26,152
2016-06,94,46~167,¡º,33,57,12,0.82,28,151
2016-07,76,22~120,¡º,35,55,12,0.835,23,124
2016-08,53,20~113,¡º,24,46,9,0.513,19,94
2016-09,55,20~84,¡º,30,54,13,0.597,23,92
2016-10,77,31~183,¡º,53,78,34,0.829,34,70
2016-11,97,34~247,¡º,71,101,37,0.817,40,55
2016-12,122,53~262,«·∂»Œ€»æ,90,123,42,0.99,48,43
2017-01,112,46~303,«·∂»Œ€»æ,82,113,34,0.929,45,59
2017-02,84,39~211,¡º,58,84,29,0.679,37,82
2017-03,112,43~199,«·∂»Œ€»æ,82,115,27,0.894,41,95
2017-04,82,44~138,¡º,46,104,18,0.723,32,101
2017-05,102,47~319,«·∂»Œ€»æ,40,109,15,0.565,23,132
2017-06,87,40~161,¡º,35,64,15,0.697,30,138
2017-07,104,42~174,«·∂»Œ€»æ,36,61,11,0.526,25,160
2017-08,62,34~133,¡º,24,45,9,0.516,22,108
2017-09,63,30~98,¡º,28,52,12,0.697,27,107
2017-10,82,40~175,¡º,53,85,18,0.755,36,83
2017-11,80,49~254,¡º,54,84,21,0.663,30,65
2017-12,95,52~211,¡º,66,106,32,0.781,41,39
2018-01,82,50~137,¡º,58,86,29,0.79,38,47
2018-02,83,50~137,¡º,56,85,23,0.625,29,66
2018-03,88,40~193,¡º,63,91,18,0.726,31,87
2018-04,80,52~123,¡º,48,97,13,0.613,30,94
